make,model,series,body,year_from,year_to,engine_code,engine_litres,engine_kw,trim_code,drivetrain,front_pads,rear_pads,park_brake_shoes,notes
Mercedes-Benz,E-Class,S210,Wagon,1999,2003,CDI,3.2,145,E 320 T,RWD,DB1403,DB1241,,Other Products
Mercedes-Benz,E-Class,W124,Sedan,1993,1995,,3.2,162,E 320,RWD,DB1320,DB1321,,Std. 4-Wheel Disc
Mercedes-Benz,E-Class,S124,Wagon,1993,1996,,3.2,162,E 320 T,RWD,DB1320,DB1241,,Std. 4-Wheel Disc
Mercedes-Benz,E-Class,S210,Wagon,1996,2003,,3.2,165,E 320 T,RWD,DB1403,DB1241,,Std. 4-Wheel Disc
Mercedes-Benz,E-Class,S211,Wagon,2003,2009,,3.2,165,E 320 T,RWD,DB1403,DB1657,,Std. 4-Wheel Disc
Mercedes-Benz,E-Class,W210,Sedan,1996,1997,,3.2,162,E 320,RWD,DB1403,DB1241,,Std. 4-Wheel Disc
Mercedes-Benz,E-Class,W210,Sedan,1997,2002,,3.2,165,E 320,RWD,DB1403,DB1241,,Std. 4-Wheel Disc
Mercedes-Benz,E-Class,W212,Sedan,2009,2011,4-matic,3.5,200,E 350,AWD,,DB1657,,
Mercedes-Benz,E-Class,W212,Sedan,2011,2013,4-matic,3.5,225,E 350,AWD,,DB1657,,
Mercedes-Benz,E-Class,A207,Convertible,2010,2011,,3.5,200,E 350,RWD,DB2183,DB2182,,Other Products
Mercedes-Benz,E-Class,A207,Convertible,2011,2013,,3.5,225,E 350,RWD,DB2183,DB2182,,Other Products
Mercedes-Benz,E-Class,S212,Wagon,2012,2013,4-matic BlueTEC,3,185,E 350,AWD,DB2183,DB1657,,Std. 4-Wheel Disc
Mercedes-Benz,E-Class,W211,Sedan,2002,2008,,3.2,165,E 320,RWD,DB1403,DB1657,,Std. 4-Wheel Disc
Mercedes-Benz,E-Class,S212,Wagon,2009,2011,4-matic,3.5,200,E 350,AWD,DB2183,DB1657,,Std. 4-Wheel Disc
Mercedes-Benz,E-Class,S212,Wagon,2011,2013,4-matic,3.5,225,E 350,AWD,DB2183,DB1657,,Std. 4-Wheel Disc
Mercedes-Benz,E-Class,W212,Sedan,2013,2013,4-matic BlueTEC,3,185,E 350,AWD,DB2183,DB1657,,Std. 4-Wheel Disc
Mercedes-Benz,E-Class,S212,Wagon,2009,2011,4-matic CDI,3,170,E 350,AWD,DB2183,DB1657,,Std. 4-Wheel Disc
Mercedes-Benz,E-Class,S212,Wagon,2009,2013,BlueTEC,3,155,E 350,RWD,DB2183,DB1657,,Std. 4-Wheel Disc
Mercedes-Benz,E-Class,S212,Wagon,2012,2013,BlueTEC,3,185,E 350,RWD,DB2183,DB1657,,Std. 4-Wheel Disc
Mercedes-Benz,E-Class,C207,Coupe,2010,2011,,3.5,200,E 350,RWD,DB2183,DB2182,,Std. 4-Wheel Disc
Mercedes-Benz,E-Class,C207,Coupe,2011,2013,,3.5,225,E 350,RWD,DB2183,DB2182,,Other Products
Mercedes-Benz,E-Class,W212,Sedan,2009,2013,BlueTEC,3,155,E 350,RWD,DB2183,DB1657,,Std. 4-Wheel Disc
Mercedes-Benz,E-Class,W212,Sedan,2013,2013,BlueTEC,3,185,E 350,RWD,DB2183,DB1657,,Std. 4-Wheel Disc
Mercedes-Benz,E-Class,A207,Convertible,2011,2013,CDI,3,195,E 350,RWD,DB2183,DB2182,,Std. 4-Wheel Disc
