make,model,series,body,year_from,year_to,engine_code,engine_litres,engine_kw,trim_code,drivetrain,front_pads,rear_pads,park_brake_shoes,notes
Volkswagen,Caddy,"SBA, SBH",Box Body/MPV,2020,,TDI,2,75,,FWD,DB2383,,,Std. 4-Wheel Disc
Volkswagen,Caddy,"SBA, SBH",Box Body/MPV,2020,,TDI,2,90,,FWD,DB2383,,,Std. 4-Wheel Disc
Volkswagen,CC,357,Coupe,2008,2012,TDI,2,125,,FWD,DB1849,DB1865,,Std. 4-Wheel Disc
Volkswagen,California,"SGC, SGG, SHC",Bus,2015,2024,TDI,2,110,,FWD,,DB1956,,
Volkswagen,CC,357,Coupe,2008,2011,FSI 4motion,3.6,220,,AWD,DB2513,DB1865,,Std. 4-Wheel Disc
Volkswagen,CC,358,Coupe,2011,2016,FSI 4motion,3.6,220,,AWD,DB1849,DB1865,,Std. 4-Wheel Disc
Volkswagen,CC,358,Coupe,2011,2016,TDI,2,125,,FWD,DB1849,DB1865,,Std. Brake System
Volkswagen,CC,358,Coupe,2012,2016,TDI,2,130,,FWD,DB1849,DB1865,,Std. 4-Wheel Disc
Volkswagen,Crafter 30-50,2E,Van,2011,2016,TDI,2,105,,RWD,DB1973,DB1972,,Std. 4-Wheel Disc
Volkswagen,Crafter 30-50,2E,Van,2011,2016,TDI,2,120,,RWD,DB1973,DB1972,,Std. 4-Wheel Disc
Volkswagen,Crafter 30-50,2E,Van,2011,2016,TDI,2,80,,RWD,DB1973,DB1972,,Std. 4-Wheel Disc
Volkswagen,Crafter,"SY, SX",Van,2017,,TDI 4motion,2,130,,AWD,DB2681,DB2684,,Std. 4-Wheel Disc
Volkswagen,Crafter 30-50,2F,Platform/Chassis,2011,2016,TDI,2,105,,RWD,DB1973,DB1972,,Std. 4-Wheel Disc
Volkswagen,Crafter 30-50,2F,Platform/Chassis,2011,2016,TDI,2,120,,RWD,DB1973,DB1972,,Std. 4-Wheel Disc
Volkswagen,Crafter 30-50,2F,Platform/Chassis,2011,2016,TDI,2,80,,RWD,DB1973,DB1972,,Std. 4-Wheel Disc
Volkswagen,Crafter 30-50,2F,Platform/Chassis,2006,2013,TDI,2.5,100,,RWD,DB1973,DB1972,,Std. 4-Wheel Disc
Volkswagen,Crafter 30-50,2F,Platform/Chassis,2006,2011,TDI,2.5,120,,RWD,DB1973,DB1972,,Std. 4-Wheel Disc
Volkswagen,Crafter 30-50,2F,Platform/Chassis,2006,2013,TDI,2.5,80,,RWD,DB1973,DB1972,,Std. 4-Wheel Disc
Volkswagen,Crafter 30-50,2E,Van,2006,2013,TDI,2.5,100,,RWD,DB1973,DB1972,,Std. 4-Wheel Disc
Volkswagen,Crafter 30-50,2E,Van,2006,2011,TDI,2.5,120,,RWD,DB1973,DB1972,,Std. 4-Wheel Disc
Volkswagen,Crafter 30-50,2E,Van,2006,2013,TDI,2.5,80,,RWD,DB1973,DB1972,,Std. 4-Wheel Disc
Volkswagen,Crafter,SZ,Platform/Chassis,2017,,TDI 4motion,2,130,,AWD,DB2681,DB2684,,Std. 4-Wheel Disc
Volkswagen,Crafter,"SYI, SYJ",Bus,2016,,TDI,2,130,,FWD,DB2681,DB2684,,Std. 4-Wheel Disc
Volkswagen,Crafter,"SYI, SYJ",Bus,2017,,TDI 4motion,2,130,,AWD,DB2681,DB2684,,Std. 4-Wheel Disc
Volkswagen,Crafter,SZ,Platform/Chassis,2016,,TDI,2,103,,FWD,DB2681,DB2684,,Std. 4-Wheel Disc
Volkswagen,Crafter,SZ,Platform/Chassis,2016,,TDI,2,130,,FWD,DB2681,DB2684,,Std. 4-Wheel Disc
Volkswagen,Crafter,"SY, SX",Van,2016,,TDI,2,103,,FWD,DB2681,DB2684,,Std. 4-Wheel Disc
Volkswagen,Crafter,"SY, SX",Van,2016,,TDI,2,130,,FWD,DB2681,DB2684,,Std. 4-Wheel Disc
Volkswagen,Eos,"1F7, 1F8",Convertible,2008,2015,TDI 16V,2,103,,FWD,DB1849,DB2211,,Std. Brake System
Volkswagen,Crafter,SZ,Platform/Chassis,2017,2024,TDI,2,130,,RWD,DB2681,DB2684,,Std. 4-Wheel Disc
Volkswagen,Eos,"1F7, 1F8",Convertible,2007,2015,TFSI,2,147,,FWD,DB1849,DB2211,,Std. 4-Wheel Disc
Volkswagen,Crafter,"SY, SX",Van,2017,2024,TDI,2,130,,RWD,DB2681,DB2684,,Std. 4-Wheel Disc
Volkswagen,Eos,"1F7, 1F8",Convertible,2007,2008,TDI,2,103,,FWD,DB1849,DB2211,,Std. 4-Wheel Disc
Volkswagen,Golf Alltrack,"MKVII, BA5, BV5",Wagon,2014,2020,TSI 4motion,1.8,132,,AWD,DB2657,DB2384,,Std. 4-Wheel Disc
Volkswagen,Golf,"MKI, 17",Hatchback,1974,1983,,1.1,37,,FWD,DB105,,,Std. Brake System
Volkswagen,Golf,"MKVI, 5K1",Hatchback,2008,2012,TSI,1.2,77,,FWD,DB1387,DB1449,,Std. 4-Wheel Disc
Volkswagen,Eos,"1F7, 1F8",Convertible,2006,2009,V6,3.2,184,,FWD,DB1849,DB2211,,Std. 4-Wheel Disc
Volkswagen,Eos,"1F7, 1F8",Convertible,2009,2015,TSI,2,155,,FWD,DB1849,DB2211,,Std. 4-Wheel Disc
Volkswagen,Golf,"BA5, BV5, BX5, BX6",Wagon,2013,2020,TSI,1.4,103,,FWD,DB2383,DB2384,,Std. 4-Wheel Disc
Volkswagen,Golf,"MKVI, 517",Convertible,2011,2016,TSI,1.4,118,,FWD,DB1405,DB1449,,Std. 4-Wheel Disc
Volkswagen,Golf,"MKV, 1K1",Hatchback,2007,2008,TSI,1.4,90,,FWD,DB1387,DB1449,,Std. 4-Wheel Disc
Volkswagen,Golf,"MKV, 1K1",Hatchback,2005,2008,TSI,1.4,125,Sport,FWD,DB1387,DB1449,,Std. 4-Wheel Disc
Volkswagen,Golf,"MKVI, 5K1",Hatchback,2008,2012,TSI,1.4,118,,FWD,DB1405,DB1449,,Std. 4-Wheel Disc
Volkswagen,Golf,"MKVI, 5K1",Hatchback,2008,2012,TSI,1.4,90,,FWD,DB1405,DB1449,,Std. 4-Wheel Disc
Volkswagen,Golf,"MKVIII, CD1",Hatchback,2021,,TSI,1.4,110,,FWD,DB2383,,,Std. 4-Wheel Disc
Volkswagen,Golf,"MKVII, BA5, BV5, BX5, BX6",Wagon,2013,2017,TSI,1.4,90,,FWD,DB2383,DB2384,,Std. 4-Wheel Disc
Volkswagen,Golf,"MKVII, BA5, BV5",Wagon,2014,2020,TSI,1.4,110,,FWD,DB2383,DB2384,,Std. 4-Wheel Disc
Volkswagen,Golf,"MKVII, BA5, BV5",Wagon,2014,2020,TSI,1.4,92,,FWD,DB2383,DB2384,,Std. 4-Wheel Disc
Volkswagen,Golf,"MKVI, AJ5",Wagon,2009,2013,TSI,1.4,118,,FWD,DB1405,DB1449,,Std. 4-Wheel Disc
Volkswagen,Golf,"MKVI, AJ5",Wagon,2009,2013,TSI,1.4,90,,FWD,DB1405,DB1449,,Std. 4-Wheel Disc
Volkswagen,Golf,"MKVII, 5G1, BQ1, BE1, BE2",Hatchback,2012,2015,TSI,1.4,103,,FWD,DB2383,DB2384,,Std. 4-Wheel Disc
Volkswagen,Golf,"MKVII, 5G1, BQ1, BE1, BE2",Hatchback,2014,2020,TSI,1.4,110,,FWD,DB2383,DB2384,,Std. 4-Wheel Disc
Volkswagen,Golf,"MKVII, 5G1, BQ1, BE1, BE2",Hatchback,2012,2017,TSI,1.4,90,,FWD,DB2383,DB2384,,Std. 4-Wheel Disc
Volkswagen,Golf,"MKVII, 5G1, BQ1, BE1, BE2",Hatchback,2014,2020,TSI,1.4,92,,FWD,DB2383,DB2384,,Std. 4-Wheel Disc
Volkswagen,Golf,"MKI, 17",Hatchback,1978,1982,,1.5,37,,FWD,DB105,,,Std. Brake System
Volkswagen,Golf,"MKI, 155",Convertible,1979,1983,,1.5,51,,FWD,DB128,,,Std. Brake System
Volkswagen,Golf,"MKVIII, CG5",Wagon,2021,2023,TSI,1.4,110,,FWD,DB2383,,,Std. 4-Wheel Disc
Volkswagen,Golf,"MKI, 17",Hatchback,1977,1983,,1.5,51,,FWD,DB128,,,Std. Brake System
Volkswagen,Golf,"MKII, 19E, 1G1",Hatchback,1983,1991,,1.6,40,,FWD,DB400,,,Std. Brake System
Volkswagen,Golf,"MKV, 1K1",Hatchback,2003,2008,FSI,1.6,85,,FWD,DB1387,DB1449,,Std. 4-Wheel Disc
Volkswagen,Golf,"MKIV, 1E7",Convertible,1998,2002,,1.6,74,,FWD,DB1327,DB1449,,Std. 4-Wheel Disc
Volkswagen,Golf,"MKI, 17",Hatchback,1976,1980,,1.6,55,,FWD,DB128,,,Std. Brake System
Volkswagen,Golf,"MKI, 17",Hatchback,1976,1982,GTI,1.6,81,,FWD,DB105,,,Std. Brake System
Volkswagen,Golf,"MKI, 155",Convertible,1979,1982,,1.6,81,,FWD,DB105,,,Std. Brake System
Volkswagen,Golf,"1E7, 1V7",Convertible,1998,2002,,1.8,66,,FWD,DB1387,,,Std. 4-Wheel Disc
Volkswagen,Golf,"MKIV, 1J1",Hatchback,1998,2001,,1.6,74,,FWD,DB1405,,,Std. 4-Wheel Disc
Volkswagen,Golf,"MKIV, 1J1",Hatchback,2000,2004,,1.6,75,,FWD,DB1405,,,Std. 4-Wheel Disc
Volkswagen,Golf,"MKV, 1K1",Hatchback,2004,2008,,1.6,75,,FWD,DB1387,DB1449,,Std. 4-Wheel Disc
Volkswagen,Golf,"MKVI, 5K1",Hatchback,2009,2012,TDI,1.6,77,,FWD,DB1405,DB1449,,Std. 4-Wheel Disc
Volkswagen,Golf,"MKVI, AJ5",Wagon,2009,2013,TDI,1.6,77,,FWD,DB1405,DB1449,,Std. 4-Wheel Disc
Volkswagen,Golf,"MKII, 19E, 1G1",Hatchback,1990,1992,GTI,1.8,79,,FWD,DB399,DB1192,,Std. 4-Wheel Disc
Volkswagen,Golf,"MKIV, 1J1",Hatchback,1998,2005,4motion,1.8,92,,AWD,DB1387,,,Std. 4-Wheel Disc
Volkswagen,Golf,"MKI, 17",Hatchback,1982,1983,GTI,1.8,82,,FWD,DB399,,,Std. Brake System
Volkswagen,Golf,"MKII, 19E, 1G1",Hatchback,1985,1985,GTI,1.8,77,,FWD,DB399,,,Other Products
Volkswagen,Golf,"MKII, 19E, 1G1",Hatchback,1986,1990,GTI 16V,1.8,102,,FWD,DB1325,,,Other Products
Volkswagen,Golf,"MKI, 155",Convertible,1983,1993,,1.8,70,,FWD,DB399,,,Std. Brake System
Volkswagen,Golf,"MKIII, 1H1",Hatchback,1991,1997,,1.8,66,,FWD,DB1327,DB1192,,Std. 4-Wheel Disc
Volkswagen,Golf,"MKII, 19E, 1G1",Hatchback,1984,1991,,1.8,66,,FWD,DB399,DB1192,,Std. 4-Wheel Disc
Volkswagen,Golf,"MKIII, 1E7",Convertible,1993,1998,,1.8,66,,FWD,DB1327,DB1192,,Std. 4-Wheel Disc
Volkswagen,Golf,"MKIV, 1J1",Hatchback,1998,1999,,1.8,92,,FWD,DB1387,,,Std. 4-Wheel Disc
Volkswagen,Golf,"MKIV, 1J1",Hatchback,1999,2004,,1.8,110,,FWD,DB1405,DB1192,,Std. 4-Wheel Disc
Volkswagen,Golf,"MKV, 1K1",Hatchback,2004,2008,FSI,2,110,,FWD,DB1387,DB1449,,Std. 4-Wheel Disc
Volkswagen,Golf,"MKIII, 1H1",Hatchback,1995,1997,TDI,1.9,66,,FWD,DB1327,DB1192,,Std. 4-Wheel Disc
Volkswagen,Golf,"MKV, 1K1",Hatchback,2004,2008,TDI,1.9,77,,FWD,DB1387,DB1449,,Std. 4-Wheel Disc
Volkswagen,Golf,"MKIV, 1J1",Hatchback,2000,2005,TDI,1.9,74,,FWD,DB1405,,,Std. 4-Wheel Disc
Volkswagen,Golf,"MKIV, 1J1",Hatchback,1997,2004,TDI,1.9,81,,FWD,DB1387,,,Std. 4-Wheel Disc
Volkswagen,Golf,"MKVII, 5G1, BQ1, BE1, BE2",Hatchback,2016,2017,GTI,2,195,,FWD,DB2513,DB2415,,Std. 4-Wheel Disc
Volkswagen,Golf,"MKV, 1K1",Hatchback,2005,2008,TDI,2,125,Sport,FWD,DB1387,DB1449,,Std. 4-Wheel Disc
Volkswagen,Golf,"MKVI, 5K1",Hatchback,2009,2012,GTD,2,125,,FWD,DB1405,DB1449,,Std. 4-Wheel Disc
Volkswagen,Golf,"MKV, 1K1",Hatchback,2005,2009,GTI,2,147,,FWD,DB1387,DB1449,,Std. 4-Wheel Disc
Volkswagen,Golf,"MKV, 1K1",Hatchback,2006,2008,GTI,2,169,,FWD,DB1387,DB1449,,Std. 4-Wheel Disc
Volkswagen,Golf,"MKVI, 5K1",Hatchback,2009,2012,GTI,2,155,,FWD,DB1405,DB1449,,Std. 4-Wheel Disc
Volkswagen,Golf,"MKVI, 5K1",Hatchback,2011,2012,GTI,2,173,,FWD,DB1405,DB1449,,Std. 4-Wheel Disc
Volkswagen,Golf,"MKIII, 1H1",Hatchback,1994,1997,,2,85,,FWD,DB1310,DB1192,,Other Products
Volkswagen,Golf,"MKIII, 1E7",Convertible,1993,1998,,2,85,,FWD,DB1327,DB1449,,Std. 4-Wheel Disc
Volkswagen,Golf,"MKVIII, CD1",Hatchback,2020,2024,GTI,2,180,,FWD,DB2513,,,Std. 4-Wheel Disc
Volkswagen,Golf,"5G1, BQ1, BE1, BE2, AU1, BC2, AU2, BC1",Hatchback,2018,2020,GTI,2,213,,FWD,DB2383,DB2415,,Std. 4-Wheel Disc
Volkswagen,Golf,"MKVII, 5G1, BQ1, BE1, BE2",Hatchback,2013,2017,GTI,2,162,,FWD,DB2513,DB2415,,Std. 4-Wheel Disc
