,,FRONT,,,REAR,,,,,
09 ON,CRUZE JG JH PETROL,KHFL-157,,,KHRL-158,KHRS-158,,,,
09 ON,CRUZE JG JH DIESEL,KHFL-157D,,,KHRL-158,KHRS-158,,,,
07 ON,EPICA EP,KSRR-23,,,KHRL-49,,,,,
95-98,FRONTERA,,,,,KHRS-90,KHRR-90,,,
75-77,GEMINI TX SEDAN,KHFL-06,KHFS-06,,KHRL-07,KHRS-07,,,,
77-79,GEMINI TC TD SEDAN,KHFS-06,KHFL-29,,KHRL-07,KHRS-07,,,,
79-82,GEMINI TE SEDAN,KHFS-06,KHFS-29,,KHRL-07,KHRS-07,,,,
82-85,GEMINI TF TG SEDAN,KHFS-06,KHFL-29,,KHRL-07,KHRS-07,,,,
75-85,GEMINI TX-TG WAGON PVAN,,,,KHRS-07,KHPR-20,,,,
85-87,GEMINI RB SEDAN,,KDFL-14,,,KHRS-70,,,,
92-3/01,JACKAROO,,,,,KHRS-92,KHRR-92,,,
01-05,MONARO CV6,KHFL-47SL,KHFL-47,,KHRL-46,KHRL-125,KHRS-46,,,
01-05,MONARO CV8,KHFL-47,KHFS-22,,KHRL-46,KHRL-125,KHRS-46,,,
89-10/94,NOVA LE LF,KTFL-45,KTFS-45,,KTRL-86,KTRS-36,,,,
11/94-8/96,NOVA LG,KTFL-45,KTFS-45,,KTRL-82,KTRS-82,,,,
71-78,STATESMAN HQ-HX,KHFL-03,KHFS-03,KHFR-03,KHRL-04,KHRS-05,KHRR-05,,,
78-85,STATESMAN HZ-WB,KHFL-03,KHFS-03,KHFR-03,KHRL-04,KHRS-05,KHRR-05,,,
90-94,STATESMAN VQ,KHFL-19,KHFS-19,KHFR-19,KHRL-45,KHRS-45,,,,
94-99,STATESMAN VR VS V6,KHFL-47,KHFS-19,KHFR-19,KHRL-45,KHRS-45,,,,
94-99,STATESMAN VR VS V8,KHFL-48,KHFS-48,KHFR-19,KHRL-45,KHRS-45,,,,
99-7/06,STATESMAN WH WK WL,KHFL-48,KHFS-48,KHFR-19,KHRL-125,KHRS-125,KHRR-125,,,
8/06 ON,STATESMAN WM,KHFL-150,KHFS-150,KHFR-150,KHRL-152,KHRS-152,KHRR-152,,,
69-74,TORANA LC LJ 6CYL,KHFL-08,KHFS-08,,KHRL-09,KHRS-09,,,,
69-74,TORANA LC LJ V8,KHFS-08,KHFR-08,,KHRL-09,KHRS-09,,,,
74-80,TORANA LH-UC 4 6CYL,KHFL-44,KHFL-14,,KHRL-12,KHRS-12,KHRR-12,,,
74-80,TORANA LH-UC V8,KHFL-14,KHFS-14,,KHRL-12,KHRS-12,KHRR-12,,,
74-80,TORANA SLR 5000 A9X,KHFL-15,KHFS-15,,,KHRS-17,,,,
97-2/03,VECTRA JR JS 4CYL,KHFL-71,,,KHRL-72,,,,,
97-2/03,VECTRA JR JS V6,KHFL-71SP,,,KHRL-72,,,,,
3/03-05,VECTRA ZC 4CYL,KHFL-73,,,KHRS-128SP,,,,,
3/03-05,VECTRA ZC V6,KHFL-74,,,KHRS-128SP,,,,,
05 ON,VIVA JF SEDAN HATCH,KHFL-155,,,KHRL-156,,,,,
05 ON,VIVA JF WAGON,KHFL-155,,,KHRL-156HD,,,,,
HONDA,,,,,,,,,,
77-78,ACCORD SJ 810,,,,,KHRS-35,,,,
79-81,ACCORD SJ 820 830,,,,,KHRS-33,,,,
82-83,ACCORD SY,KHFL-52,KHFS-52,,KHRL-53,KHRS-53,,,,
83-85,ACCORD AC AD,KHFL-60,KHFS-60,,KHRL-61,KHRS-61,,,,
85-89,ACCORD CA4 CA5,KHFL-54,KHFS-54,,KHRL-80,KHRS-80,,,,
89-5/94,ACCORD CB,KHFL-60,KHFS-60,,KHRL-61,KHRS-61,,,,
10/93-9/97,ACCORD CD,KHFL-60,KHFS-60,,KHRL-61,KHRS-61,,,,
10/97-5/03,ACCORD CG 4CYL,KHFL-88SL,,,KHRL-89,,,,,
10/97-5/03,ACCORD CG V6,KHFL-88,,,KHRL-89,,,,,
6/03-08,ACCORD CL CM 4CYL EURO,KHFL-107SL,,,KHRL-108,,,,,
6/03-08,ACCORD CL CM V6,KHFL-107,,,KHRL-108,,,,,
72-79,CIVIC SB SE SF,KHFL-31,KHFS-31,,KHRL-32,KHRS-32,,,,
79-83,CIVIC SL,KFFL-13,KFFS-13,,KHRL-37,KHRS-37,,,,
84-87,CIVIC AG-AL,,,,KHRL-57,KHRS-57,,,,
87-10/91,CIVIC ED,KHFL-58,KHFS-58,,KHRL-59,KHRS-59,,,,
11/91-9/95,CIVIC EG EH,KHFL-58A,KHFS-58A,,KHRL-59,KHRS-59,,,,
10/95-7/00,CIVIC EJ EK EM,KHFL-67,KHFS-58A,,KHRL-68,KHRS-68,,,,
11/00-9/04,CIVIC ES EU 7TH GEN,KHFL-75,,,KHRL-76,,,,,
2/06-2011,CIVIC 8TH GEN,KHFL-111,,,KHRL-112,,,,,
2007-2011,CIVIC TYPE R 8TH GEN,KHFL-111SP,,,KHRL-112SP,,,,,
2012 ON,CIVIC 9TH GEN,KHFL-171,,,KHRL-172,,,,,
10/97-11/01,CRV RD,KHFL-83,,KHFR-83,KHRL-84,,KHRR-84,,,
84-11/87,CRX AF AS,,,,KHRL-57,KHRS-57,,,,
12/87-5/92,CRX EC ED,KHFL-58,KHFS-58,,KHRL-59,KHRS-59,,,,
6/92-6/98,CRX EG,KHFL-58A,KHFS-58A,,KHRL-59,KHRS-59,,,,
99-02,HRV GH,,,KHFR-85,,,KHRR-86,,,
86-5/89,INTEGRA DA3,,,,KHRL-57,KHRS-57,,,,
6/89-6/93,INTEGRA DA9,KHFL-77,KHFS-77,,KHRL-78,KHRS-78,,,,
7/93-8/01,INTEGRA DC INC TYPE R,KHFL-67,KHFS-58A,,KHRL-68,KHRS-59,,,,
9/01-9/04,INTEGRA DC INC TYPE R,KHFL-75,,,KHRL-76,,,,,
10/02-08,JAZZ V-TEC HATCH JD,KHFL-109,,,KHRL-110,,,,,
88-2/91,LEGEND KA3 COUPE,KHFL-79,,,KHRL-80,KHRS-80,,,,
95-3/00,ODYSSEY RA 1ST GEN,KHFL-97,,,KHRL-98,,,,,
79-82,PRELUDE SN,KFFL-13,KFFS-13,,KHRL-37,KHRS-37,,,,
83-87,PRELUDE AB BA3,KHFL-41,KHFS-41,,KHRL-38,KHRS-38,,,,
87-9/91,PRELUDE BA4,KHFL-41,KHFS-41,,KHRL-40,KHRS-40,,,,
10/91-4/02,PRELUDE BA8 BB,KHFL-93,KHFS-93,,KHRL-94,KHRS-94,,,,
99-07,S2000 AP,KHFL-103,,,KHRL-104,,,,,
HYUNDAI,,,,,,,,,,
00-2/03,ACCENT CH,KHFL-116,,,KHRL-124,KHRS-124,,,,
3/03-4/06,ACCENT LC,KHFL-123,,,KHRL-117,KHRS-117,,,,
2011 ON,ACCENT RB,KHFL-140,,,KKRL-20SL,,,,,
96-3/02,COUPE KG RD1 RD2,KHFL-119,,,KHRL-120,,,,,
00-7/06,ELANTRA XD,KHFL-134,,,KHRL-135,KHRS-135,,,,
8/06-6/12,ELANTRA HD,KHFL-142,,,KHRL-143,KHRS-143,,,,
7/12 ON,ELANTRA MD2,KHFL-140,,,KKRL-20,,,,,
90-9/94,EXCEL X2,KDRL-50,KDFL-14,,KMFL-06,KHRL-07,,,,
10/94-5/97,EXCEL X3,KHFL-114,KFFL-15,,KHRL-115,KDFS-04,,,,
6/97-00,EXCEL X3 CONICAL REAR,KHFL-114,KFFL-15,,KHRL-124,KHRS-124,,,,
02-06,GETZ TB,KDRL-83,,,KHRL-117,KHRS-117,,,,
99-4/02,GRANDEUR FT,KHFL-131,,,KHRL-132,,,,,
06 ON,GRANDEUR TG,KHFL-133,,,KHRL-146,,,,,
2011-3/12,i20,KHFL-164,,,KHRL-165,KHRS-165,,,,
4/12 ON,i20,KHFL-175,,,KHRL-165,KHRS-165,,,,
07-6/10,i30 FD,KHFL-147,,,KHRL-143,KHRS-143,,,,
2010 ON,i40,KHFL-169,,,KHRL-170,,KHRR-170,,,
91-5/95,LANTRA J1,KCFL-28,,,KCRL-27,,,,,
9/95-10/00,LANTRA J2 SEDAN,KHFL-118,,,KTRL-52,KTRL-86,,,,
9/95-10/00,LANTRA J2 WAGON,KHFL-118,,,KTRL-86,KTRS-36,,,,
90-95,S COUPE,KFFL-15SL,KFFL-15,,KCRL-14,KCRS-14,,,,
93-5/98,SONATA DF,KHFL-121,,,KHRL-122,KHRS-122,,,,
8/98-04,SONATA EF,KHFL-129,,,KHRL-130,KHRS-130,,,,
05 ON,SONATA NF 4CYL,KHFL-145,,,KHRL-146,,,,,
2012 ON,VELOSTER,KHFL-140,,,KKRL-20,,,,,
ISUZU,,,,,,,,,,
2012 ON,D MAX 4WD,KTFL-58,,KHFR-168H,,,,,,
2013 ON,MU-X,,,KHFR-168,,,KIRR-02,,,
JAGUAR,,,,,,,,,,
68-86,XJ 6 SER 1 2 3 6CYL,KJFL-01,KJFS-01,,KJRL-03,KJRS-03,,,,
76-92,XJS XJ 6 V12,KJFS-01,KJFS-02,,KJRL-03,KJRS-03,,,,
87-93,XJ40,,,,,KJRS-07,,,,
01 ON,X SERIES,KJFL-08,,,KJRL-09,,,,,
JEEP,,,,,,,,,,
94-01,CHEROKEE XJ,,,KJFR-20,,,JEEP-03,,,
9/01-07,CHEROKEE KJ PETROL,,,KJFR-27,,,KJRR-28,,,
9/01-07,CHEROKEE KJ DIESEL,,,KJFR-27HD,,,KJRR-28,,,
07 ON,CHEROKEE KK,,,KJFR-39,,,KJRR-40,,,
06 ON,COMMANDER XH,,,KJFR-29,,,KJRR-30HD,,,
96-99,GRAND CHEROKEE ZG,,,KJFR-20,,,KJRR-21,,,
6/99-6/05,GRAND CHEROKEE WJ WG,KJFL-25,,KJFR-25,KJRL-26,,KJRR-26,,,
7/05-2010,GRAND CHEROKEE WH MY06,KJFL-29,,KJFR-29,KJRL-30,,KJRR-30,,,
2011 ON,GRAND CHEROKEE WK2 LAREDO PETROL,,,KJFR-41,,,KJRR-42,,,
2011 ON,GRAND CHEROKEE WK2 LAREDO DIESEL,,,KJFR-43,,,KJRR-44,,,
2011 ON,GRAND CHEROKEE WK2 SRT8,KJFL-41SRT8,,,KJRL-42SRT8,,,,,
07 ON,PATRIOT,,,KJFR-37,,,KJRR-38,,,
96-2/07,WRANGLER TJ,,,KJFR-23,,,KJRR-24,,,
3/07 ON,WRANGLER JK SWB PETROL,,,KJFR-31,,,KJRR-35,,,
3/07 ON,WRANGLER JK SWB DIESEL,,,KJFR-32,,,KJRR-35,,,
3/07 ON,WRANGLER JK LWB PETROL,,,KJFR-33,,,KJRR-36,,,
3/07 ON,WRANGLER JK LWB DIESEL,,,KJFR-34,,,KJRR-36,,,
KIA,,,,,,,,,,
99-03,CARNIVAL UP,,,,,,KKRR-07,,,
04-07,CERATO LD,KHFL-134,,,KHRL-135,KHRS-135,,,,
08-3/13,CERATO,KKFL-19,,,KKRL-20,,,,,
06 ON,MAGENTIS MG,KKFL-13,,,KCRL-214,,,,,
97-4/98,MENTOR FA,KFRL-51,,,KKRL-04,,,,,
5/98-00,MENTOR FB,KDRL-50,,,KKRL-04,,,,,
5/04 ON,OPTIMA GD V6,KKFL-10,,,KHRL-122,,,,,
00-7/05,RIO DC,KKFL-05,,,KKRL-06,,,,,
8/05 ON,RIO JB,KKFL-12,,,KHRL-117,KHRS-117,,,,
00-01,SHUMA,KDRL-50,,,KKRL-04,,,,,
03-6/07,SORENTO BL,,,KKFR-08,,,KKRR-09,,,
2010 ON,SORENTO,,,KHFR-141,,,KKRR-21,,,
5/01-03,SPECTRA FB,KDRL-50,,,KKRL-04,,,,,
97-04,SPORTAGE JA,,,KKFR-01,,,KKRR-02,,,
05-09,SPORTAGE KM,,,KKFR-14,,,KKRR-15,,,
LADA,,,,,,,,,,
78-94,NIVA 4X4,,,KLFR-10,,,KLRR-11,,,
LEYLAND,,,,,,,,,,
73-74,P76,,KLFS-01,,,KLRS-02,,,,
LEXUS,,,,,,,,,,
92-9/96,ES300 VV,KTFL-63SL,,,KTRL-61,,,,,
10/96-9/01,ES300 XV,KTFL-63,,,KTRL-61,,,,,
10/01-05,ES300 MCV,KTFL-103,,,KTRL-61,,,,,
97-9/00,GS300 JZS160R,KTFL-64,,,KTRL-65,,,,,
99-03,IS200 IS300,KTFL-90,,,KTRL-91,,,,,
11/05 ON,IS250,KTFL-115,,,KTRL-116,,,,,
03 ON,RX-330 RX-350 4WD,KTFL-111,,KTFR-111,KTRL-112,,KTRR-112,,,
MAZDA,,,,,,,,,,
90-97,121 DB,KMFL-85,,,KMRL-86,,,,,
96-02,121 METRO DW,KMFL-85,,,KMRL-86,,,,,
02-8/07,2 DY,KMFL-28,,,KMRL-29,,,,,
04-1/14,3 BK PETROL,KMFL-42,,,KFRL-74,KFRS-74,,,,
2/14 ON,3 BM SERIES PETROL,KMFL-56,,,KMRL-57,,,,,
06-09,3 MPS BK,KMFL-42,,,KFRL-74SL,,,,,
80-9/89,323 BD BF,KFFL-15,KFFS-15,,KFRL-16,KFRS-16,,,,
10/89-10/96,323 BG INC ASTINA,KFFL-50,KFFS-50,,KFRL-51,KFRS-51,,,,
7/94-8/98,323 BA 1.6 1.8,KFFL-90,KFFS-90,,KMRL-83,KMRS-83,,,,
7/94-8/98,323 ASTINA 2L V6,KMFL-82,KMFS-82,,KMRL-83,KMRS-83,,,,
9/98-12/03,323 ASTINA PROTEGE BJ,KMFL-93,KMFS-93,,KMRL-94,KMRS-94,,,,
02-01/08,6 SEDAN HATCH GG,KMFL-25,,,KMRL-26,KMRS-26,,,,
02-01/08,6 WAGON GY,KMFL-25,,,KMRL-27,KMRS-27,,,,
8/05-01/08,6 MPS AWD SEDAN,KMFL-25HD,,,KMRL-26SL,,,,,
2/08-11/12,6 SEDAN GH SEDAN HATCH,KMFL-32,,,KMRL-33,KMRS-33,,,,
2/08-11/12,6 SEDAN GH WAGON,KMFL-32,,,KMRL-33SP,KMRS-33SP,,,,
12/12 ON,6 SEDAN GJ PETROL,KMFL-50,,,KMRL-51,KMRS-51,,,,
12/12 ON,6 SEDAN GJ DIESEL,KMFL-50D,,,KMRL-51,KMRS-51,,,,
78-82,626 RWD,KMFL-16,KMFS-16,,KMRL-01,KMRS-01,,,,
10/87-12/91,626 SEDAN GD INC MX6,KFFL-25,KFFS-25,,KFRL-23,KFRS-23,,,,
88-12/91,626 WAGON GV,KFFL-25,KFFS-25,,KMRL-18,KMRS-18,,,,
1/92-9/94,626 SEDAN GE INC MX6,KFFL-80,KFFS-25,,KFRL-81,KFRS-81,,,,
10/94-8/97,626 SEDAN GE INC MX6,KFFL-80,KFFS-25,,KFRL-93,KFRS-81,,,,
1/92-8/97,626 WAGON GV,KFFL-25,KFFS-25,,KMRL-18,KMRS-18,,,,
8/97-7/02,626 SEDAN GF GW,KFFL-80,KFFS-25,,KMRL-97,KFRS-81,,,,
2011 ON,BT50 4X4,KFFL-08,KFFS-08,KFFR-08,,,,,,
06 ON,CX-7 MY07,KMFL-30,,,KMRL-31,,,,,
07 ON,CX-9,KMFL-45,,,KMRL-46,,,,,
99 ON,MPV LW,KMFL-98,,,KMRL-99,KMRS-99,,,,
89-10/97,MX5 NA,KMFL-52,KMFS-52,,KMRL-53,KMRS-53,,,,
3/98-8/05,MX5 NB,KMFL-88,,,KMRL-89,,,,,
9/05 ON,MX5 NC,KMFL-40SP,,,KMRL-41SP,,,,,
01-03,PREMACY,KMFL-95,,,KMRL-96,,,,,
78-85,RX7 SER 1 2 3,KMFL-20,KMFS-20,,KMRL-21,KMRS-21,,,,
86-6/89,RX7 FC SER 4,KMFL-36,KMFS-36,,KMRL-37,KMRS-37,,,,
7/89-92,RX7 FC SER 5,KMFL-36,KMFS-36,,KMRS-37,,,,,
92-12/98,RX7 FD SER 6,KMFL-38SP,,,KMRL-39SP,,,,,
03 ON,RX-8 FE,KMFL-40,,,KMRL-41,,,,,
01-06,TRIBUTE YU,,,KMFR-54,,,KMRR-55,,,
MERCEDES,,,,,,,,,,
98-00,A160,KMFL-107,,,KMRL-108,,,,,
93-10/00,C180 C200,KMFL-101,,,KMRL-102,,,,,
01 ON,W203 4CYL,KMFL-111,,,KMRL-112,,,,,
01 ON,W203 6CYL V8,KMFL-111SP,,,KMRL-112,,,,,
MG,,,,,,,,,,
10/04-05,MGZT V8,KMFL-61,,,KMRL-62,,,,,
MINI,,,,,,,,,,
01 ON,MINI R50 INC COOPER S,KMFL-200,,,KMRL-201,,,,,
07-2012,MINI R56 2 DOOR PETROL,KMFL-202,,,KMRL-203,,,,,
2010 ON,MINI R60 4 DOOR COUNTRY PETROL 2WD,KMFL-204,,,KMRL-205,,,,,
MITSUBISHI,,,,,,,,,,
05-08,380 DB,KCFL-24,,,KCRL-25,KCRS-25,KCRR-25,,,
80-90,COLT RA-RE,KDFL-01,KDFL-14,,KCRL-14,KCRS-14,,,,
8/04 ON,COLT RG,KCFL-53,,,KCRL-54,,,,,
83-89,CORDIA AA-AC,KCFL-15,KCFS-15,,KMFL-06,KHRL-07,,,,
71-77,GALANT GA-GD,KDRL-83,KDFS-14,,,,,,,
89-3/93,GALANT HG HH,KFFL-25,KCFS-26,,KCRL-27,KCRS-27,,,,
90-3/93,GALANT HH VR4,KCFL-VR4,,,KCRL-VR4,,,,,
4/93-96,GALANT HJ 4CYL,KCFL-60SL,KCFS-60,,KCRL-61,KCRS-61,,,,
93-96,GALANT HJ V6,KCFL-60,KCFS-60,,KCRL-61,KCRS-61,,,,
97-01,GALANT SM,KCFL-65,,,KCRL-66,,,,,
74-77,LANCER LA,KMFL-06,KHRL-07,,,,,,,
77-81,LANCER LB LC,KDRL-83,KDFS-14,,,,,,,
88-9/92,LANCER CA CB,KCFL-28,KCFS-28,,KCRL-29,KCRS-29,,,,
10/92-5/96,LANCER CC SEDAN COUPE,KCFL-36,KCFS-36,,KCRL-37,KCRS-37,,,,
10/92-5/96,LANCER CC WAGON,KCFL-36,KCFS-36,,,,,,,
10/92-5/96,LANCER CC GSR 4WD TURBO,KCFL-36GSR,,,KCRL-37,KCRL-46HD,,,,
96-02,LANCER CEII,KCFL-36,KCFS-36,,KCRL-46,KCRS-46,KCRS-37,,,
96-01,LANCER CE WAGON,KCFL-36,KCFS-36,,,,,,,
7/02-8/07,LANCER CG SEDAN,KCFL-47,,,KCRL-48,KCRS-48,,,,
7/02-8/07,LANCER CG CH INC VRX SEDAN,KCFL-49,,,KCRL-48,KCRS-48,,,,
9/07 ON,LANCER CJ MY08 2.0 SEDAN,KMFS-93,,,KCRL-48SL,KCRS-48,,,,
98-00,LANCER EVO 5 6,KCFL-211,,,KCRL-212,,,,,
03-07,LANCER EVO 7 8 9,KCFL-36GSR,,,KCRL-214,,,,,
08 ON,LANCER EVO 10,KCFL-215,,,KCRL-216,,,,,
85-92,MAGNA TM-TP SEDAN,KCFL-21,KCFS-21,,KCRL-22,KCRS-22,KCRR-22,,,
85-92,MAGNA TM-TP WAGON,KCFL-21,KCFS-21,,KCRL-10,KCRS-10,,,,
3/91-3/97,MAGNA TR TS SEDAN,KCFL-42,KCFS-31,,KCRL-20,KMRS-24,,,,
3/91-3/97,MAGNA TR TS WAGON,KCFL-42,KCFS-31,,KCRL-39,KCRS-39,,,,
4/96-6/97,MAGNA TE VERADA KE SEDAN,KCFL-42SP,,,KCRL-43SP,,,,,
7/97-05,MAGNA TF-TW VERADA KF-KW SEDAN,KCFL-42,KCFS-31,,KCRL-43,KCRS-43,KCRR-43,,,
4/96-06/97,MAGNA TE VERADA KE WAGON,KCFL-42SP,KCFS-31,,KCRL-39,KCRS-39,,,,
7/97-05,MAGNA TF-TW VERADA KF-KW WAGON,KCFL-42,KCFS-31,,KCRL-39,KCRS-39,,,,
96-03,MIRAGE CE,KCFL-45,,,KCRL-46,KCRS-46,,,,
2013,MIRAGE,KCFL-32,,,KFRL-71,,,,,
03-06,OUTLANDER ZE ZF,KCFL-02,KCFS-02,,KCRL-03,KCRS-03,,,,
07 ON,OUTLANDER ZG ZH,,KCFS-02,,,KCRS-17,,,,
NISSAN,,,,,,,,,,
68-72,1600,KHFL-114,KDFL-14,,KDRL-02,KDRS-02,,,,
72-77,180B,KDFL-01,KDFS-14,,KDRS-02,KDRS-03,,,,
77-81,200B,KDRL-83,KDFS-14,,KDRL-11,KDRS-11,,,,
10/94-10/00,200SX S14,KDFL-60,KDFS-60,,KDRL-61,KDRL-61SP,,,,
10/00-3/03,200SX S15,KDFL-60SL,KDFS-60,,KDRL-61,KDRL-61SP,,,,
70-75,240Z,KDFL-08,KDFS-08,,KDRL-09,KDRS-09,,,,
70-79,260Z,KDFL-04,KDFS-04,,KDRS-09,KDRS-05,,,,
79-84,280ZX,KDFL-15,KDFS-15,,KDRL-11,KDRS-11,,,,
84-89,300ZX Z31,KDFL-16,KDFS-16,,KDRL-25,KDRS-25,,,,
88-96,300ZX Z32,KDFL-86,KDFS-86,,KDRL-87,KDRS-87,,,,
03 ON,350Z MY05,KDFL-48,,,KDRL-49,,,,,
81-86,BLUEBIRD 910 SEDAN,KDRL-50,KDFL-14,,KDRL-11,KDRS-11,,,,
93-97,BLUEBIRD U13,KFFL-25,KFFS-25,,KDRL-50,KDRS-83,,,,
2013 ON,JUKE FWD,KDFL-85,,,KDRL-97,,,,,
90-1/95,MAXIMA J30,KDFL-84,KDFS-84,,KDRL-83,KDRS-83,,,,
2/95-11/99,MAXIMA A32,KDFL-62,KDFS-62,,KDRL-63,KDRS-63,,,,
12/99-11/03,MAXIMA A33,KDFL-62,KDFS-62,,KDRS-65SP,KDRS-93,,,,
12/03-1/09,MAXIMA J31,KDFL-51,KDFS-51,,KDRL-52,KDRS-52,,,,
95-97,MICRA K11,KDFL-26,KDFS-26,,KDFL-08,KDFS-04,,,,
05 ON,MURANO Z50,KDFL-53,,KDFR-53,KDRL-54,,KDRR-54,,,
05 ON,NAVARA D40 2WD,KDFL-70SL,,,,,,,
05 ON,NAVARA D40 4X4,KDFL-70,KDFS-70,KDFR-70,,,,,,
86-90,PINTARA R31 SEDAN,KDFL-44,KDFS-44,,KDRL-30,KDRS-30,,,,
86-90,PINTARA R31 WAGON,KDFL-44,KDFS-44,,KDRL-31,KDRS-31,,,,
90-95,PRIMERA P10 2L,KDFL-120,,,KDRL-121,,,,,
90-95,PRIMERA P10 1.8,KDFL-120,,,KDRL-50,,,,,
96 ON,PRIMERA P11,KDFL-120,,,KDRL-122,,,,,
80-83,PULSAR N10,KDFS-22,KDFS-20,,,KDRS-21,,,,
82-87,PULSAR N12,KMFL-06,KDFS-22,,KDRL-23,KDRS-23,,,,
87-9/91,PULSAR N13,KFFL-15,KFFS-15,,KDRL-50,KFFS-15,,,,
10/91-9/95,PULSAR N14,KDRL-115,KDFS-14,,KDRL-50,KFFS-15,,,,
10/95-8/97,PULSAR N15 SER 1,KDRL-115,KDFS-14,,KDRL-65,KDRL-63,,,,
9/97-6/00,PULSAR N15 SER 2,KDFL-01,KDFS-14,,KDRL-65SP,KDRS-65SP,,,,
7/00-05,PULSAR N16 SEDAN,KDFL-68,KDFS-68,,KDRL-69,KDRS-65SP,,,,
6/01-05,PULSAR N16 HATCH,KDFL-68,KDFS-68,,KDRL-65,KDRL-63,,,,
2013,PULSAR B17,KDFL-96,,,KDRL-97,,,,,
86-90,SKYLINE R31 SEDAN,KDFL-29,KDFS-29,,KDRL-30,KDRS-30,,,,
86-90,SKYLINE R31 WAGON,KDFL-29,KDFS-29,,KDRL-31,KDRS-31,,,,
78-83,STANZA,KDFL-17,KDFS-04,,KDRL-10,KDRS-10,,,,
06 ON,TIIDA C11,KDFL-55,,,KDRL-56,,,,,
01-9/07,X-TRAIL T30,,,KDFR-46,,,KDRR-47,,,
10/07 ON,X-TRAIL T31,,,KDFR-94,,,KDRR-95,,,
10/07 ON,X-TRAIL T31 DIESEL,,,KDFR-94HD,,,KDRR-95,,,
PEUGEOT,,,,,,,,,,
10/01-9/05,307 T5,KPFL-06,,,KPRL-07,,,,,
10/99-9/05,206 GTI,KPFL-09,,,,,,,,
PROTON,,,,,,,,,,
97-99,M21 SPORTS COUPE,KCFL-36GSR,,,KCRL-37,KCRS-46,,,,
97-05,PERSONA 1.5L,KCFL-15,,,KCRL-37,KCRS-46,,,,
97-05,PERSONA 1.6L,KCFL-36GSR,,,KCRL-37,KCRS-46,,,,
97-05,SATRIA 1.5L,KCFL-15,,,KCRL-37,KCRS-46,,,,
97-05,SATRIA 1.6L,KCFL-36GSR,,,KCRL-37,KCRS-46,,,,
01-05,WAJA,KCFL-36GSR,,,KCRL-46HD,,,,,
95-05,WIRA,KCFL-15,,,KCRL-37,KCRS-46,,,,
RENAULT,,,,,,,,,,
07 ON,KOLEOS,,,,,,KDRR-95,,,
ROVER,,,,,,,,,,
63-77,2000 3500 P6,,KRFS-12,,,KRRS-08,,,,
77-83,3500 SDI SE1,KRFL-09,KRFS-09,,KRRL-10,KRRS-10,,,,
83-87,3500 SE2 VANDEN PLAS,KRFL-09SL,KRFL-09,,,KRRL-10,KRRS-10,,,
98-00,FREELANDER 1.8L 2L DIESEL,,,KLFR-08,,,KLRR-09,,,
00-06,FREELANDER V6 2L DIESEL DOHC,,,KLFR-12,,,KLRR-09,,,
84-91,LANDROVER 110 COUNTY PETROL,,KRFR-01,KRRS-02,,KLRS-04,KLRR-04,,,
84-91,LANDROVER 110 COUNTY DIESEL,,KRRS-02,KRRR-02,,KLRS-04,KLRR-04,,,
92-01,LANDROVER DEFENDER 110 TD5,,KRFS-03,KRFR-03,,KLRS-05,KLRR-05,,,
91-1/99,LANDROVER DISCOVERY,,KRFS-01,KRFR-01,,KRRS-04,KRRR-04,,,
2/99-04,LANDROVER DISCOVERY SER 2,,KRFS-06,KRFR-06,,KRRS-04,KRRR-04,,,
05 ON,LANDROVER DISCOVERY SER 3,,,KRFR-13,,,KRRR-14,,,
72-4/95,RANGE ROVER COIL SPRUNG,,KRFS-01,KRFR-01,,KRRS-02,KRRR-02,,,
SEAT,,,,,,,,,,
96-99,CORDOBA,KSFL-40,,,KSRL-41,,,,,
SSANG YONG,,,,,,,,,,
07 ON,ACTYON,,,KSFR-54,,,KMRS-90,,,
96-06,MUSSO,,,,,KMRS-90,KMRR-90,,,
05 ON,REXTON Y200 Y220,,,KSFR-50,,,KMRS-90,,,
SUBARU,,,,,,,,,,
2012 ON,BRZ,KTFL-122,,,KTRL-123,,,,,
97-6/02,FORESTER MY99,KSFS-22,KSFR-28,KSFR-32,KSRL-33,KSRS-33,KSRR-33,,,
7/02-2/08,FORESTER MY03-MY08,KSFR-22,,KSFR-32SP,KSRS-39,KSRS-43,KSRR-43,,,
03/08 ON,FORESTER MY09,,,KSFS-55,,,KSRS-56,,,,
93-00,IMPREZA,KSFL-22,KSFR-22,,KSRL-23,KSRS-23,KSRR-23,,,
93-98,IMPREZA WRX SEDAN,KSFL-22,KSFS-22,KSFR-22,KSRL-23,KSRS-23,KSRR-23,,,
93-00,IMPREZA WRX HATCH,KSFL-22,KSFS-22,KSFR-22,KSRL-23H,KSRS-23,KSRR-23,,,
93-00,IMPREZA WRX STI,KSFL-22SL,,,KSRL-23SL,,,,,
10/00-10/02,IMPREZA WRX S44 SEDAN,KSFL-22,KSFS-22,KSFR-22,KSRL-24,KSRS-24,,,,
10/00-10/02,IMPREZA WRX STI S44,KSFL-22SL,,,KSRL-24SL,,,,,
11/02-8/05,IMPREZA WRX G2 SEDAN,KSFL-22,KSFS-22,KSFR-22,KSRL-39,KSRS-39,,,,
11/02-8/05,IMPREZA WRX STI G2,KSFL-22SL,,,KSRL-39SL,,,,,
9/05-7/07,IMPREZA WRX SEDAN MY06 MY07,KSFL-22,KSFS-22,KSFR-22,KSRL-39,KSRS-39,,,,
