,,FRONT,,,REAR,,,,,
92-94,CAPRI CLUBSPRINT SC SE,KFFL-15SL,,,KFRL-16SL,KFRS-46,,,,
89-92,CORSAIR U12 SEDAN,KDRL-83,KDFS-14,,KDRL-50,KDFL-14,,,,
89-92,CORSAIR U12 HATCH,KDRL-83,KDFS-14,,KFRL-51,KDFS-14,,,,
71-76,CORTINA TC TD 4CYL SEDAN,KFFL-03,KFFS-03,,KFRL-05,KFRS-05,,,,
71-76,CORTINA TC TD 6CYL SEDAN,KFFL-04,KFFS-04,,KFRL-05,KFRS-05,,,,
77-80,CORTINA TE 4CYL SEDAN,KFFS-14,KFFS-34,,KFRL-05,KFRS-05,,,,
77-80,CORTINA TE 6CYL SEDAN STEEL HEAD,KFFL-0,KFFS-17,,KFRL-05,KFRS-05,,,,
77-83,CORTINA TE TF 6CYL SEDAN ALLOY HEAD,KFFL-59,KFFL-01,,KFRL-05,KFRS-05,,,,
80-83,CORTINA TF 4CYL SEDAN,KFFL-14,KFFS-14,,KFRL-05,KFRS-05,,,,
71-83,CORTINA TC-TF WAGON,,,,KFRL-05,KFRS-05,KFRR-05,,,
99-01,COUGAR SW SX,KFFL-82,,,KFRL-83,,,,,
77-85,COURIER,,KFFS-31,,,,,,,
6/85-4/96,COURIER PC 4x2,,KFFS-44,,,,,,,
79-88,ECONOVAN PETROL,,KFFS-32,,,,,,,
79-88,ECONOVAN DIESEL,,KFFS-33,,,,,,,
01 ON,ESCAPE BA ZA ZB ZC ZD,,,KMFR-54,,,KMRR-55,,,
70-81,ESCORT ALL EXCEPT 2 LITRE,KFFL-11,KFFS-11,,,,,,,
78-81,ESCORT 2 LITRE,KFFL-13,KFFS-13,,,,,,,
01-05,EXPLORER UT UX UZ 6CYL,KFFL-78,,KFFR-78,KFRL-79,,KFRR-79,,,
03-05,EXPLORER UT UX UZ V8,,,KFFR-78SP,,,KFRR-79,,,
67-81,F100 2WD,,KFFS-06,KFFR-06,,,,,,
77-81,F100 4WD,,KFFS-09,KFFR-09,,,,,,
82-87,F100 2WD BRONCO,,KFFS-10,KFFR-10,,,,,,
82-87,F100 4WD F150,,KFFS-38,KFFR-38,,,,,,
67-81,F250 F350,,KFFS-07,KFFR-07,,,,,,
82-87,F350,,KFFS-39,KFFR-39,,,,,,
62-67,FAIRLANE COMPACT,,KFFS-36,,,,,,,
67-82,FAIRLANE ZA-ZJ,KFFL-02,KFFS-02,KFFR-02,,,,,,
82-88,FAIRLANE ZK ZL LTD FD FE 6CYL,KFFL-01,KFFS-01,KFFS-02,KFRL-28,KFRS-28,KFRR-28,,,
82-88,FAIRLANE ZK ZL LTD FD FE V8,KFFL-02,KFFS-02,KFFR-02,KFRL-28,KFRS-28,KFRR-28,,,
88-99,FAIRLANE NA-NL LTD 6CYL,KFFL-29,KFFR-26,KFFR-29,KFRL-18,KFRS-18,KFRR-18,,,
92-99,FAIRLANE NC-NL LTD V8,KFFL-52,KFFS-52,KFFR-52,KFRL-18,KFRS-18,KFRR-18,,,
00-03,FAIRLANE AU V8,KFFL-57,KFFS-57,KFFR-57,KFRL-67,KFRS-67,KFRR-67,,,
03 ON,FAIRLANE BA BF 6CYL V8,KFFL-57SP,KFFR-57,KFFR-57H,KFRL-68,KFRS-68,KFRR-68,,,
60-66,FALCON XK-XP,KFFL-14,KFFS-14,,,,,,,
67-72,FALCON XR-XY 6CYL,KFFL-01,KFFS-01,KFFS-02,,,,,,
67-72,FALCON XR-XY V8 WINDSOR,KFFL-01,KFFS-01,KFFS-02,,,,,,
67-72,FALCON XR-XY V8 CLEVELAND,KFFL-02,KFFS-02,KFFR-02,,,,,,
72-82,FALCON XA-XD 6CYL STEEL HEAD,KFFL-01,KFFS-01,KFFS-02,,,,,,
72-79,FALCON XA-XC V8,KFFL-02,KFFS-02,KFFR-02,,,,,,
79-82,FALCON XD 6CYL ALLOY HEAD,KFFL-0,KFFS-17,KFFS-01,,,,,,
79-82,FALCON XD V8,KFFL-01,KFFS-01,KFFS-02,,,,,,
82-88,FALCON XE XF 6CYL SEDAN,KFFL-0,KFFS-17,KFFS-01,KFRL-18,KFRS-18,KFRR-18,,,
82-85,FALCON XE V8 SEDAN,KFFL-01,KFFS-01,KFFS-02,KFRL-18,KFRS-18,KFRR-18,,,
82-88,FALCON XE XF 6CYL WAGON,KFFL-0,KFFS-17,KFFS-01,,,,,,
79-85,FALCON XD-XE V8 WAGON,KFFL-01,KFFS-01,KFFS-02,,,,,,
82-92,FALCON XE XF UTE PVAN,KFFL-0,KFFS-17,KFFS-01,,,,,,
93-96,FALCON XG UTE PVAN,KFFL-01,KFFS-01,KFFS-02,,,,,,
96-98,FALCON XH UTE PVAN 6CYL,KFFL-26,KFFS-26,KFFR-26,,,,,,
96-98,FALCON XH UTE PVAN V8,KFFL-52,KFFS-52,KFFR-52,,,,,,
88-97,FALCON EA-EL 6CYL SEDAN,KFFL-26,KFFS-26,KFFR-26,KFRL-27,KFRS-27,KFRS-18,,,
91-97,FALCON EB-EL V8 SEDAN,KFFL-52,KFFS-52,KFFR-52,KFRL-27,KFRS-27,KFRS-18,,,
88-97,FALCON EA-EL 6CYL WAGON,KFFL-26,KFFS-26,KFFR-26,,,,,,
91-97,FALCON EB-EL V8 WAGON,KFFL-52,KFFS-52,KFFR-52,,,,,,
93-97,FALCON ED-EL XR6,KFFL-26SL,KFFL-26,KFFS-26,KFRL-27SL,KFRL-27,KFRS-27,,,
93-97,FALCON ED-EL XR8,KFFL-52SL,KFFL-52,KFFS-52,KFRL-27SL,KFRL-27,KFRS-27,,,
98-02,FALCON AU 6CYL V8 IRS SEDAN,KFFL-57,KFFS-57,KFFR-57,KFRL-67,KFRS-67,KFRR-67,,,
98-02,FALCON AU 6CYL V8 LIVE AXLE SEDAN,KFFL-57,KFFS-57,KFFR-57,KFRL-27,KFRS-27,KFRS-18,,,
98-02,FALCON AU 6CYL V8 WAGON,KFFL-57,KFFS-57,KFFR-57,,,,,,
98-02,FALCON AU XR6 LIVE AXLE,KFFL-57SL,KFFL-57,KFFS-57,KFRL-27SL,KFRL-27,KFRS-27,,,
98-02,FALCON AU XR6 XR8 T SERIES IRS,KFFL-57SL,KFFL-57,KFFS-57,KFRL-67SL,KFRL-67,KFRS-67,,,
99-02,FALCON AU UTE,KFFL-57,KFFS-57,KFFR-57,,,,,,
99-02,FALCON AU UTE XR SERIES,KFFL-57SL,KFFL-57,KFFS-57,,,,,,
02-6/07,FALCON BA BF SEDAN,KFFL-57SP,KFFR-57,KFFR-57H,KFRL-68,KFRS-68,KFRR-68,,,
02-6/07,FALCON BA BF XR6,KFFL-57,KFFL-57SP,,KFRL-68SSL,KFRL-68,KFRS-68,,,
02-6/07,FALCON BA BF XR8,KFFL-57,KFFL-57SP,,KFRL-68SSLHD,KFRL-68HD,,,,
02-6/07,FALCON BA BF GT GTP SPORTS,KFFL-57,KFFL-57SP,,KFRL-68SSLHD,KFRL-68HD,KFRS-68,,,
02-6/07,FALCON BA BF UTE,KFFL-57SP,KFFR-57,KFFR-57H,,,,,,
02-6/07,FALCON BA BF UTE XR6 XR8,KFFL-57,KFFL-57SP,,,,,,,
02-6/07,FALCON BA BF WAGON,KFFL-57SP,KFFR-57,KFFR-57H,,,,,,
7/07-4/08,FALCON BF MK II SEDAN,KFFL-53,KFFS-53,KFFR-53,KFRL-68,KFRS-68,KFRR-68,,,
7/07-4/08,FALCON BF MK II XR6 SEDAN,KFFL-53SL,,KFFS-53,KFRL-68SSL,KFRL-68,KFRS-68,,,
7/07-4/08,FALCON BF MK II XR8 SEDAN,KFFL-53,,KFFS-53,KFRL-68SSL,KFRL-68,KFRS-68,,,
7/07-4/08,FALCON BF MK II UTE,KFFL-53,KFFS-53,KFFR-53,,,,,,
7/07-4/08,FALCON BF MK II UTE XR6,KFFL-53SL,,KFFS-53,,,,,,
7/07-4/08,FALCON BF MK II UTE XR8,KFFL-53,KFFS-53,KFFR-53,,,,,,
7/07 ON,FALCON BF MK II III WAGON,KFFL-53,KFFS-53,KFFR-53,,,,,,
5/08 ON,FALCON FG SEDAN,KFFL-40,KFFS-40,KFFR-40,KFRL-68SL,KFRS-68,KFRR-68,,,
5/08 ON,FALCON FG XR6 SEDAN,KFFL-40SSL,KFFL-40,KFFS-40,KFRL-68SSL,KFRL-68,KFRS-68,,,
5/08 ON,FALCON FG XR8 SEDAN GT,KFFL-40SLHD,KFFL-40,KFFS-40,KFRL-68SSL,KFRL-68,KFRS-68,,,
5/08 ON,FALCON FG UTE,KFFL-40,KFFS-40,KFFR-40,FOR-303,,,,,
5/08 ON,FALCON FG XR6 UTE,KFFL-40SSL,KFFL-40,KFFS-40,FOR-303,FOR-304,,,,
5/08 ON,FALCON FG XR8 UTE,KFFL-40SL,KFFL-40,KFFS-40,FOR-303,FOR-304,,,,
94-96,FESTIVA WB,KFFL-95,KFFS-95,,KFRL-96,KFRS-96,,,,
97-01,FESTIVA WD WF,KFFL-95,KFFS-95,,KSRL-11,KFRS-96,,,,
3/04-08,FIESTA WP WQ,KFFL-70,,,KFRL-71,,,,,
02-5/05,FOCUS LR MY2003,KFFL-73,,,KFRL-74,KFRS-74,,,,
6/05-5/2011,FOCUS 2 LS LT LV,KMFL-42,,,KFRL-74,KFRS-74,,,,
6/05-5/2011,FOCUS 2 XR5 TURBO,KMFL-42,,,KFRL-74SL,,,,,
6/2011 ON,FOCUS LW,KMFL-42SL,,,KFRL-74,KFRS-74,,,,
7/07 ON,FOCUS TDCi DIESEL,KMFL-42D,,,KFRL-74,KFRS-74,,,,
10/99-10/00,KA MY 2000 TA,KFFL-84,,,KFRL-85,,,,,
11/00-02,KA MY 2001 TB,KFFL-84,,,KFRL-85A,,,,,
81-90,LASER KA-KE METEOR GA-GC,KFFL-15,KFFS-15,,KFRL-16,KFRS-16,,,,
90-9/94,LASER KF KH INC TX3 2WD,KFFL-50,KFFS-50,,KFRL-51,KFRS-51,,,,
94-99,LASER KJ KL,KFFL-90,KFFS-90,,KFRL-91,KFRS-91,,,,
2/99-7/02,LASER KN KQ,KMFL-93,KMFS-93,,KMRL-94,KMRS-94,,,,
95-11/96,MONDEO HA HB SEDAN,KFFL-97,KFFS-97,,KFRL-98,KFRS-98,,,,
95-11/96,MONDEO HA HB WAGON,KFFL-97,KFFS-97,,KFRL-99,KFRS-99,,,,
12/96-12/99,MONDEO HC SEDAN,KFFL-89,,,KFRL-98,KFRS-98,,,,
12/96-12/99,MONDEO HC WAGON,KFFL-89,,,KFRL-99,KFRS-99,,,,
2/00-10/00,MONDEO HE SEDAN 4CYL,KFFL-102,,,KFRL-104,,,,,
2/00-10/00,MONDEO HE SEDAN V6,KFFL-103,,,KFRL-104,,,,,
01-02,MUSTANG COBRA IRS,KFFL-76,,,KFRL-77,,,,,
94-98,PROBE ST SV,KFFL-88,,,KFRL-93,KFRS-81,,,,
2011 ON,RANGER 4X4,KFFL-08,KFFS-08,KFFR-08,,,,,,
96-98,TAURUS DN DP,KFFL-54,,,KFRL-55,,,,,
83-87,TELSTAR AR AS NON ADJ SHOCKS,,KFFS-19,,,KFRS-20,KFRS-20HD,,,
83-87,TELSTAR AR AS ADJ SHOCKS,KFFL-21,KFFS-21,,KFRL-22,KFRS-22,,,,
87-12/91,TELSTAR AT AV INC TX5,KFFL-25,KFFS-25,,KFRL-23,KFRS-23,,,,
1/92-9/94,TELSTAR AX INC TX5,KFFL-80,KFFS-25,,KFRL-81,KFRS-81,,,,
10/94-7/96,TELSTAR AY INC TX5,KFFL-80,KFFS-25,,KFRL-93,KFRS-81,,,,
04-9/07,TERRITORY SX SY RWD 2WD,KFFL-57,KFFS-57,KFFR-57,KFRL-69SL,KFRS-69,KFRR-69,,,
