make,model,series,body,year_from,year_to,engine_code,engine_litres,engine_kw,trim_code,drivetrain,front_pads,rear_pads,park_brake_shoes,notes
Honda,HR-V,RV,SUV,2021,,e:HEV,1.5,96,,FWD,DB2304,DB2355,,
Honda,CRX,"EH,EG",Targa,1992,1998,i,1.6,118,VTi,FWD,DB1286,DB1163,,With Front 262mm Disc
Honda,HR-V,GH,SUV,1999,2002,16V,1.6,77,,AWD,DB1206,,,
Honda,HR-V,RV,SUV,2022,,,1.5,87,,FWD,DB2304,DB2355,,
Honda,HR-V,RU,SUV,2015,2021,,1.8,105,,FWD,DB2304,DB2355,,
Honda,Insight,ZE,Hatchback,2009,2013,IMA,1.3,65,,FWD,DB1991,DB1265,,
Honda,Integra,DA,Hatchback,1989,1993,,1.6,125,,FWD,DB1133,DB1163,,
Honda,Integra,DA,Hatchback,1986,1989,,1.6,88,,FWD,DB300,DB1195,,AV to Chassis 130000
Honda,Integra,DA,Hatchback,1986,1989,,1.6,88,,FWD,DB429,DB1195,,With Front Disc
Honda,Integra,DA,Hatchback,1989,1993,,1.8,96,,FWD,DB1133,DB1163,,
Honda,Integra,DC,Coupe,1993,2001,,1.8,101,,FWD,DB1292,DB1163,,With Front Disc
Honda,Integra,DC,Coupe,1993,2001,,1.8,107,,FWD,DB1292,DB1163,,With Front Disc
Honda,Integra,DC,Coupe,1993,2001,,1.8,107,,FWD,DB1265,DB1163,,
Honda,Integra,DC,Coupe,1993,1999,,1.8,125,VTi-R,FWD,DB1206,DB1265,,
Honda,Integra,DC,Coupe,1993,1999,,1.8,125,VTi-R,FWD,DB1292,DB1265,,Suits front 129mm wide disc
Honda,Integra,DC,Coupe,1999,2001,,1.8,140,Type-R,FWD,DB1206,,,Type R
Honda,Integra,DC,Coupe,1999,2001,,1.8,140,Type-R,FWD,DB1292,,,Suits Type-R models with Front 129mm disc rotors
Honda,Integra,DC5,Coupe,2002,2006,16V,2,162,Type-R,FWD,DB1265,,,
Honda,Integra,DC5,Coupe,2004,2007,,2,154,Type-S,FWD,DB1452,DB1265,,
Honda,Integra,DC5,Coupe,2001,2006,,2,118,,FWD,DB1206,DB1265,,Length 149mm
