make,model,series,body,year_from,year_to,engine_code,engine_litres,engine_kw,trim_code,drivetrain,front_pads,rear_pads,park_brake_shoes,notes
Mazda,3,"BM, BN",Hatchback,2013,2019,,2,114,,FWD,DB2330,DB2331,,Std. 4-Wheel Disc
Mazda,3,"BM, BN",Sedan,2013,2019,,2,114,,FWD,DB2330,DB2331,,Std. 4-Wheel Disc
Mazda,3,BK,Hatchback,2006,2009,MZR-CD,2,105,,FWD,DB1679,DB1763,,Std. 4-Wheel Disc
Mazda,3,BK,Sedan,2006,2009,MZR-CD,2,105,,FWD,DB1679,DB1763,,Std. 4-Wheel Disc
Mazda,3,BL,Hatchback,2009,2013,MZR,2,108,,FWD,DB1679,DB1763,,Std. 4-Wheel Disc
Mazda,3,BL,Sedan,2009,2013,MZR,2,108,,FWD,DB1679,DB1763,,Std. 4-Wheel Disc
Mazda,3,BP,Sedan,2019,,SKYACTIV-X Hybrid,2,132,,FWD,DB2538,DB2539,,Std. 4-Wheel Disc
Mazda,3,"BM, BN",Hatchback,2014,2019,D,2.2,129,,FWD,DB2330,DB2331,,Std. 4-Wheel Disc
Mazda,3,BL,Hatchback,2011,2013,SP20,2,113,,FWD,DB1679,DB1763,,Std. 4-Wheel Disc
Mazda,3,BL,Sedan,2011,2013,SP20,2,113,,FWD,DB1679,DB1763,,Std. 4-Wheel Disc
Mazda,3,BP,Hatchback,2019,,SKYACTIV-G,2.5,139,,FWD,DB2538,DB2539,,Std. 4-Wheel Disc
Mazda,3,BP,Sedan,2019,,SKYACTIV-G,2.5,139,,FWD,DB2538,DB2539,,Std. 4-Wheel Disc
Mazda,3,BL,Hatchback,2009,2013,MZR,2.2,110,,FWD,DB1679,DB1763,,Std. 4-Wheel Disc
Mazda,3,BL,Sedan,2009,2013,MZR,2.2,110,,FWD,DB1679,DB1763,,Std. 4-Wheel Disc
Mazda,3,"BM, BN",Hatchback,2013,2019,SP25,2.5,138,,FWD,DB2330,DB2331,,Std. 4-Wheel Disc
Mazda,3,"BM, BN",Sedan,2013,2019,SP25,2.5,138,,FWD,DB2330,DB2331,,Std. 4-Wheel Disc
Mazda,3,BL,Hatchback,2008,2013,,2.3,191,,FWD,DB2176,DB1763,,Std. 4-Wheel Disc
Mazda,3,BL,Hatchback,2009,2013,Turbo,2.3,194,,FWD,DB2176,DB1665,,Other Products
Mazda,3,BK,Hatchback,2006,2009,,2.3,191,,FWD,DB2176,DB1763,,Std. 4-Wheel Disc
Mazda,3,BL,Hatchback,2009,2013,SP25,2.5,122,,FWD,DB1679,DB1763,,Std. 4-Wheel Disc
Mazda,3,BL,Sedan,2009,2013,SP25,2.5,122,,FWD,DB1679,DB1763,,Std. 4-Wheel Disc
Mazda,626,CB,Sedan,1979,1982,,2,66,,RWD,DB1057,,,Std. Front Disc / Rear Drum Brake
Mazda,5,CR,MPV,2005,2010,,2,107,,FWD,DB1679,DB1763,,Other Products
Mazda,3,BK,Hatchback,2003,2009,,2.3,115,,FWD,DB1679,DB1763,,Std. 4-Wheel Disc
Mazda,3,BK,Sedan,2003,2009,,2.3,115,,FWD,DB1679,DB1763,,Std. 4-Wheel Disc
Mazda,3,BP,Hatchback,2019,,SKYACTIV-X Hybrid,2,132,,FWD,DB2538,DB2539,,Std. 4-Wheel Disc
Mazda,626,GC,Sedan,1983,1987,D,2,46,,FWD,DB304,,,Std. Brake System
Mazda,626,GC,Coupe,1986,1987,i Turbo,2,87,,FWD,DB414,,,Std. Brake System
Mazda,626,GC,Hatchback,1986,1987,i Turbo,2,87,,FWD,DB414,,,Std. Front Disc / Rear Drum Brake
Mazda,626,GC,Sedan,1986,1987,i Turbo,2,87,,FWD,DB414,,,Std. Brake System
Mazda,626,GW,Wagon,1998,2002,,2,93,,FWD,DB1255,DB1115,,Std. Brake System
Mazda,626,GE,Hatchback,1992,1997,i,2,85,,FWD,DB1255,DB1254,,Std. 4-Wheel Disc
Mazda,626,GE,Sedan,1992,1997,i,2,85,,FWD,DB1255,DB1254,,Std. Brake System
Mazda,626,GF,Hatchback,1998,2002,,2,93,,FWD,DB1255,DB1254,,Std. Brake System
Mazda,626,GF,Sedan,1997,2002,,2,93,,FWD,DB1255,DB1254,,Std. Brake System
Mazda,626,GC,Hatchback,1985,1987,,2,68,,FWD,DB304,,,Other Products
Mazda,626,GC,Coupe,1983,1987,,2,70,,FWD,DB304,,,Std. Brake System
Mazda,626,GC,Hatchback,1983,1987,,2,74,,FWD,DB304,,,Std. Front Disc / Rear Drum Brake
Mazda,626,GC,Sedan,1983,1987,,2,74,,FWD,DB304,,,Std. Brake System
Mazda,6,GG,Hatchback,2006,2008,DI,2,105,,FWD,DB1682,DB1760,,Std. 4-Wheel Disc
Mazda,6,GG,Sedan,2006,2008,DI,2,105,,FWD,DB1682,DB1760,,Std. 4-Wheel Disc
Mazda,626,GD,Hatchback,1987,1991,i Turbo,2.2,100,,FWD,DB1114,DB1115,,Std. 4-Wheel Disc
Mazda,626,GE,Hatchback,1992,1997,24V,2.5,121,,FWD,DB1255,DB1254,,Std. Brake System
Mazda,626,GE,Sedan,1992,1997,24V,2.5,121,,FWD,DB1255,DB1254,,Std. Brake System
Mazda,626,GV,Wagon,1988,1997,12V,2.2,85,,FWD,DB1114,DB1115,,Std. 4-Wheel Disc
Mazda,626,GD,Hatchback,1988,1991,12V,2.2,85,,FWD,DB1114,DB1115,,Std. Brake System
Mazda,626,GD,Sedan,1987,1991,12V,2.2,85,,FWD,DB1114,DB1115,,Std. Brake System
Mazda,6,GH,Hatchback,2010,2012,MZR-CD,2.2,132,,FWD,DB1942,DB1760,,Std. 4-Wheel Disc
Mazda,6,GH,Hatchback,2009,2011,MZR-CD,2.2,136,,FWD,DB1942,DB1760,,Std. 4-Wheel Disc
Mazda,6,GH,Wagon,2008,2011,MZR-CD,2.2,136,,FWD,DB1942,DB1760,,Std. 4-Wheel Disc
Mazda,6,GY,Wagon,2006,2008,DI,2,105,,FWD,DB1484,DB1760,,Std. 4-Wheel Disc
Mazda,6,GY,Wagon,2002,2008,,2.3,122,,FWD,DB1484,DB1760,,Std. 4-Wheel Disc
Mazda,6,GG,Hatchback,2002,2008,,2.3,122,,FWD,DB1682,DB1760,,Std. 4-Wheel Disc
Mazda,6,GG,Sedan,2002,2008,,2.3,122,,FWD,DB1682,DB1760,,Std. 4-Wheel Disc
Mazda,6,"GJ, GL",Sedan,2012,2018,D,2.2,129,,FWD,DB2293,DB2294,,Std. 4-Wheel Disc
Mazda,6,"GJ, GL",Wagon,2012,2018,D,2.2,129,,FWD,DB2293,DB2294,,Std. 4-Wheel Disc
Mazda,6,"GJ, GL",Sedan,2018,2019,D,2.2,140,,FWD,DB2293,DB2425,,Std. 4-Wheel Disc
Mazda,6,"GJ, GL",Wagon,2018,2019,D,2.2,140,,FWD,DB2293,DB2425,,Std. 4-Wheel Disc
Mazda,929,HB,Sedan,1982,1984,,2,66,,RWD,DB278,,,Std. 4-Wheel Disc
Mazda,929,HB,Coupe,1984,1985,,2,74,,RWD,DB278,,,Std. 4-Wheel Disc
