Manufacturer,Model,Series,Engine,Cylinders,Capacity,Fuel_Type,Fuel_Air_Intake,Year,4WD_Filter_Kit,Filter_Guard_Kit
HOLDEN,1,,,,,,,,K-19040,
HOLDEN,,,,,,,CARTRIDGE OIL FILTER,,K-19040,
HOLDEN,,,,,,,CARTRIDGE OIL FILTER,,K-19040,
HOLDEN,,,,,,,CARTRIDGE OIL FILTER,,K-19040,
HOLDEN,,,,,,,CARTRIDGE OIL FILTER,,K-19050,
HOLDEN,,,,,,,SPIN-ON OIL FILTER,,K-19050,
HOLDEN,,,,,,,SPIN-ON OIL FILTER,,K-19050,
HOLDEN,,,,,,,SPIN-ON OIL FILTER,,K-19050,
ISUZU,RG,LWN,HYUNDAI,4,,,MPFI,2003-2005,K-23010,
ISUZU,,,,,,P,MPFI,2006-2008,K-23020,
ISUZU,10/2016-ON,,,,2.8,D,CRD TURBO,,K-65030,
ISUZU,,,,4,2.5,D,CRD TURBO,2008-ON,K-28010,
ISUZU,G4KG,,,4,2.4,P,MPFI,2008-ON,K-28020,
ISUZU,TF,4JJ1,10/2008-05/2012,4,3.0,D,DI,,K-15131,
ISUZU,D-MAX,TF,4JJ1-TC,4,3.0,D,DI,,K-15310,FG-1003
ISUZU,FG-1003,ISUZU,D-MAX,4,3.0,D,DI,,K-15310,FG-1003
ISUZU,FG-1003,ISUZU,D-MAX,4,3.0,D,CRD TURBO,,K-15350,
ISUZU,D-MAX,TFS,4JJ3-TCX,4,3.0,D,CRD TURBO,,K-15350,
ISUZU,MU-X,UC,4JJ1,4,3.0,D,DI,,K-15310,FG-1003
ISUZU,FG-1003,ISUZU,MU-X,4,3.0,D,DI,,K-15310,FG-1003
ISUZU,FG-1003,ISUZU,MU-X,4,3.0,D,CRD TURBO,,K-15350,
ISUZU,MU-X,UCS,4JJ3-TCX,4,3.0,D,CRD TURBO,,K-15350,
ISUZU,SC28R150,Q5,10/2017-ON,4,2.8,D,CRD,1998-2007,K-11230,FG-1001
MAZDA,FG-1001,LDV,T60,4,2.5,D,TURBO DIESEL,2000-2006,K-19010,
MAZDA,B2500,WL,,4,2.5,D,TURBO DIESEL,2000-2006,K-19020,
MAZDA,B2600,,,4,2.6,P,G6 EFI,1991-1999,K-17020,
MAZDA,B2600,G6,,4,2.6,P,,1999-2006,K-17030,
MAZDA,BRAVO,B2500,WL-T,4,2.5,D,TURBO DIESEL,1999-2006,K-19010,
MAZDA,BRAVO,B2500,WL-T,4,2.5,D,TURBO DIESEL,1999-2006,K-19020,
MAZDA,BRAVO,B2600,G6E,4,2.6,P,MPFI,1992-1999,K-17020,
MAZDA,BRAVO,B2600,G6E,4,2.6,P,MPFI,1996-1999,K-17020,
MAZDA,BRAVO,B2600,G6E,4,2.6,P,MPFI,1999-2006,K-17030,
MAZDA,BRAVO,B2600,G6E,4,2.6,P,MPFI,1999-2006,K-17030,
MAZDA,BT-50,B2500,WLAT,4,2.5,D,TURBO DIESEL,2006-2009,K-11100,
MAZDA,BT-50,B2500 BOSS,WLAT,4,2.5,D,TURBO DIESEL,2009-2011,K-11100,
MAZDA,BT-50,B3000,WEAT,4,3.0,D,TURBO DIESEL,2006-2009,K-11100,
