part_number,name,voltage,capacity_ah,length_mm,width_mm,height_mm,terminal_layout,cca,rc,warranty_months,category,tier,make,model,year_from,year_to,series,engine_type,drive_type,body_type,chassis,engine_code,power_kw,is_auxiliary
N70ZZL MF,"Hi Performance (SUV, 4x4 & Light Commercial)",12,85,305,171,202,C Polarity STD Terminal,720,170,20,"SUV, 4x4 & Light Commercial",Hi Performance,KIA,CARNIVAL / GRAND CARNIVAL,2009,2011,2.9 CRDi Diesel Front-Wheel Drive MPV,Diesel,Front-Wheel Drive,MPV,VQ,J3(CRDi),136,No
N70ZZLX MF,"Ultra Hi Performance (SUV, 4x4 & Light Commercial)",12,95,305,171,202,C Polarity STD Terminal,810,185,30,"SUV, 4x4 & Light Commercial",Ultra Hi Performance,KIA,CARNIVAL / GRAND CARNIVAL,2006,2011,2.9 CRDi LX Diesel Front-Wheel Drive MPV,Diesel,Front-Wheel Drive,MPV,VQ,J3(CRDi),141,No
N70ZZL MF,"Hi Performance (SUV, 4x4 & Light Commercial)",12,85,305,171,202,C Polarity STD Terminal,720,170,20,"SUV, 4x4 & Light Commercial",Hi Performance,KIA,CARNIVAL / GRAND CARNIVAL,2006,2011,2.9 CRDi LX Diesel Front-Wheel Drive MPV,Diesel,Front-Wheel Drive,MPV,VQ,J3(CRDi),141,No
NS70LX MF,"Ultra Hi Performance (SUV, 4x4 & Light Commercial)",12,82,259,171,202,C Polarity STD Terminal,720,150,30,"SUV, 4x4 & Light Commercial",Ultra Hi Performance,KIA,CARNIVAL / GRAND CARNIVAL,2006,2010,3.8 Petrol Front-Wheel Drive MPV,Petrol,Front-Wheel Drive,MPV,VQ,G6DA,195,No
NS70L MF,"Hi Performance (SUV, 4x4 & Light Commercial)",12,75,259,171,202,C Polarity STD Terminal,650,140,20,"SUV, 4x4 & Light Commercial",Hi Performance,KIA,CARNIVAL / GRAND CARNIVAL,2006,2010,3.8 Petrol Front-Wheel Drive MPV,Petrol,Front-Wheel Drive,MPV,VQ,G6DA,195,No
NS70LX MF,"Ultra Hi Performance (SUV, 4x4 & Light Commercial)",12,82,259,171,202,C Polarity STD Terminal,720,150,30,"SUV, 4x4 & Light Commercial",Ultra Hi Performance,KIA,CARNIVAL / GRAND CARNIVAL,2006,2009,2.7 V6 Petrol Front-Wheel Drive MPV,Petrol,Front-Wheel Drive,MPV,VQ,G6EA,139,No
NS70L MF,"Hi Performance (SUV, 4x4 & Light Commercial)",12,75,259,171,202,C Polarity STD Terminal,650,140,20,"SUV, 4x4 & Light Commercial",Hi Performance,KIA,CARNIVAL / GRAND CARNIVAL,2006,2009,2.7 V6 Petrol Front-Wheel Drive MPV,Petrol,Front-Wheel Drive,MPV,VQ,G6EA,139,No
N70ZZHX MF,"Ultra Hi Performance (Truck, Bus & Heavy Equipment)",12,95,302,172,200,D Polarity STD Terminal,780,180,18,"Truck, Bus & Heavy Equipment",Ultra Hi Performance,KIA,CERES,1997,2000,2.4 D 4WD Diesel All-wheel Drive Platform/Chassis,Diesel,All-wheel Drive,Platform/Chassis,,SC,53,No
N70ZZHX,"Ultra Hi Performance (Truck, Bus & Heavy Equipment)",12,95,305,171,202,D Polarity STD Terminal,730,180,18,"Truck, Bus & Heavy Equipment",Ultra Hi Performance,KIA,CERES,1997,2000,2.4 D 4WD Diesel All-wheel Drive Platform/Chassis,Diesel,All-wheel Drive,Platform/Chassis,,SC,53,No
N70ZZH MF,"Hi Performance (Truck, Bus & Heavy Equipment)",12,90,305,171,202,D Polarity STD Terminal,780,160,12,"Truck, Bus & Heavy Equipment",Hi Performance,KIA,CERES,1997,2000,2.4 D 4WD Diesel All-wheel Drive Platform/Chassis,Diesel,All-wheel Drive,Platform/Chassis,,SC,53,No
