part_number,name,voltage,capacity_ah,length_mm,width_mm,height_mm,terminal_layout,cca,rc,warranty_months,category,tier,make,model,year_from,year_to,series,engine_type,drive_type,body_type,chassis,engine_code,power_kw,is_auxiliary
55D23R MF,Hi Performance (Car & Passenger Vehicle),12,60,232,173,202,D Polarity STD Terminal,540,105,30,Car & Passenger Vehicles,Hi Performance,MITSUBISHI,TRITON,1986,1996,2.6 (K13T) Petrol Rear-Wheel Drive Ute,Petrol,Rear-Wheel Drive,Ute,"K3_T,MJ,MF,MG,MH,ME,K0_T,K1_T,K2_T",4G54,84,No
75D23R MF,Ultra Hi Performance (Car & Passenger Vehicle),12,70,231,171,202,D Polarity STD Terminal,620,120,40,Car & Passenger Vehicles,Ultra Hi Performance,MITSUBISHI,TRITON,1986,1996,2.6 (K33T) Petrol Rear-Wheel Drive Platform/Chassis,Petrol,Rear-Wheel Drive,Platform/Chassis,"MH,MG,MF,ME,MJ,K0_T,K2_T,K1_T,K3_T",4G54,79,No
55D23R MF,Hi Performance (Car & Passenger Vehicle),12,60,232,173,202,D Polarity STD Terminal,540,105,30,Car & Passenger Vehicles,Hi Performance,MITSUBISHI,TRITON,1986,1996,2.6 (K33T) Petrol Rear-Wheel Drive Platform/Chassis,Petrol,Rear-Wheel Drive,Platform/Chassis,"MH,MG,MF,ME,MJ,K0_T,K2_T,K1_T,K3_T",4G54,79,No
75D23R MF,Ultra Hi Performance (Car & Passenger Vehicle),12,70,231,171,202,D Polarity STD Terminal,620,120,40,Car & Passenger Vehicles,Ultra Hi Performance,MITSUBISHI,TRITON,1986,1996,2.6 (K33T) Petrol Rear-Wheel Drive Ute,Petrol,Rear-Wheel Drive,Ute,"K3_T,MJ,MF,MG,MH,ME,K0_T,K1_T,K2_T",4G54,79,No
55D23R MF,Hi Performance (Car & Passenger Vehicle),12,60,232,173,202,D Polarity STD Terminal,540,105,30,Car & Passenger Vehicles,Hi Performance,MITSUBISHI,TRITON,1986,1996,2.6 (K33T) Petrol Rear-Wheel Drive Ute,Petrol,Rear-Wheel Drive,Ute,"K3_T,MJ,MF,MG,MH,ME,K0_T,K1_T,K2_T",4G54,79,No
75D23R MF,Ultra Hi Performance (Car & Passenger Vehicle),12,70,231,171,202,D Polarity STD Terminal,620,120,40,Car & Passenger Vehicles,Ultra Hi Performance,MITSUBISHI,TRITON,1986,1996,2.6 4WD (K33T) Petrol All-wheel Drive Ute,Petrol,All-wheel Drive,Ute,"K3_T,MJ,MF,MG,MH,ME,K0_T,K1_T,K2_T",4G54,84,No
55D23R MF,Hi Performance (Car & Passenger Vehicle),12,60,232,173,202,D Polarity STD Terminal,540,105,30,Car & Passenger Vehicles,Hi Performance,MITSUBISHI,TRITON,1986,1996,2.6 4WD (K33T) Petrol All-wheel Drive Ute,Petrol,All-wheel Drive,Ute,"K3_T,MJ,MF,MG,MH,ME,K0_T,K1_T,K2_T",4G54,84,No
N70ZZXHDMF,"Overlander (SUV, 4x4 & Light Commercial)",12,100,305,171,202,D Polarity STD/WNUT Terminal,760,180,36,"SUV, 4x4 & Light Commercial",Overlander 4x4,MITSUBISHI,TRITON,1990,1995,2.5 TD 4WD (K34T) Diesel All-wheel Drive Ute,Diesel,All-wheel Drive,Ute,"K3_T,MJ,MF,MG,MH,ME,K0_T,K1_T,K2_T",4D56-T,62,No
N70ZZX MF,"Ultra Hi Performance (SUV, 4x4 & Light Commercial)",12,95,305,171,202,D Polarity STD Terminal,810,185,30,"SUV, 4x4 & Light Commercial",Ultra Hi Performance,MITSUBISHI,TRITON,1990,1995,2.5 TD 4WD (K34T) Diesel All-wheel Drive Ute,Diesel,All-wheel Drive,Ute,"K3_T,MJ,MF,MG,MH,ME,K0_T,K1_T,K2_T",4D56-T,62,No
N70ZZ MF,"Hi Performance (SUV, 4x4 & Light Commercial)",12,85,305,171,202,D Polarity STD Terminal,720,170,20,"SUV, 4x4 & Light Commercial",Hi Performance,MITSUBISHI,TRITON,1990,1995,2.5 TD 4WD (K34T) Diesel All-wheel Drive Ute,Diesel,All-wheel Drive,Ute,"K3_T,MJ,MF,MG,MH,ME,K0_T,K1_T,K2_T",4D56-T,62,No
75D23R MF,Ultra Hi Performance (Car & Passenger Vehicle),12,70,231,171,202,D Polarity STD Terminal,620,120,40,Car & Passenger Vehicles,Ultra Hi Performance,MITSUBISHI,TRITON,1986,1995,2.6 4WD Petrol All-wheel Drive Ute,Petrol,All-wheel Drive,Ute,"K3_T,MJ,MF,MG,MH,ME,K0_T,K1_T,K2_T",4G54,79,No
55D23R MF,Hi Performance (Car & Passenger Vehicle),12,60,232,173,202,D Polarity STD Terminal,540,105,30,Car & Passenger Vehicles,Hi Performance,MITSUBISHI,TRITON,1986,1995,2.6 4WD Petrol All-wheel Drive Ute,Petrol,All-wheel Drive,Ute,"K3_T,MJ,MF,MG,MH,ME,K0_T,K1_T,K2_T",4G54,79,No
41,Hi Performance (Car & Passenger Vehicle),12,40,230,133,180,D Polarity STD Terminal,330,60,30,Car & Passenger Vehicles,Hi Performance,MITSUBISHI,SIGMA SCORPION,1979,1980,2.6 Petrol Rear-Wheel Drive Coupe,Petrol,Rear-Wheel Drive,Coupe,GH,4G54,76,No
