part_number,name,voltage,capacity_ah,length_mm,width_mm,height_mm,terminal_layout,cca,rc,warranty_months,category,tier,make,model,year_from,year_to,series,engine_type,drive_type,body_type,chassis,engine_code,power_kw,is_auxiliary
55D23L MF,Hi Performance (Car & Passenger Vehicle),12,60,232,173,202,C Polarity STD Terminal,540,105,30,Car & Passenger Vehicles,Hi Performance,MAZDA,323 ASTINA,1994,1998,2.0 (BAEP) Petrol Front-Wheel Drive Coupe,Petrol,Front-Wheel Drive,Coupe,BA,KF,104,No
75D23L MF,Ultra Hi Performance (Car & Passenger Vehicle),12,70,231,171,202,C Polarity STD Terminal,620,120,40,Car & Passenger Vehicles,Ultra Hi Performance,MAZDA,323 ASTINA,1994,1998,2.0 24V (BAEP) Petrol Front-Wheel Drive Hatchback,Petrol,Front-Wheel Drive,Hatchback,BA,KF,106,No
55D23L MF,Hi Performance (Car & Passenger Vehicle),12,60,232,173,202,C Polarity STD Terminal,540,105,30,Car & Passenger Vehicles,Hi Performance,MAZDA,323 ASTINA,1994,1998,2.0 24V (BAEP) Petrol Front-Wheel Drive Hatchback,Petrol,Front-Wheel Drive,Hatchback,BA,KF,106,No
75D23L MF,Ultra Hi Performance (Car & Passenger Vehicle),12,70,231,171,202,C Polarity STD Terminal,620,120,40,Car & Passenger Vehicles,Ultra Hi Performance,MAZDA,323 ASTINA,1991,1994,"1.6 16V (BG6S, BG6P) Petrol Front-Wheel Drive Hatchback",Petrol,Front-Wheel Drive,Hatchback,BG,B6,65,No
55D23L MF,Hi Performance (Car & Passenger Vehicle),12,60,232,173,202,C Polarity STD Terminal,540,105,30,Car & Passenger Vehicles,Hi Performance,MAZDA,323 ASTINA,1991,1994,"1.6 16V (BG6S, BG6P) Petrol Front-Wheel Drive Hatchback",Petrol,Front-Wheel Drive,Hatchback,BG,B6,65,No
75D23L MF,Ultra Hi Performance (Car & Passenger Vehicle),12,70,231,171,202,C Polarity STD Terminal,620,120,40,Car & Passenger Vehicles,Ultra Hi Performance,MAZDA,323 ASTINA,1989,1994,"1.8 16V (BG8S, BG8P) Petrol Front-Wheel Drive Hatchback",Petrol,Front-Wheel Drive,Hatchback,BG,BP,76,No
55D23L MF,Hi Performance (Car & Passenger Vehicle),12,60,232,173,202,C Polarity STD Terminal,540,105,30,Car & Passenger Vehicles,Hi Performance,MAZDA,323 ASTINA,1989,1994,"1.8 16V (BG8S, BG8P) Petrol Front-Wheel Drive Hatchback",Petrol,Front-Wheel Drive,Hatchback,BG,BP,76,No
75D23L MF,Ultra Hi Performance (Car & Passenger Vehicle),12,70,231,171,202,C Polarity STD Terminal,620,120,40,Car & Passenger Vehicles,Ultra Hi Performance,MAZDA,323 ASTINA,1989,1994,"1.8 16V GT (BG8S, BG8P) Petrol Front-Wheel Drive Hatchback",Petrol,Front-Wheel Drive,Hatchback,BG,BP (DOHC),94,No
55D23L MF,Hi Performance (Car & Passenger Vehicle),12,60,232,173,202,C Polarity STD Terminal,540,105,30,Car & Passenger Vehicles,Hi Performance,MAZDA,323 ASTINA,1989,1994,"1.8 16V GT (BG8S, BG8P) Petrol Front-Wheel Drive Hatchback",Petrol,Front-Wheel Drive,Hatchback,BG,BP (DOHC),94,No
75D23L MF,Ultra Hi Performance (Car & Passenger Vehicle),12,70,231,171,202,C Polarity STD Terminal,620,120,40,Car & Passenger Vehicles,Ultra Hi Performance,MAZDA,323 ASTINA,1989,1991,"1.6 (BG6S, BG6P) Petrol Front-Wheel Drive Hatchback",Petrol,Front-Wheel Drive,Hatchback,BG,B6E,62,No
