part_number,name,voltage,capacity_ah,length_mm,width_mm,height_mm,terminal_layout,cca,rc,warranty_months,category,tier,make,model,year_from,year_to,series,engine_type,drive_type,body_type,chassis,engine_code,power_kw,is_auxiliary
67 MF,Ultra Hi Performance (Car & Passenger Vehicle),12,64,231,171,184,D Polarity STD Terminal,640,115,40,Car & Passenger Vehicles,Ultra Hi Performance,DATSUN,180B,1975,1977,WP610 1.8 (WP610) Petrol Rear-Wheel Drive Wagon,Petrol,Rear-Wheel Drive,Wagon,WP610,L18,78,No
57 MF,Hi Performance (Car & Passenger Vehicle),12,57,231,171,184,D Polarity STD Terminal,560,100,30,Car & Passenger Vehicles,Hi Performance,DATSUN,180B,1975,1977,WP610 1.8 (WP610) Petrol Rear-Wheel Drive Wagon,Petrol,Rear-Wheel Drive,Wagon,WP610,L18,78,No
67 MF,Ultra Hi Performance (Car & Passenger Vehicle),12,64,231,171,184,D Polarity STD Terminal,640,115,40,Car & Passenger Vehicles,Ultra Hi Performance,DATSUN,180B,1974,1977,KP610 1.8 SSS (KP610) Petrol Rear-Wheel Drive Coupe,Petrol,Rear-Wheel Drive,Coupe,KP610,L18 (TWIN),82,No
57 MF,Hi Performance (Car & Passenger Vehicle),12,57,231,171,184,D Polarity STD Terminal,560,100,30,Car & Passenger Vehicles,Hi Performance,DATSUN,180B,1974,1977,KP610 1.8 SSS (KP610) Petrol Rear-Wheel Drive Coupe,Petrol,Rear-Wheel Drive,Coupe,KP610,L18 (TWIN),82,No
67 MF,Ultra Hi Performance (Car & Passenger Vehicle),12,64,231,171,184,D Polarity STD Terminal,640,115,40,Car & Passenger Vehicles,Ultra Hi Performance,DATSUN,180B,1972,1977,P610 1.8 (P610) Petrol Rear-Wheel Drive Sedan,Petrol,Rear-Wheel Drive,Sedan,P610,L18,78,No
57 MF,Hi Performance (Car & Passenger Vehicle),12,57,231,171,184,D Polarity STD Terminal,560,100,30,Car & Passenger Vehicles,Hi Performance,DATSUN,180B,1972,1977,P610 1.8 (P610) Petrol Rear-Wheel Drive Sedan,Petrol,Rear-Wheel Drive,Sedan,P610,L18,78,No
67 MF,Ultra Hi Performance (Car & Passenger Vehicle),12,64,231,171,184,D Polarity STD Terminal,640,115,40,Car & Passenger Vehicles,Ultra Hi Performance,DATSUN,240Z,1970,1974,S30 2.4 Petrol Rear-Wheel Drive Coupe,Petrol,Rear-Wheel Drive,Coupe,S30,L24,110,No
57 MF,Hi Performance (Car & Passenger Vehicle),12,57,231,171,184,D Polarity STD Terminal,560,100,30,Car & Passenger Vehicles,Hi Performance,DATSUN,240Z,1970,1974,S30 2.4 Petrol Rear-Wheel Drive Coupe,Petrol,Rear-Wheel Drive,Coupe,S30,L24,110,No
67 MF,Ultra Hi Performance (Car & Passenger Vehicle),12,64,231,171,184,D Polarity STD Terminal,640,115,40,Car & Passenger Vehicles,Ultra Hi Performance,DATSUN,280C,1983,1984,430 2.8 (P430) Petrol Rear-Wheel Drive Sedan,Petrol,Rear-Wheel Drive,Sedan,430,L28E,103,No
57 MF,Hi Performance (Car & Passenger Vehicle),12,57,231,171,184,D Polarity STD Terminal,560,100,30,Car & Passenger Vehicles,Hi Performance,DATSUN,280C,1983,1984,430 2.8 (P430) Petrol Rear-Wheel Drive Sedan,Petrol,Rear-Wheel Drive,Sedan,430,L28E,103,No
67 MF,Ultra Hi Performance (Car & Passenger Vehicle),12,64,231,171,184,D Polarity STD Terminal,640,115,40,Car & Passenger Vehicles,Ultra Hi Performance,DATSUN,280C,1980,1983,430 2.8 (P430) Petrol Rear-Wheel Drive Sedan,Petrol,Rear-Wheel Drive,Sedan,430,L28,108,No
57 MF,Hi Performance (Car & Passenger Vehicle),12,57,231,171,184,D Polarity STD Terminal,560,100,30,Car & Passenger Vehicles,Hi Performance,DATSUN,280C,1980,1983,430 2.8 (P430) Petrol Rear-Wheel Drive Sedan,Petrol,Rear-Wheel Drive,Sedan,430,L28,108,No
67 MF,Ultra Hi Performance (Car & Passenger Vehicle),12,64,231,171,184,D Polarity STD Terminal,640,115,40,Car & Passenger Vehicles,Ultra Hi Performance,DATSUN,280C,1977,1979,330 2.8 (P330) Petrol Rear-Wheel Drive Sedan,Petrol,Rear-Wheel Drive,Sedan,330,L28,99,No
57 MF,Hi Performance (Car & Passenger Vehicle),12,57,231,171,184,D Polarity STD Terminal,560,100,30,Car & Passenger Vehicles,Hi Performance,DATSUN,280C,1977,1979,330 2.8 (P330) Petrol Rear-Wheel Drive Sedan,Petrol,Rear-Wheel Drive,Sedan,330,L28,99,No
67 MF,Ultra Hi Performance (Car & Passenger Vehicle),12,64,231,171,184,D Polarity STD Terminal,640,115,40,Car & Passenger Vehicles,Ultra Hi Performance,DATSUN,280C,1977,1979,330 2.8 (P330) Petrol Rear-Wheel Drive Sedan,Petrol,Rear-Wheel Drive,Sedan,330,L28,108,No
57 MF,Hi Performance (Car & Passenger Vehicle),12,57,231,171,184,D Polarity STD Terminal,560,100,30,Car & Passenger Vehicles,Hi Performance,DATSUN,280C,1977,1979,330 2.8 (P330) Petrol Rear-Wheel Drive Sedan,Petrol,Rear-Wheel Drive,Sedan,330,L28,108,No
