Manufacturer,Model,Series,Engine,Cylinders,Capacity,Fuel_Type,Fuel_Air_Intake,Year,4WD_Filter_Kit,Filter_Guard_Kit,_skip_reason
MAZDA,BT-50,B2500,WLAT,4,2.5,D,TURBO DIESEL,2006-2009,K-11100,,Model looks like engine code
MAZDA,BT-50,B2500 BOSS,WLAT,4,2.5,D,TURBO DIESEL,2009-2011,K-11100,,Model looks like engine code
MAZDA,BT-50,B3000,WEAT,4,3.0,D,TURBO DIESEL,2006-2009,K-11100,,Model looks like engine code
MAZDA,BT-50,B3000 BOSS,WEAT,4,3.0,D,TURBO DIESEL,2009-2011,K-11100,,Model looks like engine code
MAZDA,BT-50,UP0Y,P4AT,4,2.2,D,,2011-ON,K-17010,FG-1002,Model looks like engine code
MAZDA,FG-1002,MAZDA,BT-50,5,3.2,D,,2011-ON,K-17010,FG-1002,Model looks like engine code
MAZDA,FG-1002,MAZDA,BT-50,4,2.2,D,TURBO DIESEL,,K-17010,FG-1002,No valid year range
MAZDA,FG-1002,MAZDA,BT-50,4,3.0,D,CRD TURBO,,K-17040,,No valid year range
MAZDA,BT-50,TFS40,4JJ3-TCX,4,3.0,D,CRD TURBO,,K-17040,,No valid year range
MAZDA,JE,,,6,3.0,P,MPFI,1993-1999,K-17030,,Model looks like engine code
MERCEDES BENZ,LV,SERIES 2,MAZDA,4,2.3,D,CRD,,K-18310,,No valid year range
MERCEDES BENZ,X250d,470,YS23DDTT,4,2.3,D,CRD,,K-18310,,No valid year range
MITSUBISHI,NK,4M40T,MITSUBISHI,4,,,MPFI,,K-10120,FG-1007,No valid year range
MITSUBISHI,FG-1007,,,,,D,DI,07/2013-2015,K-10120,,Model looks like engine code
MITSUBISHI,,,,,2.8,D,TURBO DIESEL,1996-1997,K-10200,,No model
MITSUBISHI,,,,4,2.8,D,TURBO DIESEL,1997-2000,K-10200,,No model
MITSUBISHI,6G74,,,6,3.5,P,MPFI,2000-2002,K-10130,,Model looks like engine code
MITSUBISHI,NM,4M41T,,4,3.2,D,TURBO DIESEL,2000-2002,K-10150,,Model looks like engine code
MITSUBISHI,PAJERO,NM,4M40T,4,2.8,D,TURBO DIESEL,2000-2002,K-10150,,Model looks like engine code
MITSUBISHI,PAJERO,NP,6G74,6,3.5,P,MPFI,2002-2004,K-10130,,Model looks like engine code
MITSUBISHI,PAJERO,NP,6G75,6,3.8,P,MPFI,2003-2006,K-10130,,Model looks like engine code
MITSUBISHI,PAJERO,NP,4M41T,4,3.2,D,TURBO DIESEL,2002-2006,K-10150,,Model looks like engine code
MITSUBISHI,PAJERO,NP,4M41T,4,3.2,D,TURBO DIESEL,2005-2006,K-10150,,Model looks like engine code
MITSUBISHI,PAJERO,NS,4M41T,4,3.2,D,TURBO DIESEL,2006-2008,K-10020,,Model looks like engine code
MITSUBISHI,PAJERO,NT,4M41T,4,3.2,D,TURBO DIESEL,,K-10020,,No valid year range
MITSUBISHI,PAJERO,NW,4M41,4,3.2,D,,,K-10020,,No valid year range
MITSUBISHI,PAJERO,NX,4M41,4,3.2,D,,,K-10020,,No valid year range
MITSUBISHI,PAJERO SPORT,QE,4N15,4,2.4,D,CRD TURBO,,K-18330,,No valid year range
MITSUBISHI,TRITON,MK,6G72,6,3.0,P,MPFI,08/2000-2006,K-10160,,Model looks like engine code
MITSUBISHI,TRITON,MK,6G72,6,3.0,P,MPFI,,K-10160,,No valid year range
MITSUBISHI,TRITON,MK,4M40T,4,2.8,D,TURBO DIESEL,1996-2006,K-10200,,Model looks like engine code
MITSUBISHI,TRITON,ML,4M41T,4,3.2,D,MPFI,,K-10030,FG-1007,No valid year range
MITSUBISHI,FG-1007,MITSUBISHI,TRITON,4,2.5,D,,,K-10120,FG-1007,No valid year range
MITSUBISHI,FG-1007,MITSUBISHI,TRITON,6,3.5,P,MPFI,,K-10140,,No valid year range
MITSUBISHI,TRITON,ML,4G64,4,2.4,P,MPFI,2007-2009,K-10300,,Model looks like engine code
MITSUBISHI,TRITON,MN,4D56,4,2.5,D,MPFI,,K-10120,,No valid year range
MITSUBISHI,TRITON,MN,4G64,4,2.4,P,MPFI,2008-2015,K-10300,,Model looks like engine code
MITSUBISHI,TRITON,MQ,4N15,4,2.4,D,DI,,K-18330,FG-1008,No valid year range
MITSUBISHI,FG-1008,MITSUBISHI,TRITON,4,2.4,D,DI,,K-18330,FG-1008,No valid year range
NISSAN,FG-1008,NISSAN,ELGRAND,4,3.0,D,TURBO,1999-2002,K-18070,,Model looks like engine code
NISSAN,YD25DDT,NISSAN,NAVARA,4,2.5,D,TURBO DIESEL,2002-2009,K-18070,,Model looks like engine code
NISSAN,NAVARA,"D23,NP300",YS23DDT,4,2.3,D,CRD TURBO,,K-18310,No valid kit number
NISSAN,FG-2004,NISSAN,NAVARA,4,2.3,D,CRD TWIN TURBO,,K-18310,FG-2004,No valid year range
NISSAN,FG-2004,NISSAN,NAVARA,4,2.5,P,MPFI,,K-18320,,No valid year range
NISSAN,NAVARA,D40,YD25,4,2.5,D,TURBO DIESEL,2006-2012,K-18200,,Model looks like engine code
NISSAN,NAVARA,D40,YD25,4,2.5,D,TURBO DIESEL,2008-2015,K-18230,,Model looks like engine code
NISSAN,PATHFINDER,R51,YD25,4,2.5,D,,,K-18200,FG-2003,No valid year range
NISSAN,FG-2003,UP TO 2010,NISSAN,4,2.5,D,,,K-18200,,No valid year range
