reason,part_number,make,model,year_from,year_to,description,engine_type,body_type,engine_code,power_kw
"No matching vehicle found in DB",NS70X MF,ASTON MARTIN,"V8",1985,1987,"5.3 Petrol Rear-Wheel Drive Coupe",Petrol,Coupe,"40HE",262
"No matching vehicle found in DB",NS70 MF,ASTON MARTIN,"V8",1985,1987,"5.3 Petrol Rear-Wheel Drive Coupe",Petrol,Coupe,"40HE",262
"No matching vehicle found in DB",DIN85LH AGM,ASTON MARTIN,"DBX",2019,2026,"4.0 Petrol All-wheel Drive SUV",Petrol,SUV,"M 177.980,M 177.950",405
"No matching vehicle found in DB",DIN85LH AGM,ASTON MARTIN,"DB11",2018,2026,"5.2 AMR Petrol Rear-Wheel Drive Coupe",Petrol,Coupe,"AE31",470
"No matching vehicle found in DB",DIN85LH AGM,ASTON MARTIN,"DB11",2017,2021,"4.0 V8 Petrol Rear-Wheel Drive Convertible",Petrol,Convertible,"M 177.980,M 177.950,178980",375
"No matching vehicle found in DB",DIN85LH AGM,ASTON MARTIN,"DB11",2017,2021,"4.0 V8 Petrol Rear-Wheel Drive Coupe",Petrol,Coupe,"M 177.980,M 177.950,178980",375
"No matching vehicle found in DB",DIN85LH AGM,ASTON MARTIN,"DB11",2016,2018,"5.2 V12 Petrol Rear-Wheel Drive Coupe",Petrol,Coupe,"AE31",447
"No matching vehicle found in DB",DIN85LH AGM,ASTON MARTIN,"DBS",2019,2026,"Superleggera Petrol Rear-Wheel Drive Convertible",Petrol,Convertible,"",533
"No matching vehicle found in DB",DIN85LH AGM,ASTON MARTIN,"DBS",2018,2026,"5.2 Superleggera (R1A30) Petrol Rear-Wheel Drive Coupe",Petrol,Coupe,"AM52",533
"No matching vehicle found in DB",DIN85LH AGM,ASTON MARTIN,"DBS",2007,2012,"6.0 V12 Petrol Rear-Wheel Drive Convertible",Petrol,Convertible,"AM4R9",380
"No matching vehicle found in DB",DIN85LHX MF,ASTON MARTIN,"DBS",2007,2012,"6.0 V12 Petrol Rear-Wheel Drive Convertible",Petrol,Convertible,"AM4R9",380
"No matching vehicle found in DB",DIN85LH MF,ASTON MARTIN,"DBS",2007,2012,"6.0 V12 Petrol Rear-Wheel Drive Convertible",Petrol,Convertible,"AM4R9",380
"No matching vehicle found in DB",DIN85LH AGM,ASTON MARTIN,"DBS",2007,2012,"6.0 V12 Petrol Rear-Wheel Drive Coupe",Petrol,Coupe,"AM4R9",380
"No matching vehicle found in DB",DIN85LHX MF,ASTON MARTIN,"DBS",2007,2012,"6.0 V12 Petrol Rear-Wheel Drive Coupe",Petrol,Coupe,"AM4R9",380
"No matching vehicle found in DB",DIN85LH MF,ASTON MARTIN,"DBS",2007,2012,"6.0 V12 Petrol Rear-Wheel Drive Coupe",Petrol,Coupe,"AM4R9",380
"No matching vehicle found in DB",N70ZZX MF,ASTON MARTIN,"DBS",1968,1972,"5.3 Petrol Rear-Wheel Drive Coupe",Petrol,Coupe,"40HA3",235
"No matching vehicle found in DB",N70ZZ MF,ASTON MARTIN,"DBS",1968,1972,"5.3 Petrol Rear-Wheel Drive Coupe",Petrol,Coupe,"40HA3",235
"No matching vehicle found in DB",N70ZZX MF,ASTON MARTIN,"DBS",1966,1972,"4.0 Petrol Rear-Wheel Drive Coupe",Petrol,Coupe,"AJ6",210
"No matching vehicle found in DB",N70ZZ MF,ASTON MARTIN,"DBS",1966,1972,"4.0 Petrol Rear-Wheel Drive Coupe",Petrol,Coupe,"AJ6",210
"No matching vehicle found in DB",N70ZZX MF,ASTON MARTIN,"DB5",1962,1965,"4.0 Petrol Rear-Wheel Drive Sedan",Petrol,Sedan,"",210
