reason,part_number,make,model,year_from,year_to,description,engine_type,body_type,engine_code,power_kw
"No matching vehicle found in DB",NS40Z MF,SUZUKI,"LJ80",1977,1981,"0.8 All-wheel Drive (LJ80) Petrol All-wheel Drive",Petrol,,"F8A",29
"No matching vehicle found in DB",NS40ZS MF,SUZUKI,"CULTUS",1991,1996,"1.3 i (SF413, AK35, SY415, E35) Petrol Front-Wheel Drive Convertible",Petrol,Convertible,"G13BA",50
"No matching vehicle found in DB",NS40ZLX MF,SUZUKI,"IGNIS",2016,2026,"1.2 (ATK412) Petrol Front-Wheel Drive Hatchback",Petrol,Hatchback,"K12C",66
"No matching vehicle found in DB",NS40ZL MF,SUZUKI,"IGNIS",2016,2026,"1.2 (ATK412) Petrol Front-Wheel Drive Hatchback",Petrol,Hatchback,"K12C",66
"No matching vehicle found in DB",NS40ZLX MF,SUZUKI,"IGNIS",2003,2005,"1.5 (HV81, RG415) Petrol Front-Wheel Drive Hatchback",Petrol,Hatchback,"M15A",83
"No matching vehicle found in DB",NS40ZL MF,SUZUKI,"IGNIS",2003,2005,"1.5 (HV81, RG415) Petrol Front-Wheel Drive Hatchback",Petrol,Hatchback,"M15A",83
"No matching vehicle found in DB",NS40ZLX MF,SUZUKI,"IGNIS",2000,2005,"1.3 (HV51, HX51, RG413) Petrol Front-Wheel Drive Hatchback",Petrol,Hatchback,"M13A",61
"No matching vehicle found in DB",NS40ZL MF,SUZUKI,"IGNIS",2000,2005,"1.3 (HV51, HX51, RG413) Petrol Front-Wheel Drive Hatchback",Petrol,Hatchback,"M13A",61
"No matching vehicle found in DB",75D23L MF,SUZUKI,"GRAND VITARA (INC XL-7)",2003,2008,"2.7 4x4 (TX92, JA627) Petrol All-wheel Drive",Petrol,,"H 27 A",135
"No matching vehicle found in DB",55D23L MF,SUZUKI,"GRAND VITARA (INC XL-7)",2003,2008,"2.7 4x4 (TX92, JA627) Petrol All-wheel Drive",Petrol,,"H 27 A",135
"No matching vehicle found in DB",75D23L MF,SUZUKI,"GRAND VITARA (INC XL-7)",2001,2005,"2.5 V6 24V 4x4 (SQ625) Petrol All-wheel Drive",Petrol,,"H 25 A",116
"No matching vehicle found in DB",55D23L MF,SUZUKI,"GRAND VITARA (INC XL-7)",2001,2005,"2.5 V6 24V 4x4 (SQ625) Petrol All-wheel Drive",Petrol,,"H 25 A",116
"No matching vehicle found in DB",NS60LSX MF,SUZUKI,"GRAND VITARA (INC XL-7)",2001,2005,"2.5 V6 24V 4x4 (SQ625) Petrol All-wheel Drive",Petrol,,"H 25 A",116
"No matching vehicle found in DB",NS60LSX MF,SUZUKI,"GRAND VITARA (INC XL-7)",1998,2005,"1.6 4x4 (SQ416) Petrol All-wheel Drive",Petrol,,"G16B",69
"No matching vehicle found in DB",NS40ZLX MF,SUZUKI,"GRAND VITARA (INC XL-7)",1998,2005,"1.6 4x4 (SQ416) Petrol All-wheel Drive",Petrol,,"G16B",69
"No matching vehicle found in DB",NS40ZL MF,SUZUKI,"GRAND VITARA (INC XL-7)",1998,2005,"1.6 4x4 (SQ416) Petrol All-wheel Drive",Petrol,,"G16B",69
"No matching vehicle found in DB",75D23L MF,SUZUKI,"GRAND VITARA (INC XL-7)",1998,2005,"2.0 4x4 (TA52, TL52, SQ420) Petrol All-wheel Drive",Petrol,,"J20A",94
"No matching vehicle found in DB",55D23L MF,SUZUKI,"GRAND VITARA (INC XL-7)",1998,2005,"2.0 4x4 (TA52, TL52, SQ420) Petrol All-wheel Drive",Petrol,,"J20A",94
"No matching vehicle found in DB",75D23L MF,SUZUKI,"GRAND VITARA (INC XL-7)",1998,2004,"2.5 V6 24V 4x4 (TD62, SQ625) Petrol All-wheel Drive",Petrol,,"H 25 A",106
"No matching vehicle found in DB",55D23L MF,SUZUKI,"GRAND VITARA (INC XL-7)",1998,2004,"2.5 V6 24V 4x4 (TD62, SQ625) Petrol All-wheel Drive",Petrol,,"H 25 A",106
"No matching vehicle found in DB",NS60LSX MF,SUZUKI,"GRAND VITARA (INC XL-7)",1998,2004,"2.5 V6 24V 4x4 (TD62, SQ625) Petrol All-wheel Drive",Petrol,,"H 25 A",106
"No matching vehicle found in DB",75D23L MF,SUZUKI,"GRAND VITARA (INC XL-7)",2001,2003,"2.7 4x4 (JA627) Petrol All-wheel Drive",Petrol,,"H 27 A",130
"No matching vehicle found in DB",55D23L MF,SUZUKI,"GRAND VITARA (INC XL-7)",2001,2003,"2.7 4x4 (JA627) Petrol All-wheel Drive",Petrol,,"H 27 A",130
"No matching vehicle found in DB",NS40ZLX MF,SUZUKI,"EVERY",2015,2026,"0.7 (DA17W) Petrol Rear-Wheel Drive Bus",Petrol,Bus,"R06A-T",47
"No matching vehicle found in DB",NS40ZL MF,SUZUKI,"EVERY",2015,2026,"0.7 (DA17W) Petrol Rear-Wheel Drive Bus",Petrol,Bus,"R06A-T",47
"No matching vehicle found in DB",NS40ZLX MF,SUZUKI,"EVERY",2015,2026,"0.7 All-wheel Drive (DA17W) Petrol All-wheel Drive Bus",Petrol,Bus,"R06A",36
"No matching vehicle found in DB",NS40ZL MF,SUZUKI,"EVERY",2015,2026,"0.7 All-wheel Drive (DA17W) Petrol All-wheel Drive Bus",Petrol,Bus,"R06A",36
"No matching vehicle found in DB",NS40Z MF,SUZUKI,"HATCH",1980,1985,"0.5 (SS40V) Petrol Front-Wheel Drive Hatchback Van",Petrol,Hatchback Van,"F5A",21
"No matching vehicle found in DB",NS40Z MF,SUZUKI,"HATCH",1980,1985,"0.8 (SS80V) Petrol Front-Wheel Drive Hatchback Van",Petrol,Hatchback Van,"F8B",30
"No matching vehicle found in DB",NS40Z MF,SUZUKI,"LJ81",1977,1981,"0.8 4x4 Petrol All-wheel Drive Ute",Petrol,Ute,"F8A",29
"No matching vehicle found in DB",75D23R MF,SUZUKI,"HUSTLER",2020,2026,"0.7 HYBRID All-wheel Drive Mild Hybrid All-wheel Drive Hatchback",Mild Hybrid,Hatchback,"R06A-T",47
"No matching vehicle found in DB",55D23R MF,SUZUKI,"HUSTLER",2020,2026,"0.7 HYBRID All-wheel Drive Mild Hybrid All-wheel Drive Hatchback",Mild Hybrid,Hatchback,"R06A-T",47
"No matching vehicle found in DB",75D23R MF,SUZUKI,"HUSTLER",2020,2026,"0.7 HYBRID All-wheel Drive Mild Hybrid All-wheel Drive Hatchback",Mild Hybrid,Hatchback,"R06D",36
"No matching vehicle found in DB",55D23R MF,SUZUKI,"HUSTLER",2020,2026,"0.7 HYBRID All-wheel Drive Mild Hybrid All-wheel Drive Hatchback",Mild Hybrid,Hatchback,"R06D",36
"No matching vehicle found in DB",75D23R MF,SUZUKI,"HUSTLER",2020,2026,"0.7 HYBRID Mild Hybrid Front-Wheel Drive Hatchback",Mild Hybrid,Hatchback,"R06A-T",47
"No matching vehicle found in DB",55D23R MF,SUZUKI,"HUSTLER",2020,2026,"0.7 HYBRID Mild Hybrid Front-Wheel Drive Hatchback",Mild Hybrid,Hatchback,"R06A-T",47
"No matching vehicle found in DB",75D23R MF,SUZUKI,"HUSTLER",2020,2026,"0.7 HYBRID Mild Hybrid Front-Wheel Drive Hatchback",Mild Hybrid,Hatchback,"R06D",36
"No matching vehicle found in DB",55D23R MF,SUZUKI,"HUSTLER",2020,2026,"0.7 HYBRID Mild Hybrid Front-Wheel Drive Hatchback",Mild Hybrid,Hatchback,"R06D",36
"No matching vehicle found in DB",75D23R MF,SUZUKI,"HUSTLER",2015,2019,"0.7 Hybrid 4WD Mild Hybrid All-wheel Drive Hatchback",Mild Hybrid,Hatchback,"R06A",38
"No matching vehicle found in DB",55D23R MF,SUZUKI,"HUSTLER",2015,2019,"0.7 Hybrid 4WD Mild Hybrid All-wheel Drive Hatchback",Mild Hybrid,Hatchback,"R06A",38
"No matching vehicle found in DB",75D23R MF,SUZUKI,"HUSTLER",2015,2019,"0.7 Hybrid 4WD Mild Hybrid All-wheel Drive Hatchback",Mild Hybrid,Hatchback,"R06A-T",47
"No matching vehicle found in DB",55D23R MF,SUZUKI,"HUSTLER",2015,2019,"0.7 Hybrid 4WD Mild Hybrid All-wheel Drive Hatchback",Mild Hybrid,Hatchback,"R06A-T",47
"No matching vehicle found in DB",75D23R MF,SUZUKI,"HUSTLER",2015,2019,"0.7 Hybrid Mild Hybrid Front-Wheel Drive Hatchback",Mild Hybrid,Hatchback,"R06A",38
"No matching vehicle found in DB",55D23R MF,SUZUKI,"HUSTLER",2015,2019,"0.7 Hybrid Mild Hybrid Front-Wheel Drive Hatchback",Mild Hybrid,Hatchback,"R06A",38
"No matching vehicle found in DB",75D23R MF,SUZUKI,"HUSTLER",2015,2019,"0.7 Hybrid Mild Hybrid Front-Wheel Drive Hatchback",Mild Hybrid,Hatchback,"R06A-T",47
"No matching vehicle found in DB",55D23R MF,SUZUKI,"HUSTLER",2015,2019,"0.7 Hybrid Mild Hybrid Front-Wheel Drive Hatchback",Mild Hybrid,Hatchback,"R06A-T",47
"No matching vehicle found in DB",NS40Z MF,SUZUKI,"HUSTLER",2014,2019,"0.7 4WD Petrol All-wheel Drive Hatchback",Petrol,Hatchback,"R06A",38
"No matching vehicle found in DB",NS40Z MF,SUZUKI,"HUSTLER",2014,2019,"0.7 4WD Petrol All-wheel Drive Hatchback",Petrol,Hatchback,"R06A-T",47
"No matching vehicle found in DB",NS40Z MF,SUZUKI,"HUSTLER",2014,2019,"0.7 Petrol Front-Wheel Drive Hatchback",Petrol,Hatchback,"R06A",38
"No matching vehicle found in DB",NS40Z MF,SUZUKI,"HUSTLER",2014,2019,"0.7 Petrol Front-Wheel Drive Hatchback",Petrol,Hatchback,"R06A-T",47
"No matching vehicle found in DB",NS60L MF,SUZUKI,"JIMNY",2018,2026,"0.7 AllGrip (JB64W) Petrol All-wheel Drive",Petrol,,"R06A-T",47
"No matching vehicle found in DB",NS60L MF,SUZUKI,"JIMNY",2018,2026,"1.5 AllGrip (JB74W, JB74V, A6G415) Petrol All-wheel Drive",Petrol,,"K15B",75
"No matching vehicle found in DB",NS40Z MF,SUZUKI,"JIMNY",2005,2018,"1.3 16V 4x4 (SN413, JB43) Petrol All-wheel Drive",Petrol,,"M13A",63
"No matching vehicle found in DB",NS40Z MF,SUZUKI,"JIMNY",2000,2017,"1.3 16V 4WD (SN413, JB43) Petrol All-wheel Drive",Petrol,,"M13A",60
"No matching vehicle found in DB",NS40Z MF,SUZUKI,"JIMNY",1998,2017,"1.3 16V (SN413, JB33) Petrol Rear-Wheel Drive",Petrol,,"G13BB",59
"No matching vehicle found in DB",NS40Z MF,SUZUKI,"JIMNY",1998,2002,"1.3 16V 4WD (SN413, JB33) Petrol All-wheel Drive",Petrol,,"G13BB",59
"No matching vehicle found in DB",NS40Z MF,SUZUKI,"JIMNY",2000,2001,"FJ Petrol All-wheel Drive",Petrol,,"G13BB",59
"No matching vehicle found in DB",YTX16-BS,SUZUKI,"KING QUAD",2008,2026,"LT-F500 Petrol Cardan Quad Bike",Petrol,Quad Bike,"400",0
"No matching vehicle found in DB",NS40ZS MF,SUZUKI,"MIGHTY BOY",1985,1988,"0.5 (SS40T) Petrol Front-Wheel Drive Ute",Petrol,Ute,"F5A",21
"No matching vehicle found in DB",NS40Z MF,SUZUKI,"SIERRA",1988,2004,"1.3 All-wheel Drive (SJ413) Petrol All-wheel Drive",Petrol,,"G13A",47
"No matching vehicle found in DB",NS40Z MF,SUZUKI,"SIERRA",1988,2004,"1.3 All-wheel Drive (SJ413, SJ70, SJ80) Petrol All-wheel Drive",Petrol,,"G13BA",51
"No matching vehicle found in DB",NS40Z MF,SUZUKI,"SIERRA",1990,2000,"SJ40 STOCKMAN Petrol All-wheel Drive Ute",Petrol,Ute,"F10A",33
"No matching vehicle found in DB",NS40Z MF,SUZUKI,"SIERRA",1988,2000,"1.0 All-wheel Drive (SJ410) Petrol All-wheel Drive",Petrol,,"F10A",33
"No matching vehicle found in DB",NS40Z MF,SUZUKI,"SIERRA",1989,1999,"1.3 (SJ413, SF413, SJ70, SJ80) Petrol All-wheel Drive",Petrol,,"G13BA",51
"No matching vehicle found in DB",NS40Z MF,SUZUKI,"SIERRA",1981,1991,"1.0 (SJ410) Petrol All-wheel Drive",Petrol,,"F10A",33
"No matching vehicle found in DB",NS40Z MF,SUZUKI,"SIERRA",1984,1990,"1.3 (SJ413) Petrol All-wheel Drive",Petrol,,"G13A",47
"No matching vehicle found in DB",NS40Z MF,SUZUKI,"SIERRA",1984,1990,"1.3 (SJ413, SF413) Petrol All-wheel Drive",Petrol,,"G13A",47
"No matching vehicle found in DB",NS40Z MF,SUZUKI,"SIERRA",1984,1990,"1.3 All-wheel Drive (SJ413) Petrol All-wheel Drive",Petrol,,"G13A",47
"No matching vehicle found in DB",NS40Z MF,SUZUKI,"SIERRA",1981,1988,"1.0 All-wheel Drive (SJ410) Petrol All-wheel Drive",Petrol,,"F10A",33
