reason,part_number,make,model,year_from,year_to,description,engine_type,body_type,engine_code,power_kw
"No matching vehicle found in DB",DIN53L MF,AUDI,"80",1986,1991,"1.6 Petrol Front-Wheel Drive Sedan",Petrol,Sedan,"RN",55
"No matching vehicle found in DB",DIN65L MF,AUDI,"80",1986,1991,"1.8 E Petrol Front-Wheel Drive Sedan",Petrol,Sedan,"DZ",82
"No matching vehicle found in DB",DIN65L MF,AUDI,"80",1986,1991,"1.8 E quattro Petrol All-wheel Drive Sedan",Petrol,Sedan,"DZ",82
"No matching vehicle found in DB",DIN65L MF,AUDI,"80",1986,1991,"1.8 quattro Petrol All-wheel Drive Sedan",Petrol,Sedan,"SD",83
"No matching vehicle found in DB",DIN53LX MF,AUDI,"80",1986,1991,"1.8 S quattro Petrol All-wheel Drive Sedan",Petrol,Sedan,"JN,PM,NE,SF",66
"No matching vehicle found in DB",DIN53L MF,AUDI,"80",1986,1991,"1.8 S quattro Petrol All-wheel Drive Sedan",Petrol,Sedan,"JN,PM,NE,SF",66
"No matching vehicle found in DB",DIN53LX MF,AUDI,"80",1988,1990,"2.0 E Petrol Front-Wheel Drive Sedan",Petrol,Sedan,"3A",83
"No matching vehicle found in DB",DIN53L MF,AUDI,"80",1988,1990,"2.0 E Petrol Front-Wheel Drive Sedan",Petrol,Sedan,"3A",83
"No matching vehicle found in DB",DIN53LX MF,AUDI,"80",1988,1990,"2.0 E Petrol Front-Wheel Drive Sedan",Petrol,Sedan,"3A",82
"No matching vehicle found in DB",DIN53L MF,AUDI,"80",1988,1990,"2.0 E Petrol Front-Wheel Drive Sedan",Petrol,Sedan,"3A",82
"No matching vehicle found in DB",DIN53LX MF,AUDI,"80",1988,1990,"2.0 E quattro Petrol All-wheel Drive Sedan",Petrol,Sedan,"3A",83
"No matching vehicle found in DB",DIN53L MF,AUDI,"80",1988,1990,"2.0 E quattro Petrol All-wheel Drive Sedan",Petrol,Sedan,"3A",83
"No matching vehicle found in DB",DIN53LX MF,AUDI,"80",1986,1990,"1.8 Petrol Front-Wheel Drive Sedan",Petrol,Sedan,"RU",55
"No matching vehicle found in DB",DIN53L MF,AUDI,"80",1986,1990,"1.8 Petrol Front-Wheel Drive Sedan",Petrol,Sedan,"RU",55
"No matching vehicle found in DB",DIN53LX MF,AUDI,"80",1986,1990,"1.8 S Petrol Front-Wheel Drive Sedan",Petrol,Sedan,"SF",65
"No matching vehicle found in DB",DIN53L MF,AUDI,"80",1986,1990,"1.8 S Petrol Front-Wheel Drive Sedan",Petrol,Sedan,"SF",65
"No matching vehicle found in DB",DIN53LX MF,AUDI,"80",1986,1990,"1.8 S quattro Petrol All-wheel Drive Sedan",Petrol,Sedan,"SF",65
"No matching vehicle found in DB",DIN53L MF,AUDI,"80",1986,1990,"1.8 S quattro Petrol All-wheel Drive Sedan",Petrol,Sedan,"SF",65
"No matching vehicle found in DB",DIN53LX MF,AUDI,"80",1986,1988,"1.4 Petrol Front-Wheel Drive Sedan",Petrol,Sedan,"SE",48
"No matching vehicle found in DB",DIN53L MF,AUDI,"80",1986,1988,"1.4 Petrol Front-Wheel Drive Sedan",Petrol,Sedan,"SE",48
"No matching vehicle found in DB",DIN53LX MF,AUDI,"80",1986,1988,"1.8 Petrol Front-Wheel Drive Sedan",Petrol,Sedan,"SD",83
"No matching vehicle found in DB",DIN53L MF,AUDI,"80",1986,1988,"1.8 Petrol Front-Wheel Drive Sedan",Petrol,Sedan,"SD",83
"No matching vehicle found in DB",DIN53LX MF,AUDI,"80",1986,1987,"1.8 S Petrol Front-Wheel Drive Sedan",Petrol,Sedan,"JN,PM,NE,SF,JV",66
"No matching vehicle found in DB",DIN53L MF,AUDI,"80",1986,1987,"1.8 S Petrol Front-Wheel Drive Sedan",Petrol,Sedan,"JN,PM,NE,SF,JV",66
"No matching vehicle found in DB",DIN53LX MF,AUDI,"80",1986,1986,"1.6 Petrol Front-Wheel Drive Sedan",Petrol,Sedan,"SA",54
"No matching vehicle found in DB",DIN53L MF,AUDI,"80",1986,1986,"1.6 Petrol Front-Wheel Drive Sedan",Petrol,Sedan,"SA",54
"No matching vehicle found in DB",DIN53LX MF,AUDI,"80",1986,1986,"1.8 Petrol Front-Wheel Drive Sedan",Petrol,Sedan,"SF",65
"No matching vehicle found in DB",DIN53L MF,AUDI,"80",1986,1986,"1.8 Petrol Front-Wheel Drive Sedan",Petrol,Sedan,"SF",65
"No matching vehicle found in DB",DIN53LX MF,AUDI,"80",1985,1986,"1.8 GTE Petrol Front-Wheel Drive Sedan",Petrol,Sedan,"PV",81
"No matching vehicle found in DB",DIN53L MF,AUDI,"80",1985,1986,"1.8 GTE Petrol Front-Wheel Drive Sedan",Petrol,Sedan,"PV",81
"No matching vehicle found in DB",DIN53LX MF,AUDI,"80",1984,1986,"1.8 CC quattro (85Q) Petrol All-wheel Drive Sedan",Petrol,Sedan,"JN,NE,JV",66
"No matching vehicle found in DB",DIN53L MF,AUDI,"80",1984,1986,"1.8 CC quattro (85Q) Petrol All-wheel Drive Sedan",Petrol,Sedan,"JN,NE,JV",66
"No matching vehicle found in DB",DIN53LX MF,AUDI,"80",1984,1986,"1.8 GTE Petrol Front-Wheel Drive Sedan",Petrol,Sedan,"DZ,MU",82
"No matching vehicle found in DB",DIN53L MF,AUDI,"80",1984,1986,"1.8 GTE Petrol Front-Wheel Drive Sedan",Petrol,Sedan,"DZ,MU",82
"No matching vehicle found in DB",DIN53LX MF,AUDI,"80",1984,1986,"1.8 GTE quattro (85Q) Petrol All-wheel Drive Sedan",Petrol,Sedan,"DZ",82
"No matching vehicle found in DB",DIN53L MF,AUDI,"80",1984,1986,"1.8 GTE quattro (85Q) Petrol All-wheel Drive Sedan",Petrol,Sedan,"DZ",82
"No matching vehicle found in DB",DIN53LX MF,AUDI,"80",1983,1986,"1.8 Petrol Front-Wheel Drive Sedan",Petrol,Sedan,"JN,JV,DS",66
"No matching vehicle found in DB",DIN53L MF,AUDI,"80",1983,1986,"1.8 Petrol Front-Wheel Drive Sedan",Petrol,Sedan,"JN,JV,DS",66
"No matching vehicle found in DB",DIN53LX MF,AUDI,"80",1983,1984,"2.0 Petrol Front-Wheel Drive Sedan",Petrol,Sedan,"JS",85
"No matching vehicle found in DB",DIN53L MF,AUDI,"80",1983,1984,"2.0 Petrol Front-Wheel Drive Sedan",Petrol,Sedan,"JS",85
