brand,model,model_date_start,model_date_end,type,type_date_start,type_date_end,kw,cv,category,product_line,part_number,diameter,thickness,height,width,number_of_holes,brake_disc_type,centering,min_thickness,tightening_torque,units_per_box,braking_system,wear_indicator,wva_number,fmsi,accessories,position,directional
HSV,MALOO (VY),10/02,09/04,5.7 i V8,10/02,09/03,260,354,Brake pads,Prime Ceramic,P59056N,,16mm,58mm,114mm,,,,,,,Lucas,Without,"24818, 24819","D1048 7951, D1048 8223",With anti-squeal shim,,Yes
HSV,MALOO (VY),10/02,09/04,5.7 i V8,10/02,09/03,260,354,Brake pads,Prime Ceramic,P99015N,,18mm,58mm,114mm,,,,,,,Lucas,Without,21127,D1048 8223,With anti-squeal shim,,
HSV,MALOO (VY),10/02,09/04,5.7 i V8,10/03,09/04,285,388,Brake pads,Prime Ceramic,P64002N,,15mm,64mm,183mm,,,,,,,Pontiac,Without,"24815, 24816",D1043 7946,With accessoriesWith anti-squeal shimWith brake caliper bolts,,
HSV,MALOO (VY),10/02,09/04,5.7 i V8,10/03,09/04,285,388,Brake pads,Prime Ceramic,P99013N,,16mm,64mm,183mm,,,,,,,Akebono,Without,24816,,With anti-squeal shim,,
HSV,MALOO (VY),10/02,09/04,5.7 i V8,10/03,09/04,285,388,Brake pads,Prime Ceramic,P59056N,,16mm,58mm,114mm,,,,,,,Lucas,Without,"24818, 24819","D1048 7951, D1048 8223",With anti-squeal shim,,Yes
HSV,MALOO (VY),10/02,09/04,5.7 i V8,10/03,09/04,285,388,Brake pads,Prime Ceramic,P99015N,,18mm,58mm,114mm,,,,,,,Lucas,Without,21127,D1048 8223,With anti-squeal shim,,
HSV,MALOO (VZ),10/04,09/07,6.0 i V8,10/04,09/07,297,404,Brake pads,Prime Ceramic,P64002N,,15mm,64mm,183mm,,,,,,,Pontiac,Without,"24815, 24816",D1043 7946,With accessoriesWith anti-squeal shimWith brake caliper bolts,,
HSV,MALOO (VZ),10/04,09/07,6.0 i V8,10/04,09/07,297,404,Brake pads,Prime Ceramic,P99013N,,16mm,64mm,183mm,,,,,,,Akebono,Without,24816,,With anti-squeal shim,,
HSV,MALOO (VZ),10/04,09/07,6.0 i V8,10/04,09/07,297,404,Brake pads,Prime Ceramic,P59056N,,16mm,58mm,114mm,,,,,,,Lucas,Without,"24818, 24819","D1048 7951, D1048 8223",With anti-squeal shim,,Yes
HSV,MALOO (VZ),10/04,09/07,6.0 i V8,10/04,09/07,297,404,Brake pads,Prime Ceramic,P99015N,,18mm,58mm,114mm,,,,,,,Lucas,Without,21127,D1048 8223,With anti-squeal shim,,
HSV,SENATOR Saloon (VT),09/97,10/00,5.0 i V8,09/97,06/99,195,265,Brake pads,Prime Ceramic,P64002N,,15mm,64mm,183mm,,,,,,,Pontiac,Without,"24815, 24816",D1043 7946,With accessoriesWith anti-squeal shimWith brake caliper bolts,,
HSV,SENATOR Saloon (VT),09/97,10/00,5.0 i V8,09/97,06/99,195,265,Brake pads,Prime Ceramic,P59056N,,16mm,58mm,114mm,,,,,,,Lucas,Without,"24818, 24819","D1048 7951, D1048 8223",With anti-squeal shim,,Yes
HSV,SENATOR Saloon (VT),09/97,10/00,5.7 i V8,09/97,06/99,220,299,Brake pads,Prime Ceramic,P64002N,,15mm,64mm,183mm,,,,,,,Pontiac,Without,"24815, 24816",D1043 7946,With accessoriesWith anti-squeal shimWith brake caliper bolts,,
HSV,SENATOR Saloon (VT),09/97,10/00,5.7 i V8,09/97,06/99,220,299,Brake pads,Prime Ceramic,P59056N,,16mm,58mm,114mm,,,,,,,Lucas,Without,"24818, 24819","D1048 7951, D1048 8223",With anti-squeal shim,,Yes
HSV,SENATOR Saloon (VT),09/97,10/00,5.7 i V8,09/97,06/99,230,313,Brake pads,Prime Ceramic,P64002N,,15mm,64mm,183mm,,,,,,,Pontiac,Without,"24815, 24816",D1043 7946,With accessoriesWith anti-squeal shimWith brake caliper bolts,,
HSV,SENATOR Saloon (VT),09/97,10/00,5.7 i V8,09/97,06/99,230,313,Brake pads,Prime Ceramic,P59056N,,16mm,58mm,114mm,,,,,,,Lucas,Without,"24818, 24819","D1048 7951, D1048 8223",With anti-squeal shim,,Yes
HSV,SENATOR Saloon (VT),09/97,10/00,5.7 i V8,09/97,06/99,250,340,Brake pads,Prime Ceramic,P64002N,,15mm,64mm,183mm,,,,,,,Pontiac,Without,"24815, 24816",D1043 7946,With accessoriesWith anti-squeal shimWith brake caliper bolts,,
HSV,SENATOR Saloon (VT),09/97,10/00,5.7 i V8,09/97,06/99,250,340,Brake pads,Prime Ceramic,P59056N,,16mm,58mm,114mm,,,,,,,Lucas,Without,"24818, 24819","D1048 7951, D1048 8223",With anti-squeal shim,,Yes
HSV,SENATOR Saloon (VX),09/00,09/02,5.7 i V8,09/00,09/02,255,347,Brake pads,Prime Ceramic,P64002N,,15mm,64mm,183mm,,,,,,,Pontiac,Without,"24815, 24816",D1043 7946,With accessoriesWith anti-squeal shimWith brake caliper bolts,,
HSV,SENATOR Saloon (VX),09/00,09/02,5.7 i V8,09/00,09/02,255,347,Brake pads,Prime Ceramic,P99013N,,16mm,64mm,183mm,,,,,,,Akebono,Without,24816,,With anti-squeal shim,,
HSV,SENATOR Saloon (VX),09/00,09/02,5.7 i V8,09/00,09/02,255,347,Brake pads,Prime Ceramic,P59056N,,16mm,58mm,114mm,,,,,,,Lucas,Without,"24818, 24819","D1048 7951, D1048 8223",With anti-squeal shim,,Yes
HSV,SENATOR Saloon (VX),09/00,09/02,5.7 i V8,09/00,09/02,255,347,Brake pads,Prime Ceramic,P99015N,,18mm,58mm,114mm,,,,,,,Lucas,Without,21127,D1048 8223,With anti-squeal shim,,
HSV,SENATOR Saloon (VY),10/02,09/04,5.7 i V8,10/02,08/03,260,354,Brake pads,Prime Ceramic,P64002N,,15mm,64mm,183mm,,,,,,,Pontiac,Without,"24815, 24816",D1043 7946,With accessoriesWith anti-squeal shimWith brake caliper bolts,,
HSV,SENATOR Saloon (VY),10/02,09/04,5.7 i V8,10/02,08/03,260,354,Brake pads,Prime Ceramic,P99013N,,16mm,64mm,183mm,,,,,,,Akebono,Without,24816,,With anti-squeal shim,,
HSV,SENATOR Saloon (VY),10/02,09/04,5.7 i V8,10/02,08/03,260,354,Brake pads,Prime Ceramic,P59056N,,16mm,58mm,114mm,,,,,,,Lucas,Without,"24818, 24819","D1048 7951, D1048 8223",With anti-squeal shim,,Yes
HSV,SENATOR Saloon (VY),10/02,09/04,5.7 i V8,10/02,08/03,260,354,Brake pads,Prime Ceramic,P99015N,,18mm,58mm,114mm,,,,,,,Lucas,Without,21127,D1048 8223,With anti-squeal shim,,
HSV,SENATOR Saloon (VY),10/02,09/04,5.7 i V8,09/03,09/04,285,388,Brake pads,Prime Ceramic,P64002N,,15mm,64mm,183mm,,,,,,,Pontiac,Without,"24815, 24816",D1043 7946,With accessoriesWith anti-squeal shimWith brake caliper bolts,,
HSV,SENATOR Saloon (VY),10/02,09/04,5.7 i V8,09/03,09/04,285,388,Brake pads,Prime Ceramic,P99013N,,16mm,64mm,183mm,,,,,,,Akebono,Without,24816,,With anti-squeal shim,,
HSV,SENATOR Saloon (VY),10/02,09/04,5.7 i V8,09/03,09/04,285,388,Brake pads,Prime Ceramic,P59056N,,16mm,58mm,114mm,,,,,,,Lucas,Without,"24818, 24819","D1048 7951, D1048 8223",With anti-squeal shim,,Yes
HSV,SENATOR Saloon (VY),10/02,09/04,5.7 i V8,09/03,09/04,285,388,Brake pads,Prime Ceramic,P99015N,,18mm,58mm,114mm,,,,,,,Lucas,Without,21127,D1048 8223,With anti-squeal shim,,
HSV,SENATOR Saloon (VZ),10/04,07/06,6.0 i V8,10/04,07/06,297,404,Brake pads,Prime Ceramic,P64002N,,15mm,64mm,183mm,,,,,,,Pontiac,Without,"24815, 24816",D1043 7946,With accessoriesWith anti-squeal shimWith brake caliper bolts,,
HSV,SENATOR Saloon (VZ),10/04,07/06,6.0 i V8,10/04,07/06,297,404,Brake pads,Prime Ceramic,P99013N,,16mm,64mm,183mm,,,,,,,Akebono,Without,24816,,With anti-squeal shim,,
HSV,SENATOR Saloon (VZ),10/04,07/06,6.0 i V8,10/04,07/06,297,404,Brake pads,Prime Ceramic,P59056N,,16mm,58mm,114mm,,,,,,,Lucas,Without,"24818, 24819","D1048 7951, D1048 8223",With anti-squeal shim,,Yes
HSV,SENATOR Saloon (VZ),10/04,07/06,6.0 i V8,10/04,07/06,297,404,Brake pads,Prime Ceramic,P99015N,,18mm,58mm,114mm,,,,,,,Lucas,Without,21127,D1048 8223,With anti-squeal shim,,
HSV,SV6000 Saloon,08/05,04/06,6.0 i V8,08/05,04/06,297,404,Brake pads,Prime Ceramic,P64002N,,15mm,64mm,183mm,,,,,,,Pontiac,Without,"24815, 24816",D1043 7946,With accessoriesWith anti-squeal shimWith brake caliper bolts,,
HSV,SV6000 Saloon,08/05,04/06,6.0 i V8,08/05,04/06,297,404,Brake pads,Prime Ceramic,P99013N,,16mm,64mm,183mm,,,,,,,Akebono,Without,24816,,With anti-squeal shim,,
HSV,SV6000 Saloon,08/05,04/06,6.0 i V8,08/05,04/06,297,404,Brake pads,Prime Ceramic,P59056N,,16mm,58mm,114mm,,,,,,,Lucas,Without,"24818, 24819","D1048 7951, D1048 8223",With anti-squeal shim,,Yes
HSV,SV6000 Saloon,08/05,04/06,6.0 i V8,08/05,04/06,297,404,Brake pads,Prime Ceramic,P99015N,,18mm,58mm,114mm,,,,,,,Lucas,Without,21127,D1048 8223,With anti-squeal shim,,
HSV,VXR Hatchback (AH),09/06,05/09,2.0 i Turbo,09/06,05/09,177,241,Brake pads,Prime,P 59 043,,21mm,70 - 71mm,155 - 157mm,,,,,,,Teves,Prepared for wear indicator,"23738, 23739","D1106 7873, D1388 8497, D972 7873",With accessoriesWith anti-squeal shimWith piston clip,
HSV,VXR Hatchback (AH),09/06,05/09,2.0 i Turbo,09/06,05/09,177,241,Brake pads,Prime Ceramic,P59043N,,21mm,70 - 71mm,155 - 157mm,,,,,,,Teves,Prepared for wear indicator,"23738, 23739","D1106 7873, D1388 8497, D972 7873",With accessoriesWith anti-squeal shimWith piston clip,
HSV,VXR Hatchback (AH),09/06,05/09,2.0 i Turbo,09/06,05/09,177,241,Brake pads,Prime,P 59 038,,15mm,43mm,96mm,,,,,,,Lucas,Acoustic,"23417, 23654, 23655","D1362 8471, D1932 8471, D2054 9287",With accessoriesWith anti-squeal shimWith brake caliper bolts,
HSV,VXR Hatchback (AH),09/06,05/09,2.0 i Turbo,09/06,05/09,177,241,Brake pads,Prime Ceramic,P59038N,,15mm,43mm,96mm,,,,,,,Lucas,Acoustic,"23417, 23654, 23655","D1362 8471, D1932 8471, D2054 9287",With accessoriesWith anti-squeal shimWith brake caliper bolts,
HSV,VXR Hatchback (AH),09/06,05/09,2.0 i Turbo,09/06,05/09,177,241,Brake pads,Xtra,P 59 038X,,15mm,43mm,96mm,,,,,,,Lucas,Acoustic,"23417, 23654, 23655","D1362 8471, D1932 8471, D2054 9287",With accessoriesWith anti-squeal shimWith brake caliper bolts,
HSV,XU6 Saloon (VT),03/98,10/00,3.8 i V6 Supercharged,03/98,10/00,180,245,Brake pads,Prime Ceramic,P64002N,,15mm,64mm,183mm,,,,,,,Pontiac,Without,"24815, 24816",D1043 7946,With accessoriesWith anti-squeal shimWith brake caliper bolts,
HSV,XU6 Saloon (VX),09/00,10/02,3.8 i V6 Supercharged,09/00,10/02,180,245,Brake pads,Prime Ceramic,P64002N,,15mm,64mm,183mm,,,,,,,Pontiac,Without,"24815, 24816",D1043 7946,With accessoriesWith anti-squeal shimWith brake caliper bolts,,
HSV,XU6 Saloon (VX),09/00,10/02,3.8 i V6 Supercharged,09/00,10/02,180,245,Brake pads,Prime Ceramic,P99013N,,16mm,64mm,183mm,,,,,,,Akebono,Without,24816,,With anti-squeal shim,,
HSV,XU6 Saloon (VX),09/00,10/02,3.8 i V6 Supercharged,09/00,10/02,180,245,Brake pads,Prime Ceramic,P59056N,,16mm,58mm,114mm,,,,,,,Lucas,Without,"24818, 24819","D1048 7951, D1048 8223",With anti-squeal shim,,Yes
HSV,XU6 Saloon (VX),09/00,10/02,3.8 i V6 Supercharged,09/00,10/02,180,245,Brake pads,Prime Ceramic,P99015N,,18mm,58mm,114mm,,,,,,,Lucas,Without,21127,D1048 8223,With anti-squeal shim,,
HSV,XU8 Saloon (VT),01/99,06/99,5.0 i V8,01/99,06/99,195,265,Brake pads,Prime Ceramic,P64002N,,15mm,64mm,183mm,,,,,,,Pontiac,Without,"24815, 24816",D1043 7946,With accessoriesWith anti-squeal shimWith brake caliper bolts,
