brand,model,model_date_start,model_date_end,type,type_date_start,type_date_end,kw,cv,category,product_line,part_number,diameter,thickness,height,width,number_of_holes,brake_disc_type,centering,min_thickness,tightening_torque,units_per_box,braking_system,wear_indicator,wva_number,fmsi,accessories,position
ASTON MARTIN,DB7 Vantage,01/94,10/03,3.2,05/94,06/99,250,340,Brake pads,Prime,P 36 003,,16mm,71mm,120mm,,,,,,,Lucas,Without,20380,D135 7067,With anti-squeal shim,
ASTON MARTIN,DB7 Vantage,01/94,10/03,3.2,05/94,06/99,233,317,Brake pads,Prime,P 36 003,,16mm,71mm,120mm,,,,,,,Lucas,Without,20380,D135 7067,With anti-squeal shim,
ASTON MARTIN,DB7 Vantage,01/94,10/03,3.2,05/94,06/99,233,317,Brake pads,Prime,P 23 062,,17mm,43mm,123mm,,,,,,,Teves,Electric,"21275, 21276",D517 7396,With accessoriesWith anti-squeal shimWith piston clip,
ASTON MARTIN,DB7 Vantage,01/94,10/03,3.2,05/94,06/99,233,317,Brake pads,Prime,P 36 017,,16mm,48 - 58mm,140mm,,,,,,,Teves,Prepared for wear indicator,"20547, 24487","D1701 8925, D688 7563",With accessoriesWith anti-squeal shimWith piston clip,
ASTON MARTIN,DB7 Vantage,01/94,10/03,3.2,05/94,06/99,233,317,Brake pads,Prime Ceramic,P36017N,,16mm,48 - 58mm,140mm,,,,,,,Teves,Prepared for wear indicator,"20547, 24487","D1701 8925, D688 7563",With accessoriesWith anti-squeal shimWith piston clip,
ASTON MARTIN,DB7 Vantage,01/94,10/03,5.9,03/99,10/03,309,420,Brake pads,Prime,P 36 003,,16mm,71mm,120mm,,,,,,,Lucas,Without,20380,D135 7067,With anti-squeal shim,
ASTON MARTIN,DB7 Volante,11/95,10/03,3.2,01/96,10/03,250,340,Brake pads,Prime,P 36 003,,16mm,71mm,120mm,,,,,,,Lucas,Without,20380,D135 7067,With anti-squeal shim,
ASTON MARTIN,DB7 Volante,11/95,10/03,5.9,07/99,10/03,309,420,Brake pads,Prime,P 36 003,,16mm,71mm,120mm,,,,,,,Lucas,Without,20380,D135 7067,With anti-squeal shim,
ASTON MARTIN,DB9 Vantage,01/04,10/16,6.0 V12,01/04,10/16,331,450,Brake discs,Prime,09.8780.21,355mm,32mm,53mm,,5,Ventilated,71mm,30mm,,1,,,,,,,
ASTON MARTIN,DB9 Vantage,01/04,10/16,6.0 V12,01/04,10/16,331,450,Brake discs,Prime,09.8781.21,330mm,28mm,47mm,,5,Ventilated,71mm,26mm,,1,,,,,,,
ASTON MARTIN,DB9 Vantage,01/04,10/16,6.0 V12,01/04,10/16,331,450,Brake pads,Prime,P 02 002,,17mm,77mm,132mm,,,,,,,Brembo,Prepared for wear indicator,"20201, 20217",D1165 8278,With anti-squeal shim,,
ASTON MARTIN,DB9 Vantage,01/04,10/16,6.0 V12,01/04,10/16,331,450,Brake pads,Prime Ceramic,P02002N,,17mm,77mm,132mm,,,,,,,Brembo,Prepared for wear indicator,"20201, 20217",D1165 8278,With anti-squeal shim,,
ASTON MARTIN,DB9 Vantage,01/04,10/16,6.0 V12,01/04,10/16,331,450,Brake pads,Prime,P 02 001,,9mm,54mm,56mm,,,,,,,Brembo,Without,20610,D971 7872,With anti-squeal shim,,
ASTON MARTIN,DB9 Vantage,01/04,10/16,6.0 V12,01/04,10/16,331,450,Brake pads,Prime Ceramic,P02001N,,9mm,54mm,56mm,,,,,,,Brembo,Without,20610,D971 7872,With anti-squeal shim,,
ASTON MARTIN,DB9 Vantage,01/04,10/16,6.0 V12,01/04,10/16,331,450,Brake pads,Prime,P 02 003,,16mm,69mm,110mm,,,,,,,Brembo,Prepared for wear indicator,"20165, 20198",,With anti-squeal shim,,Yes
ASTON MARTIN,DB9 Vantage,01/04,10/16,6.0 V12,01/04,10/16,331,450,Brake pads,Prime Ceramic,P02003N,,16mm,69mm,110mm,,,,,,,Brembo,Prepared for wear indicator,"20165, 20198",,With anti-squeal shim,,Yes
ASTON MARTIN,DB9 Vantage,01/04,10/16,6.0 V12,01/08,07/12,350,476,Brake discs,Prime,09.8780.21,355mm,32mm,53mm,,5,Ventilated,71mm,30mm,,1,,,,,,,
ASTON MARTIN,DB9 Vantage,01/04,10/16,6.0 V12,01/08,07/12,350,476,Brake discs,Prime,09.8781.21,330mm,28mm,47mm,,5,Ventilated,71mm,26mm,,1,,,,,,,
