brand,model,model_date_start,model_date_end,type,type_date_start,type_date_end,kw,cv,category,product_line,part_number,diameter,thickness,height,width,number_of_holes,brake_disc_type,centering,min_thickness,tightening_torque,units_per_box,braking_system,wear_indicator,wva_number,fmsi,accessories,position,caliper_pistons,disc_type,caliper_type
MINI,MINI (F56),12/13,>,Cooper S,12/13,>,141,192,Brake pads,Xtra,P 06 092X,,18mm,64 - 71mm,129mm,,,,,,,Lucas,Prepared for wear indicator,"22187, 22188",D1801 9033,With accessoriesWith anti-squeal shimWith brake caliper bolts,,,,
MINI,MINI (F56),12/13,>,Cooper S,12/13,>,141,192,Brake pads,Prime,P 06 093,,18mm,70 - 75mm,129mm,,,,,,,Lucas,Prepared for wear indicator,"25617, 25618",D1892 9120,With accessoriesWith anti-squeal shimWith brake caliper bolts,,,,
MINI,MINI (F56),12/13,>,Cooper S,12/13,>,141,192,Brake pads,Prime Ceramic,P06093N,,18mm,70 - 75mm,129mm,,,,,,,Lucas,Prepared for wear indicator,"25617, 25618",D1892 9120,With accessoriesWith anti-squeal shimWith brake caliper bolts,,,,
MINI,MINI (F56),12/13,>,Cooper S,12/13,>,141,192,Brake pads,Xtra Ceramic,P06093NX,,18mm,70 - 75mm,129mm,,,,,,,Lucas,Prepared for wear indicator,"25617, 25618",D1892 9120,With accessoriesWith anti-squeal shimWith brake caliper bolts,,,,
MINI,MINI (F56),12/13,>,Cooper S,12/13,>,141,192,Brake pads,Prime,P 06 090,,17mm,45 - 38mm,100mm,,,,,,,TRW,Prepared for wear indicator,"25980, 25981",D1800 9032,With accessoriesWith anti-squeal shimWith brake caliper bolts,,,,
MINI,MINI (F56),12/13,>,Cooper S,12/13,>,141,192,Brake pads,Prime Ceramic,P06090N,,17mm,45 - 38mm,100mm,,,,,,,TRW,Prepared for wear indicator,"25980, 25981",D1800 9032,With accessoriesWith anti-squeal shimWith brake caliper bolts,,,,
MINI,MINI (F56),12/13,>,Cooper S,12/13,>,141,192,Brake pads,Prime,P 06 094,,16mm,46 - 48mm,123mm,,,,,,,Teves,Prepared for wear indicator,"25331, 25332",D1762 8993,With anti-squeal shim,,,,
MINI,MINI (F56),12/13,>,Cooper S,12/13,>,141,192,Brake pads,Prime Ceramic,P06094N,,16mm,46 - 48mm,123mm,,,,,,,Teves,Prepared for wear indicator,"25331, 25332",D1762 8993,With anti-squeal shim,,,,
MINI,MINI (F56),12/13,>,Cooper S,12/13,>,141,192,Brake pads,Xtra,P 06 094X,,16mm,46 - 48mm,123mm,,,,,,,Teves,Prepared for wear indicator,"25331, 25332",D1762 8993,With anti-squeal shim,,,,
MINI,MINI (F56),12/13,>,Cooper S,12/13,>,141,192,UPGRADE GT kit,GT | M4 | D,1P1.8005A_,345mm,28mm,,,,,,,,,,,,,,,4,2 pieces,Monoblock
MINI,MINI (F56),12/13,>,Cooper S,12/13,>,141,192,UPGRADE GT kit,GT | M4 | TY1,1P2.8005A_,345mm,28mm,,,,,,,,,,,,,,,4,2 pieces,Monoblock
MINI,MINI (F56),12/13,>,Cooper S,12/13,>,141,192,UPGRADE GT kit,GT | M4 | TY3,1P3.8005A_,345mm,28mm,,,,,,,,,,,,,,,4,2 pieces,Monoblock
