brand,model,model_date_start,model_date_end,type,type_date_start,type_date_end,kw,cv,category,product_line,part_number,diameter,thickness,height,width,number_of_holes,brake_disc_type,centering,min_thickness,tightening_torque,units_per_box,braking_system,wear_indicator,wva_number,fmsi,accessories,position,max_diameter
LAND ROVER,DEFENDER Station Wagon (L663),09/19,>,P635 OCTA MHEV 4x4,05/24,>,467,635,Brake pads,Prime Ceramic,P44021N,,17mm,58mm,131mm,,,,,,,TRW,Prepared for wear indicator,25720,D1692 8919,With accessoriesWith anti-squeal shim,,
LAND ROVER,DEFENDER Station Wagon (L663),09/19,>,P635 OCTA MHEV 4x4,05/24,>,467,635,Brake pads,Xtra Ceramic,P44021NX,,17mm,58mm,131mm,,,,,,,TRW,Prepared for wear indicator,25720,D1692 8919,With accessoriesWith anti-squeal shim,,
LAND ROVER,DEFENDER Van (L663),02/20,>,3.0 D250 MHEV 4x4,09/20,>,183,249,Brake discs,Prime,09.C820.11,380mm,34mm,62mm,,5,Ventilated,79mm,32mm,,1,,,,,,,
LAND ROVER,DEFENDER Van (L663),02/20,>,3.0 D250 MHEV 4x4,09/20,>,183,249,Brake discs,Prime,09.B504.11,365mm,25mm,49mm,,5,Ventilated,79mm,22mm,,1,,,,,,,
LAND ROVER,DEFENDER Van (L663),02/20,>,3.0 D250 MHEV 4x4,09/20,>,183,249,Brake discs,Xtra,09.B504.1X,365mm,25mm,49mm,,5,Ventilated,79mm,22mm,,1,,,,,,,
LAND ROVER,DEFENDER Van (L663),02/20,>,3.0 D250 MHEV 4x4,09/20,>,183,249,Brake pads,Prime,P 44 029,,17mm,97mm,153mm,,,,,,,Brembo,Prepared for wear indicator,20581,D2184 9428,With anti-squeal shimWith counterweights,,
LAND ROVER,DEFENDER Van (L663),02/20,>,3.0 D250 MHEV 4x4,09/20,>,183,249,Brake pads,Prime Ceramic,P44029N,,17mm,97mm,153mm,,,,,,,Brembo,Prepared for wear indicator,20581,D2184 9428,With anti-squeal shimWith counterweights,,
LAND ROVER,DEFENDER Van (L663),02/20,>,3.0 D250 MHEV 4x4,09/20,>,183,249,Brake pads,Prime,P 44 028,,17mm,79mm,175mm,,,,,,,ATE,Prepared for wear indicator,"22485, 22486",D2133 9370,With accessoriesWith anti-squeal shimWith brake caliper bolts,,
LAND ROVER,DEFENDER Van (L663),02/20,>,3.0 D250 MHEV 4x4,09/20,>,183,249,Brake pads,Prime Ceramic,P44028N,,17mm,79mm,175mm,,,,,,,ATE,Prepared for wear indicator,"22485, 22486",D2133 9370,With accessoriesWith anti-squeal shimWith brake caliper bolts,,
LAND ROVER,DEFENDER Van (L663),02/20,>,3.0 D250 MHEV 4x4,09/20,>,183,249,Brake pads,Xtra Ceramic,P44028NX,,17mm,79mm,175mm,,,,,,,ATE,Prepared for wear indicator,"22485, 22486",D2133 9370,With accessoriesWith anti-squeal shimWith brake caliper bolts,,
LAND ROVER,DEFENDER Van (L663),02/20,>,3.0 D250 MHEV 4x4,09/20,>,183,249,Brake pads,Prime,P 44 023,,17mm,96mm,190mm,,,,,,,Brembo,Prepared for wear indicator,24659,D1426 8543,With anti-squeal shim,,
LAND ROVER,DEFENDER Van (L663),02/20,>,3.0 D250 MHEV 4x4,09/20,>,183,249,Brake pads,Prime Ceramic,P44023N,,17mm,96mm,190mm,,,,,,,Brembo,Prepared for wear indicator,24659,D1426 8543,With anti-squeal shim,,
LAND ROVER,DEFENDER Van (L663),02/20,>,3.0 D250 MHEV 4x4,09/20,>,183,249,Brake pads,Xtra Ceramic,P44023NX,,17mm,96mm,190mm,,,,,,,Brembo,Prepared for wear indicator,24659,D1426 8543,With anti-squeal shim,,
LAND ROVER,DEFENDER Van (L663),02/20,>,3.0 D250 MHEV 4x4,09/20,>,183,249,Brake pads,Prime,P 44 022,,19mm,72mm,193mm,,,,,,,TRW,Prepared for wear indicator,"25021, 25022, 25203, 25204",D1479 8542,With accessoriesWith anti-squeal shimWith brake caliper bolts,,Yes
LAND ROVER,DEFENDER Van (L663),02/20,>,3.0 D250 MHEV 4x4,09/20,>,183,249,Brake pads,Prime Ceramic,P44022N,,19mm,72mm,193mm,,,,,,,TRW,Prepared for wear indicator,"25021, 25022, 25203, 25204",D1479 8542,With accessoriesWith anti-squeal shimWith brake caliper bolts,,Yes
LAND ROVER,DEFENDER Van (L663),02/20,>,3.0 D250 MHEV 4x4,09/20,>,183,249,Brake pads,Xtra Ceramic,P44022NX,,19mm,72mm,193mm,,,,,,,TRW,Prepared for wear indicator,"25021, 25022, 25203, 25204",D1479 8542,With accessoriesWith anti-squeal shimWith brake caliper bolts,,Yes
LAND ROVER,DEFENDER Van (L663),02/20,>,3.0 D250 MHEV 4x4,09/20,>,183,249,Brake pads,Prime,P 44 021,,17mm,58mm,131mm,,,,,,,TRW,Prepared for wear indicator,25720,D1692 8919,With accessoriesWith anti-squeal shim,,
LAND ROVER,DEFENDER Van (L663),02/20,>,3.0 D250 MHEV 4x4,09/20,>,183,249,Brake pads,Prime Ceramic,P44021N,,17mm,58mm,131mm,,,,,,,TRW,Prepared for wear indicator,25720,D1692 8919,With accessoriesWith anti-squeal shim,,
LAND ROVER,DEFENDER Van (L663),02/20,>,3.0 D250 MHEV 4x4,09/20,>,183,249,Brake pads,Xtra Ceramic,P44021NX,,17mm,58mm,131mm,,,,,,,TRW,Prepared for wear indicator,25720,D1692 8919,With accessoriesWith anti-squeal shim,,
LAND ROVER,DISCOVERY I (LJ),06/89,12/98,2.0 16 V 4x4,06/89,10/98,99,135,Brake discs,Prime,08.5347.11,298mm,14mm,70mm,,5,Solid,101mm,13mm,130Nm,2,,,,,,
LAND ROVER,DISCOVERY I (LJ),06/89,12/98,2.0 16 V 4x4,06/89,10/98,99,135,Brake discs,Prime,09.5488.11,298mm,24mm,70mm,,5,Ventilated,102mm,22mm,130Nm,2,,,,,,
LAND ROVER,DISCOVERY I (LJ),06/89,12/98,2.0 16 V 4x4,06/89,10/98,99,135,Brake discs,Prime,08.5316.10,290mm,"12,6mm",62mm,,5,Solid,101mm,"11,7mm",130Nm,2,,,,,,
LAND ROVER,DISCOVERY I (LJ),06/89,12/98,2.0 16 V 4x4,06/89,10/98,99,135,Brake pads,Prime,P 44 003,,15mm,72mm,89mm,,,,,,,Lockheed,Electric,"21237, 21238, 21514","D518 7398, D518 7399",With anti-squeal shim,
LAND ROVER,DISCOVERY I (LJ),06/89,12/98,Assembly kit,06/89,10/98,99,135,Brake pad accessories,Prime,A 02 256,,,,,,,,,,,Lockheed,,,,,
LAND ROVER,DISCOVERY I (LJ),06/89,12/98,2.5 TDI 4x4,10/89,10/98,83,113,Brake discs,Prime,08.5347.11,298mm,14mm,70mm,,5,Solid,101mm,13mm,130Nm,2,,,,,,
LAND ROVER,DISCOVERY I (LJ),06/89,12/98,2.5 TDI 4x4,10/89,10/98,83,113,Brake discs,Prime,09.5488.11,298mm,24mm,70mm,,5,Ventilated,102mm,22mm,130Nm,2,,,,,,
LAND ROVER,DISCOVERY I (LJ),06/89,12/98,2.5 TDI 4x4,10/89,10/98,83,113,Brake discs,Prime,08.5316.10,290mm,"12,6mm",62mm,,5,Solid,101mm,"11,7mm",130Nm,2,,,,,,
LAND ROVER,DISCOVERY I (LJ),06/89,12/98,2.5 TDI 4x4,10/89,10/98,83,113,Brake pads,Prime,P 44 001,,15mm,72mm,89mm,,,,,,,Lockheed,Without,20344,"D518 7398, D518 7399",With anti-squeal shim,
LAND ROVER,DISCOVERY I (LJ),06/89,12/98,2.5 TDI 4x4,10/89,10/98,83,113,Brake pads,Prime Ceramic,P44001N,,15mm,72mm,89mm,,,,,,,Lockheed,Without,20344,"D518 7398, D518 7399",With anti-squeal shim,
LAND ROVER,DISCOVERY I (LJ),06/89,12/98,2.5 TDI 4x4,10/89,10/98,83,113,Brake pads,Prime,P 44 003,,15mm,72mm,89mm,,,,,,,Lockheed,Electric,"21237, 21238, 21514","D518 7398, D518 7399",With anti-squeal shim,
LAND ROVER,DISCOVERY I (LJ),06/89,12/98,Assembly kit,10/89,10/98,83,113,Brake pad accessories,Prime,A 02 256,,,,,,,,,,,Lockheed,,,,,
LAND ROVER,DISCOVERY I (LJ),06/89,12/98,2.5 TDI 4x4,06/93,10/98,90,122,Brake discs,Prime,08.5347.11,298mm,14mm,70mm,,5,Solid,101mm,13mm,130Nm,2,,,,,,
LAND ROVER,DISCOVERY I (LJ),06/89,12/98,2.5 TDI 4x4,06/93,10/98,90,122,Brake discs,Prime,09.5488.11,298mm,24mm,70mm,,5,Ventilated,102mm,22mm,130Nm,2,,,,,,
LAND ROVER,DISCOVERY I (LJ),06/89,12/98,2.5 TDI 4x4,06/93,10/98,90,122,Brake discs,Prime,08.5316.10,290mm,"12,6mm",62mm,,5,Solid,101mm,"11,7mm",130Nm,2,,,,,,
LAND ROVER,DISCOVERY I (LJ),06/89,12/98,2.5 TDI 4x4,06/93,10/98,90,122,Brake pads,Prime,P 44 003,,15mm,72mm,89mm,,,,,,,Lockheed,Electric,"21237, 21238, 21514","D518 7398, D518 7399",With anti-squeal shim,
LAND ROVER,DISCOVERY I (LJ),06/89,12/98,Assembly kit,06/93,10/98,90,122,Brake pad accessories,Prime,A 02 256,,,,,,,,,,,Lockheed,,,,,
LAND ROVER,DISCOVERY I (LJ),06/89,12/98,3.5 4x4,06/89,06/94,122,166,Brake discs,Prime,08.5347.11,298mm,14mm,70mm,,5,Solid,101mm,13mm,130Nm,2,,,,,,
LAND ROVER,DISCOVERY I (LJ),06/89,12/98,3.5 4x4,06/89,06/94,122,166,Brake discs,Prime,09.5488.11,298mm,24mm,70mm,,5,Ventilated,102mm,22mm,130Nm,2,,,,,,
LAND ROVER,DISCOVERY I (LJ),06/89,12/98,3.5 4x4,06/89,06/94,122,166,Brake discs,Prime,08.5316.10,290mm,"12,6mm",62mm,,5,Solid,101mm,"11,7mm",130Nm,2,,,,,,
LAND ROVER,DISCOVERY I (LJ),06/89,12/98,3.5 4x4,06/89,06/94,122,166,Brake pads,Prime,P 44 004,,19mm,72mm,105mm,,,,,,,Lockheed,Electric,"21459, 21897",D520 7401,With anti-squeal shim,
LAND ROVER,DISCOVERY I (LJ),06/89,12/98,3.5 4x4,06/89,06/94,122,166,Brake pads,Prime Ceramic,P44004N,,19mm,72mm,105mm,,,,,,,Lockheed,Electric,"21459, 21897",D520 7401,With anti-squeal shim,
LAND ROVER,DISCOVERY I (LJ),06/89,12/98,3.5 4x4,06/89,06/94,122,166,Brake pads,Prime,P 44 003,,15mm,72mm,89mm,,,,,,,Lockheed,Electric,"21237, 21238, 21514","D518 7398, D518 7399",With anti-squeal shim,
LAND ROVER,DISCOVERY I (LJ),06/89,12/98,Assembly kit,06/89,06/94,122,166,Brake pad accessories,Prime,A 02 256,,,,,,,,,,,Lockheed,,,,,
LAND ROVER,DISCOVERY I (LJ),06/89,12/98,3.5 4x4,06/89,08/90,98,133,Brake discs,Prime,08.5347.11,298mm,14mm,70mm,,5,Solid,101mm,13mm,130Nm,2,,,,,,
LAND ROVER,DISCOVERY I (LJ),06/89,12/98,3.5 4x4,06/89,08/90,98,133,Brake discs,Prime,09.5488.11,298mm,24mm,70mm,,5,Ventilated,102mm,22mm,130Nm,2,,,,,,
LAND ROVER,DISCOVERY I (LJ),06/89,12/98,3.5 4x4,06/89,08/90,98,133,Brake discs,Prime,08.5316.10,290mm,"12,6mm",62mm,,5,Solid,101mm,"11,7mm",130Nm,2,,,,,,
LAND ROVER,DISCOVERY I (LJ),06/89,12/98,3.5 4x4,06/89,08/90,98,133,Brake pads,Prime,P 44 004,,19mm,72mm,105mm,,,,,,,Lockheed,Electric,"21459, 21897",D520 7401,With anti-squeal shim,
LAND ROVER,DISCOVERY I (LJ),06/89,12/98,3.5 4x4,06/89,08/90,98,133,Brake pads,Prime Ceramic,P44004N,,19mm,72mm,105mm,,,,,,,Lockheed,Electric,"21459, 21897",D520 7401,With anti-squeal shim,
LAND ROVER,DISCOVERY I (LJ),06/89,12/98,3.5 4x4,06/89,08/90,98,133,Brake pads,Prime,P 44 003,,15mm,72mm,89mm,,,,,,,Lockheed,Electric,"21237, 21238, 21514","D518 7398, D518 7399",With anti-squeal shim,
LAND ROVER,DISCOVERY I (LJ),06/89,12/98,3.5 4x4 (SALLJG),06/89,06/94,113,154,Brake discs,Prime,08.5347.11,298mm,14mm,70mm,,5,Solid,101mm,13mm,130Nm,2,,,,,,
LAND ROVER,DISCOVERY I (LJ),06/89,12/98,3.5 4x4 (SALLJG),06/89,06/94,113,154,Brake discs,Prime,09.5488.11,298mm,24mm,70mm,,5,Ventilated,102mm,22mm,130Nm,2,,,,,,
LAND ROVER,DISCOVERY I (LJ),06/89,12/98,3.5 4x4 (SALLJG),06/89,06/94,113,154,Brake discs,Prime,08.5316.10,290mm,"12,6mm",62mm,,5,Solid,101mm,"11,7mm",130Nm,2,,,,,,
LAND ROVER,DISCOVERY I (LJ),06/89,12/98,3.5 4x4 (SALLJG),06/89,06/94,113,154,Brake pads,Prime,P 44 003,,15mm,72mm,89mm,,,,,,,Lockheed,Electric,"21237, 21238, 21514","D518 7398, D518 7399",With anti-squeal shim,
LAND ROVER,DISCOVERY I (LJ),06/89,12/98,Assembly kit,06/89,06/94,113,154,Brake pad accessories,Prime,A 02 256,,,,,,,,,,,Lockheed,,,,,
LAND ROVER,DISCOVERY I (LJ),06/89,12/98,4.0 4x4,09/93,10/98,134,182,Brake discs,Prime,08.5347.11,298mm,14mm,70mm,,5,Solid,101mm,13mm,130Nm,2,,,,,,
LAND ROVER,DISCOVERY I (LJ),06/89,12/98,4.0 4x4,09/93,10/98,134,182,Brake discs,Prime,09.5488.11,298mm,24mm,70mm,,5,Ventilated,102mm,22mm,130Nm,2,,,,,,
LAND ROVER,DISCOVERY I (LJ),06/89,12/98,4.0 4x4,09/93,10/98,134,182,Brake discs,Prime,08.5316.10,290mm,"12,6mm",62mm,,5,Solid,101mm,"11,7mm",130Nm,2,,,,,,
LAND ROVER,DISCOVERY I (LJ),06/89,12/98,4.0 4x4,09/93,10/98,134,182,Brake pads,Prime,P 44 004,,19mm,72mm,105mm,,,,,,,Lockheed,Electric,"21459, 21897",D520 7401,With anti-squeal shim,
LAND ROVER,DISCOVERY I (LJ),06/89,12/98,4.0 4x4,09/93,10/98,134,182,Brake pads,Prime Ceramic,P44004N,,19mm,72mm,105mm,,,,,,,Lockheed,Electric,"21459, 21897",D520 7401,With anti-squeal shim,
LAND ROVER,DISCOVERY I (LJ),06/89,12/98,4.0 4x4,09/93,10/98,134,182,Brake pads,Prime,P 44 001,,15mm,72mm,89mm,,,,,,,Lockheed,Without,20344,"D518 7398, D518 7399",With anti-squeal shim,
LAND ROVER,DISCOVERY I (LJ),06/89,12/98,4.0 4x4,09/93,10/98,134,182,Brake pads,Prime Ceramic,P44001N,,15mm,72mm,89mm,,,,,,,Lockheed,Without,20344,"D518 7398, D518 7399",With anti-squeal shim,
LAND ROVER,DISCOVERY I (LJ),06/89,12/98,Assembly kit,09/93,10/98,134,182,Brake pad accessories,Prime,A 02 256,,,,,,,,,,,Lockheed,,,,,
LAND ROVER,DISCOVERY II (L318),10/98,08/04,2.5 Td5 4x4,11/98,06/04,102,139,Brake discs,Prime,09.A229.11,297mm,25mm,91mm,,5,Ventilated,70mm,22mm,140Nm,1,,,,,,
LAND ROVER,DISCOVERY II (L318),10/98,08/04,2.5 Td5 4x4,11/98,06/04,102,139,Brake discs,Prime,08.6838.11,304mm,"12,6mm",63mm,,5,Solid,70mm,"11,7mm",140Nm,2,,,,,,
LAND ROVER,DISCOVERY II (L318),10/98,08/04,2.5 Td5 4x4,11/98,06/04,102,139,Brake pads,Prime,P 44 008,,19mm,66mm,145mm,,,,,,,Lucas,Without,23452,D676 7556,With accessoriesWith anti-squeal shimWith brake caliper bolts,
LAND ROVER,DISCOVERY II (L318),10/98,08/04,2.5 Td5 4x4,11/98,06/04,102,139,Brake pads,Prime Ceramic,P44008N,,19mm,66mm,145mm,,,,,,,Lucas,Without,23452,D676 7556,With accessoriesWith anti-squeal shimWith brake caliper bolts,
LAND ROVER,DISCOVERY II (L318),10/98,08/04,2.5 Td5 4x4,11/98,06/04,102,139,Brake pads,Prime,P 44 009,,15mm,52mm,95mm,,,,,,,Lucas,Without,23458,D493 7601,With accessoriesWith anti-squeal shimWith brake caliper bolts,
LAND ROVER,DISCOVERY II (L318),10/98,08/04,2.5 Td5 4x4,11/98,06/04,102,139,Brake pads,Prime Ceramic,P44009N,,15mm,52mm,95mm,,,,,,,Lucas,Without,23458,D493 7601,With accessoriesWith anti-squeal shimWith brake caliper bolts,
LAND ROVER,DISCOVERY II (L318),10/98,08/04,4.0 V8 4x4,11/98,06/04,136,185,Brake discs,Prime,09.A229.11,297mm,25mm,91mm,,5,Ventilated,70mm,22mm,140Nm,1,,,,,,
LAND ROVER,DISCOVERY II (L318),10/98,08/04,4.0 V8 4x4,11/98,06/04,136,185,Brake discs,Prime,08.6838.11,304mm,"12,6mm",63mm,,5,Solid,70mm,"11,7mm",140Nm,2,,,,,,
LAND ROVER,DISCOVERY II (L318),10/98,08/04,4.0 V8 4x4,11/98,06/04,136,185,Brake pads,Prime,P 44 008,,19mm,66mm,145mm,,,,,,,Lucas,Without,23452,D676 7556,With accessoriesWith anti-squeal shimWith brake caliper bolts,
LAND ROVER,DISCOVERY II (L318),10/98,08/04,4.0 V8 4x4,11/98,06/04,136,185,Brake pads,Prime Ceramic,P44008N,,19mm,66mm,145mm,,,,,,,Lucas,Without,23452,D676 7556,With accessoriesWith anti-squeal shimWith brake caliper bolts,
LAND ROVER,DISCOVERY II (L318),10/98,08/04,4.0 V8 4x4,11/98,06/04,136,185,Brake pads,Prime,P 44 009,,15mm,52mm,95mm,,,,,,,Lucas,Without,23458,D493 7601,With accessoriesWith anti-squeal shimWith brake caliper bolts,
LAND ROVER,DISCOVERY II (L318),10/98,08/04,4.0 V8 4x4,11/98,06/04,136,185,Brake pads,Prime Ceramic,P44009N,,15mm,52mm,95mm,,,,,,,Lucas,Without,23458,D493 7601,With accessoriesWith anti-squeal shimWith brake caliper bolts,
LAND ROVER,DISCOVERY III (L319),07/04,09/09,2.7 TD 4x4,07/04,09/09,140,190,Brake discs,Prime,09.8873.31,317mm,30mm,62mm,,5,Ventilated,79mm,27mm,140Nm,1,,,,,,,,,,
LAND ROVER,DISCOVERY III (L319),07/04,09/09,2.7 TD 4x4,07/04,09/09,140,190,Brake discs,Prime,09.8874.31,325mm,20mm,59mm,,5,Ventilated,79mm,17mm,140Nm,2,,,,,,,,,,
LAND ROVER,DISCOVERY III (L319),07/04,09/09,2.7 TD 4x4,07/04,09/09,140,190,Brake pads,Prime,P 44 014,,18mm,59mm,163mm,,,,,,,Lucas,Prepared for wear indicator,24191,D1098 8202,With accessoriesWith anti-squeal shimWith brake caliper bolts,,,,,
LAND ROVER,DISCOVERY III (L319),07/04,09/09,2.7 TD 4x4,07/04,09/09,140,190,Brake pads,Prime Ceramic,P44014N,,18mm,59mm,163mm,,,,,,,Lucas,Prepared for wear indicator,24191,D1098 8202,With accessoriesWith anti-squeal shimWith brake caliper bolts,,,,,
LAND ROVER,DISCOVERY III (L319),07/04,09/09,2.7 TD 4x4,07/04,09/09,140,190,Brake pads,Prime,P 44 013,,17mm,46mm,117mm,,,,,,,Lucas,Prepared for wear indicator,24192,"D1099 8203, D1099 8666",With accessoriesWith anti-squeal shimWith brake caliper bolts,,,,,
LAND ROVER,DISCOVERY III (L319),07/04,09/09,2.7 TD 4x4,07/04,09/09,140,190,Brake pads,Prime Ceramic,P44013N,,17mm,46mm,117mm,,,,,,,Lucas,Prepared for wear indicator,24192,"D1099 8203, D1099 8666",With accessoriesWith anti-squeal shimWith brake caliper bolts,,,,,
LAND ROVER,DISCOVERY III (L319),07/04,09/09,2.7 TD 4x4,07/04,09/09,140,190,Brake pads,Xtra,P 44 013X,,17mm,46mm,117mm,,,,,,,Lucas,Prepared for wear indicator,24192,"D1099 8203, D1099 8666",With accessoriesWith anti-squeal shimWith brake caliper bolts,,,,,
LAND ROVER,DISCOVERY III (L319),07/04,09/09,Wear indicator,07/04,09/09,140,190,Brake pad accessories,Prime,A 00 267,,,,,,,,,,,,,,,,,1184mm,,,
LAND ROVER,DISCOVERY III (L319),07/04,09/09,Wear indicator,07/04,09/09,140,190,Brake pad accessories,Prime,A 00 265,,,,,,,,,,,,,,,,,1178mm,,,
LAND ROVER,DISCOVERY III (L319),07/04,09/09,2.7 TD 4x4,07/04,09/09,140,190,UPGRADE GT kit,GT | A6 | D,1J1.9005A_,380mm,34mm,,,,,,,,,,,,,,,,6,2 pieces,2 pieces
LAND ROVER,DISCOVERY III (L319),07/04,09/09,2.7 TD 4x4,07/04,09/09,140,190,UPGRADE GT kit,GT | A6 | TY1,1J2.9005A_,380mm,34mm,,,,,,,,,,,,,,,,6,2 pieces,2 pieces
LAND ROVER,DISCOVERY III (L319),07/04,09/09,2.7 TD 4x4,07/04,09/09,140,190,UPGRADE GT kit,GT | A6 | TY3,1J3.9005A_,380mm,34mm,,,,,,,,,,,,,,,,6,2 pieces,2 pieces
LAND ROVER,DISCOVERY III (L319),07/04,09/09,2.7 TD 4x4,07/04,09/09,140,190,UPGRADE GT kit,GT | M4 | D,2P1.9020A_,380mm,28mm,,,,,,,,,,,,,,,,4,2 pieces,Monoblock
LAND ROVER,DISCOVERY III (L319),07/04,09/09,2.7 TD 4x4,07/04,09/09,140,190,UPGRADE GT kit,GT | M4 | TY1,2P2.9020A_,380mm,28mm,,,,,,,,,,,,,,,,4,2 pieces,Monoblock
LAND ROVER,DISCOVERY III (L319),07/04,09/09,2.7 TD 4x4,07/04,09/09,140,190,UPGRADE GT kit,GT | M4 | TY3,2P3.9020A_,380mm,28mm,,,,,,,,,,,,,,,,4,2 pieces,Monoblock
LAND ROVER,DISCOVERY III (L319),07/04,09/09,4.0 V6 4x4,10/04,09/09,160,218,Brake discs,Prime,09.8873.31,317mm,30mm,62mm,,5,Ventilated,79mm,27mm,140Nm,1,,,,,,,,,,
LAND ROVER,DISCOVERY III (L319),07/04,09/09,4.0 V6 4x4,10/04,09/09,160,218,Brake discs,Prime,09.8874.31,325mm,20mm,59mm,,5,Ventilated,79mm,17mm,140Nm,2,,,,,,,,,,
LAND ROVER,DISCOVERY III (L319),07/04,09/09,4.0 V6 4x4,10/04,09/09,160,218,Brake pads,Prime,P 44 014,,18mm,59mm,163mm,,,,,,,Lucas,Prepared for wear indicator,24191,D1098 8202,With accessoriesWith anti-squeal shimWith brake caliper bolts,,,,,
LAND ROVER,DISCOVERY III (L319),07/04,09/09,4.0 V6 4x4,10/04,09/09,160,218,Brake pads,Prime Ceramic,P44014N,,18mm,59mm,163mm,,,,,,,Lucas,Prepared for wear indicator,24191,D1098 8202,With accessoriesWith anti-squeal shimWith brake caliper bolts,,,,,
LAND ROVER,DISCOVERY III (L319),07/04,09/09,4.0 V6 4x4,10/04,09/09,160,218,Brake pads,Prime,P 44 013,,17mm,46mm,117mm,,,,,,,Lucas,Prepared for wear indicator,24192,"D1099 8203, D1099 8666",With accessoriesWith anti-squeal shimWith brake caliper bolts,,,,,
LAND ROVER,DISCOVERY III (L319),07/04,09/09,4.0 V6 4x4,10/04,09/09,160,218,Brake pads,Prime Ceramic,P44013N,,17mm,46mm,117mm,,,,,,,Lucas,Prepared for wear indicator,24192,"D1099 8203, D1099 8666",With accessoriesWith anti-squeal shimWith brake caliper bolts,,,,,
LAND ROVER,DISCOVERY III (L319),07/04,09/09,4.0 V6 4x4,10/04,09/09,160,218,Brake pads,Xtra,P 44 013X,,17mm,46mm,117mm,,,,,,,Lucas,Prepared for wear indicator,24192,"D1099 8203, D1099 8666",With accessoriesWith anti-squeal shimWith brake caliper bolts,,,,,
LAND ROVER,DISCOVERY III (L319),07/04,09/09,Wear indicator,10/04,09/09,160,218,Brake pad accessories,Prime,A 00 267,,,,,,,,,,,,,,,,,1184mm,,,
LAND ROVER,DISCOVERY III (L319),07/04,09/09,Wear indicator,10/04,09/09,160,218,Brake pad accessories,Prime,A 00 265,,,,,,,,,,,,,,,,,1178mm,,,
LAND ROVER,DISCOVERY III (L319),07/04,09/09,4.0 V6 4x4,10/04,09/09,160,218,UPGRADE GT kit,GT | A6 | D,1J1.9005A_,380mm,34mm,,,,,,,,,,,,,,,,6,2 pieces,2 pieces
LAND ROVER,DISCOVERY III (L319),07/04,09/09,4.0 V6 4x4,10/04,09/09,160,218,UPGRADE GT kit,GT | A6 | TY1,1J2.9005A_,380mm,34mm,,,,,,,,,,,,,,,,6,2 pieces,2 pieces
LAND ROVER,DISCOVERY III (L319),07/04,09/09,4.0 V6 4x4,10/04,09/09,160,218,UPGRADE GT kit,GT | A6 | TY3,1J3.9005A_,380mm,34mm,,,,,,,,,,,,,,,,6,2 pieces,2 pieces
LAND ROVER,DISCOVERY III (L319),07/04,09/09,4.0 V6 4x4,10/04,09/09,160,218,UPGRADE GT kit,GT | M4 | D,2P1.9020A_,380mm,28mm,,,,,,,,,,,,,,,,4,2 pieces,Monoblock
LAND ROVER,DISCOVERY III (L319),07/04,09/09,4.0 V6 4x4,10/04,09/09,160,218,UPGRADE GT kit,GT | M4 | TY1,2P2.9020A_,380mm,28mm,,,,,,,,,,,,,,,,4,2 pieces,Monoblock
LAND ROVER,DISCOVERY III (L319),07/04,09/09,4.0 V6 4x4,10/04,09/09,160,218,UPGRADE GT kit,GT | M4 | TY3,2P3.9020A_,380mm,28mm,,,,,,,,,,,,,,,,4,2 pieces,Monoblock
LAND ROVER,DISCOVERY III (L319),07/04,09/09,4.4 4x4,07/04,09/09,220,299,Brake discs,Prime,09.8875.31,337mm,30mm,62mm,,5,Ventilated,79mm,27mm,140Nm,1,,,,,,,,,,
LAND ROVER,DISCOVERY III (L319),07/04,09/09,4.4 4x4,07/04,09/09,220,299,Brake discs,Prime,09.8874.31,325mm,20mm,59mm,,5,Ventilated,79mm,17mm,140Nm,2,,,,,,,,,,
LAND ROVER,DISCOVERY III (L319),07/04,09/09,4.4 4x4,07/04,09/09,220,299,Brake discs,Prime,09.8876.31,350mm,20mm,59mm,,5,Ventilated,79mm,17mm,140Nm,2,,,,,,,,,,
LAND ROVER,DISCOVERY III (L319),07/04,09/09,4.4 4x4,07/04,09/09,220,299,Brake pads,Prime,P 44 014,,18mm,59mm,163mm,,,,,,,Lucas,Prepared for wear indicator,24191,D1098 8202,With accessoriesWith anti-squeal shimWith brake caliper bolts,,,,,
LAND ROVER,DISCOVERY III (L319),07/04,09/09,4.4 4x4,07/04,09/09,220,299,Brake pads,Prime Ceramic,P44014N,,18mm,59mm,163mm,,,,,,,Lucas,Prepared for wear indicator,24191,D1098 8202,With accessoriesWith anti-squeal shimWith brake caliper bolts,,,,,
LAND ROVER,DISCOVERY III (L319),07/04,09/09,4.4 4x4,07/04,09/09,220,299,Brake pads,Prime,P 44 013,,17mm,46mm,117mm,,,,,,,Lucas,Prepared for wear indicator,24192,"D1099 8203, D1099 8666",With accessoriesWith anti-squeal shimWith brake caliper bolts,,,,,
LAND ROVER,DISCOVERY III (L319),07/04,09/09,4.4 4x4,07/04,09/09,220,299,Brake pads,Prime Ceramic,P44013N,,17mm,46mm,117mm,,,,,,,Lucas,Prepared for wear indicator,24192,"D1099 8203, D1099 8666",With accessoriesWith anti-squeal shimWith brake caliper bolts,,,,,
LAND ROVER,DISCOVERY III (L319),07/04,09/09,4.4 4x4,07/04,09/09,220,299,Brake pads,Xtra,P 44 013X,,17mm,46mm,117mm,,,,,,,Lucas,Prepared for wear indicator,24192,"D1099 8203, D1099 8666",With accessoriesWith anti-squeal shimWith brake caliper bolts,,,,,
