brand,model,model_date_start,model_date_end,type,type_date_start,type_date_end,kw,cv,category,product_line,part_number,diameter,thickness,height,width,number_of_holes,brake_disc_type,centering,min_thickness,tightening_torque,units_per_box,braking_system,wear_indicator,wva_number,fmsi,accessories,position,directional,length
CUPRA,"LEON Sportstourer (KL8, KU8, KUD)",09/20,>,Wear indicator,05/24,>,200,272,Brake pad accessories,Prime,A 00 492,,,,,,,,,,,,,,,,,,170mm
CUPRA,TAVASCAN (KR1),03/24,>,Endurance,03/24,>,210,286,Brake pads,Prime,P 85 194,,19mm,78mm,185mm,,,,,,,,Electric,26407,,With accessoriesWith anti-squeal shimWith brake caliper bolts,
CUPRA,TAVASCAN (KR1),03/24,>,Endurance,03/24,>,210,286,Brake pads,Prime Ceramic,P85194N,,19mm,78mm,185mm,,,,,,,,Electric,26407,,With accessoriesWith anti-squeal shimWith brake caliper bolts,
CUPRA,TAVASCAN (KR1),03/24,>,VZ 4Drive,03/24,>,250,340,Brake pads,Prime,P 85 194,,19mm,78mm,185mm,,,,,,,,Electric,26407,,With accessoriesWith anti-squeal shimWith brake caliper bolts,
CUPRA,TAVASCAN (KR1),03/24,>,VZ 4Drive,03/24,>,250,340,Brake pads,Prime Ceramic,P85194N,,19mm,78mm,185mm,,,,,,,,Electric,26407,,With accessoriesWith anti-squeal shimWith brake caliper bolts,
CUPRA,TERRAMAR (KP1),11/24,>,1.5 e-HYBRID VZ,11/24,>,200,272,Brake discs,Prime,09.A200.11,310mm,22mm,48mm,,5,Ventilated,65mm,20mm,120Nm,2,,,,,,,,
CUPRA,TERRAMAR (KP1),11/24,>,1.5 e-HYBRID VZ,11/24,>,200,272,Brake discs,Xtra,09.A200.1X,310mm,22mm,48mm,,5,Ventilated,65mm,20mm,120Nm,2,,,,,,,,
CUPRA,TERRAMAR (KP1),11/24,>,1.5 e-HYBRID VZ,11/24,>,200,272,Brake discs,Prime,09.C306.11,340mm,30mm,50mm,,5,Ventilated,65mm,27mm,,1,,,,,,,,
CUPRA,TERRAMAR (KP1),11/24,>,1.5 e-HYBRID VZ,11/24,>,200,272,Brake discs,Xtra,09.C306.1X,340mm,30mm,50mm,,5,Ventilated,65mm,27mm,,1,,,,,,,,
CUPRA,TERRAMAR (KP1),11/24,>,1.5 e-HYBRID VZ,11/24,>,200,272,Brake pads,Prime,P 85 165,,17mm,74mm,194mm,,,,,,,Akebono,Prepared for wear indicator,"25861, 25862","D1894 9122, D1894 9204",With accessoriesWith anti-squeal shim,,Yes,
CUPRA,TERRAMAR (KP1),11/24,>,1.5 e-HYBRID VZ,11/24,>,200,272,Brake pads,Prime Ceramic,P85165N,,17mm,74mm,194mm,,,,,,,Akebono,Prepared for wear indicator,"25861, 25862","D1894 9122, D1894 9204",With accessoriesWith anti-squeal shim,,Yes,
CUPRA,TERRAMAR (KP1),11/24,>,1.5 e-HYBRID VZ,11/24,>,200,272,Brake pads,Xtra,P 85 165X,,17mm,74mm,194mm,,,,,,,Akebono,Prepared for wear indicator,"25861, 25862","D1894 9122, D1894 9204",With accessoriesWith anti-squeal shim,,Yes,
