brand,model,model_date_start,model_date_end,type,type_date_start,type_date_end,kw,cv,category,product_line,part_number,diameter,thickness,height,width,number_of_holes,brake_disc_type,centering,min_thickness,tightening_torque,units_per_box,braking_system,wear_indicator,wva_number,fmsi,accessories,position
PORSCHE,718 BOXSTER (982),04/16,>,"2.0 T (982320, 982321, 982350, 982351)",04/16,>,220,300,UPGRADE GT kit,GT | M4 | D,2P1.8056A_,345mm,28mm,,,,,,,,,,,,,,,,4,2 pieces,Monoblock
PORSCHE,718 BOXSTER (982),04/16,>,"2.0 T (982320, 982321, 982350, 982351)",04/16,>,220,300,UPGRADE GT kit,GT | M4 | TY1,2P2.8056A_,345mm,28mm,,,,,,,,,,,,,,,,4,2 pieces,Monoblock
PORSCHE,718 BOXSTER (982),04/16,>,"2.0 T (982320, 982321, 982350, 982351)",04/16,>,220,300,UPGRADE GT kit,GT | M4 | TY3,2P3.8056A_,345mm,28mm,,,,,,,,,,,,,,,,4,2 pieces,Monoblock
PORSCHE,718 BOXSTER (982),04/16,>,"2.5 GTS (982340, 982341, 982380)",10/17,>,269,365,Brake discs,Prime,09.C877.11,330mm,34mm,69mm,,5,Ventilated,98mm,32mm,,1,,,,,,,,,,
PORSCHE,718 BOXSTER (982),04/16,>,"2.5 GTS (982340, 982341, 982380)",10/17,>,269,365,Brake discs,Prime,09.8998.11,299mm,20mm,67mm,,5,Ventilated,98mm,18mm,,2,,,,,,,,,,
PORSCHE,718 BOXSTER (982),04/16,>,"2.5 GTS (982340, 982341, 982380)",10/17,>,269,365,Brake pads,Prime,P 65 059,,16mm,77mm,194mm,,,,,,,,Without,,,With anti-squeal shim,,,,,
PORSCHE,718 BOXSTER (982),04/16,>,"2.5 GTS (982340, 982341, 982380)",10/17,>,269,365,Brake pads,Prime Ceramic,P65059N,,16mm,77mm,194mm,,,,,,,,Without,,,With anti-squeal shim,,,,,
PORSCHE,718 BOXSTER (982),04/16,>,"2.5 GTS (982340, 982341, 982380)",10/17,>,269,365,Brake pads,Prime,P 65 048,,18mm,80mm,198mm,,,,,,,Brembo,Prepared for wear indicator,25566,D1773 9002,With anti-squeal shim,,,,,
PORSCHE,718 BOXSTER (982),04/16,>,"2.5 GTS (982340, 982341, 982380)",10/17,>,269,365,Brake pads,Prime Ceramic,P65048N,,18mm,80mm,198mm,,,,,,,Brembo,Prepared for wear indicator,25566,D1773 9002,With anti-squeal shim,,,,,
PORSCHE,718 BOXSTER (982),04/16,>,"2.5 GTS (982340, 982341, 982380)",10/17,>,269,365,Brake pads,Prime,P 65 018,,19mm,74mm,200mm,,,,,,,Brembo,Prepared for wear indicator,24459,D1389 8498,With anti-squeal shim,,,,,
PORSCHE,718 BOXSTER (982),04/16,>,"2.5 GTS (982340, 982341, 982380)",10/17,>,269,365,Brake pads,Prime Ceramic,P65018N,,19mm,74mm,200mm,,,,,,,Brembo,Prepared for wear indicator,24459,D1389 8498,With anti-squeal shim,,,,,
PORSCHE,718 BOXSTER (982),04/16,>,"2.5 GTS (982340, 982341, 982380)",10/17,>,269,365,Brake pads,Prime,P 65 041,,17mm,79mm,200mm,,,,,,,,Prepared for wear indicator,25983,D1905 9133,With anti-squeal shim,,,,,
PORSCHE,718 BOXSTER (982),04/16,>,"2.5 GTS (982340, 982341, 982380)",10/17,>,269,365,Brake pads,Prime Ceramic,P65041N,,17mm,79mm,200mm,,,,,,,,Prepared for wear indicator,25983,D1905 9133,With anti-squeal shim,,,,,
PORSCHE,718 BOXSTER (982),04/16,>,"2.5 GTS (982340, 982341, 982380)",10/17,>,269,365,Brake pads,Prime,P 65 028,,16mm,73mm,112mm,,,,,,,Brembo,Prepared for wear indicator,24541,D1134 8245,With anti-squeal shim,,,,,
PORSCHE,718 BOXSTER (982),04/16,>,"2.5 GTS (982340, 982341, 982380)",10/17,>,269,365,Brake pads,Prime Ceramic,P65028N,,16mm,73mm,112mm,,,,,,,Brembo,Prepared for wear indicator,24541,D1134 8245,With anti-squeal shim,,,,,
PORSCHE,718 BOXSTER (982),04/16,>,Wear indicator,10/17,>,269,365,Brake pad accessories,Prime,A 00 502,,,,,,,,,,,,,,,,,350mm,,,
PORSCHE,718 BOXSTER (982),04/16,>,"2.5 GTS (982340, 982341, 982380)",10/17,>,269,365,UPGRADE GT kit,GT | M6 | D,1M1.9040A_,380mm,32mm,,,,,,,,,,,,,,,,6,2 pieces,Monoblock
PORSCHE,718 BOXSTER (982),04/16,>,"2.5 GTS (982340, 982341, 982380)",10/17,>,269,365,UPGRADE GT kit,GT | M6 | TY1,1M2.9040A_,380mm,32mm,,,,,,,,,,,,,,,,6,2 pieces,Monoblock
PORSCHE,718 BOXSTER (982),04/16,>,"2.5 GTS (982340, 982341, 982380)",10/17,>,269,365,UPGRADE GT kit,GT | M6 | TY3,1M3.9040A_,380mm,32mm,,,,,,,,,,,,,,,,6,2 pieces,Monoblock
PORSCHE,718 BOXSTER (982),04/16,>,"2.5 GTS (982340, 982341, 982380)",10/17,>,269,365,UPGRADE GT kit,GT | M6 | TY3,1N3.8021A_,350mm,34mm,,,,,,,,,,,,,,,,6,2 pieces,Monoblock
PORSCHE,718 BOXSTER (982),04/16,>,"2.5 GTS (982340, 982341, 982380)",10/17,>,269,365,UPGRADE GT kit,GT | M4 | D,2P1.8056A_,345mm,28mm,,,,,,,,,,,,,,,,4,2 pieces,Monoblock
PORSCHE,718 BOXSTER (982),04/16,>,"2.5 GTS (982340, 982341, 982380)",10/17,>,269,365,UPGRADE GT kit,GT | M4 | TY1,2P2.8056A_,345mm,28mm,,,,,,,,,,,,,,,,4,2 pieces,Monoblock
PORSCHE,718 BOXSTER (982),04/16,>,"2.5 GTS (982340, 982341, 982380)",10/17,>,269,365,UPGRADE GT kit,GT | M4 | TY3,2P3.8056A_,345mm,28mm,,,,,,,,,,,,,,,,4,2 pieces,Monoblock
PORSCHE,718 BOXSTER (982),04/16,>,"2.5 S (982330, 982331)",04/16,>,257,350,Brake discs,Prime,09.C877.11,330mm,34mm,69mm,,5,Ventilated,98mm,32mm,,1,,,,,,,,,,
PORSCHE,718 BOXSTER (982),04/16,>,"2.5 S (982330, 982331)",04/16,>,257,350,Brake discs,Prime,09.D930.11,330mm,28mm,69mm,,5,Ventilated,98mm,26mm,,1,,,,,,,,,,
PORSCHE,718 BOXSTER (982),04/16,>,"2.5 S (982330, 982331)",04/16,>,257,350,Brake discs,Prime,09.D931.11,330mm,28mm,69mm,,5,Ventilated,98mm,26mm,,1,,,,,,,,,,
PORSCHE,718 BOXSTER (982),04/16,>,"2.5 S (982330, 982331)",04/16,>,257,350,Brake discs,Prime,09.8998.11,299mm,20mm,67mm,,5,Ventilated,98mm,18mm,,2,,,,,,,,,,
PORSCHE,718 BOXSTER (982),04/16,>,"2.5 S (982330, 982331)",04/16,>,257,350,Brake pads,Prime,P 65 059,,16mm,77mm,194mm,,,,,,,,Without,,,With anti-squeal shim,,,,,
PORSCHE,718 BOXSTER (982),04/16,>,"2.5 S (982330, 982331)",04/16,>,257,350,Brake pads,Prime Ceramic,P65059N,,16mm,77mm,194mm,,,,,,,,Without,,,With anti-squeal shim,,,,,
PORSCHE,718 BOXSTER (982),04/16,>,"2.5 S (982330, 982331)",04/16,>,257,350,Brake pads,Prime,P 65 018,,19mm,74mm,200mm,,,,,,,Brembo,Prepared for wear indicator,24459,D1389 8498,With anti-squeal shim,,,,,
PORSCHE,718 BOXSTER (982),04/16,>,"2.5 S (982330, 982331)",04/16,>,257,350,Brake pads,Prime Ceramic,P65018N,,19mm,74mm,200mm,,,,,,,Brembo,Prepared for wear indicator,24459,D1389 8498,With anti-squeal shim,,,,,
PORSCHE,718 BOXSTER (982),04/16,>,"2.5 S (982330, 982331)",04/16,>,257,350,Brake pads,Prime,P 65 041,,17mm,79mm,200mm,,,,,,,,Prepared for wear indicator,25983,D1905 9133,With anti-squeal shim,,,,,
PORSCHE,718 BOXSTER (982),04/16,>,"2.5 S (982330, 982331)",04/16,>,257,350,Brake pads,Prime Ceramic,P65041N,,17mm,79mm,200mm,,,,,,,,Prepared for wear indicator,25983,D1905 9133,With anti-squeal shim,,,,,
PORSCHE,718 BOXSTER (982),04/16,>,"2.5 S (982330, 982331)",04/16,>,257,350,Brake pads,Prime,P 65 028,,16mm,73mm,112mm,,,,,,,Brembo,Prepared for wear indicator,24541,D1134 8245,With anti-squeal shim,,,,,
PORSCHE,718 BOXSTER (982),04/16,>,"2.5 S (982330, 982331)",04/16,>,257,350,Brake pads,Prime Ceramic,P65028N,,16mm,73mm,112mm,,,,,,,Brembo,Prepared for wear indicator,24541,D1134 8245,With anti-squeal shim,,,,,
PORSCHE,718 BOXSTER (982),04/16,>,Wear indicator,04/16,>,257,350,Brake pad accessories,Prime,A 00 502,,,,,,,,,,,,,,,,,350mm,,,
PORSCHE,718 BOXSTER (982),04/16,>,"2.5 S (982330, 982331)",04/16,>,257,350,UPGRADE GT kit,GT | M6 | D,1M1.9040A_,380mm,32mm,,,,,,,,,,,,,,,,6,2 pieces,Monoblock
PORSCHE,718 BOXSTER (982),04/16,>,"2.5 S (982330, 982331)",04/16,>,257,350,UPGRADE GT kit,GT | M6 | TY1,1M2.9040A_,380mm,32mm,,,,,,,,,,,,,,,,6,2 pieces,Monoblock
PORSCHE,718 BOXSTER (982),04/16,>,"2.5 S (982330, 982331)",04/16,>,257,350,UPGRADE GT kit,GT | M6 | TY3,1M3.9040A_,380mm,32mm,,,,,,,,,,,,,,,,6,2 pieces,Monoblock
PORSCHE,718 BOXSTER (982),04/16,>,"2.5 S (982330, 982331)",04/16,>,257,350,UPGRADE GT kit,GT | M6 | TY3,1N3.8021A_,350mm,34mm,,,,,,,,,,,,,,,,6,2 pieces,Monoblock
PORSCHE,718 BOXSTER (982),04/16,>,"2.5 S (982330, 982331)",04/16,>,257,350,UPGRADE GT kit,GT | M4 | D,2P1.8056A_,345mm,28mm,,,,,,,,,,,,,,,,4,2 pieces,Monoblock
PORSCHE,718 BOXSTER (982),04/16,>,"2.5 S (982330, 982331)",04/16,>,257,350,UPGRADE GT kit,GT | M4 | TY1,2P2.8056A_,345mm,28mm,,,,,,,,,,,,,,,,4,2 pieces,Monoblock
PORSCHE,718 BOXSTER (982),04/16,>,"2.5 S (982330, 982331)",04/16,>,257,350,UPGRADE GT kit,GT | M4 | TY3,2P3.8056A_,345mm,28mm,,,,,,,,,,,,,,,,4,2 pieces,Monoblock
PORSCHE,718 BOXSTER (982),04/16,>,"GTS 4.0 (982360, 982361)",01/19,>,294,400,Brake pads,Prime,P 65 059,,16mm,77mm,194mm,,,,,,,,Without,,,With anti-squeal shim,,,,,
PORSCHE,718 BOXSTER (982),04/16,>,"GTS 4.0 (982360, 982361)",01/19,>,294,400,Brake pads,Prime Ceramic,P65059N,,16mm,77mm,194mm,,,,,,,,Without,,,With anti-squeal shim,,,,,
PORSCHE,718 BOXSTER (982),04/16,>,"GTS 4.0 (982360, 982361)",01/19,>,294,400,Brake pads,Prime,P 65 045,,17mm,80mm,198mm,,,,,,,,Prepared for wear indicator,25519,D1741 8964,With anti-squeal shim,,,,,
