brand,model,model_date_start,model_date_end,type,type_date_start,type_date_end,kw,cv,category,product_line,part_number,diameter,thickness,height,width,number_of_holes,brake_disc_type,centering,min_thickness,tightening_torque,units_per_box,braking_system,wear_indicator,wva_number,fmsi,accessories,position,directional
OPEL,INSIGNIA A Saloon (G09),07/08,03/17,2.0 Turbo E85 (69),07/08,03/17,162,220,Brake discs,Prime,09.A972.11,315mm,23mm,48mm,,5,Ventilated,67mm,"21,5mm",150Nm,2,,,,,,,
OPEL,INSIGNIA A Saloon (G09),07/08,03/17,2.0 Turbo E85 (69),07/08,03/17,162,220,Brake discs,Xtra,09.A972.1X,315mm,23mm,48mm,,5,Ventilated,67mm,"21,5mm",150Nm,2,,,,,,,
OPEL,INSIGNIA A Saloon (G09),07/08,03/17,2.0 Turbo E85 (69),07/08,03/17,162,220,Brake pads,Prime,P 59 055,,19mm,62mm,142mm,,,,,,,Mando,Acoustic,"24412, 24413, 24414","D1404 8512, D1557 8769, D1745 8971",With accessoriesWith anti-squeal shim,,Yes
OPEL,INSIGNIA A Saloon (G09),07/08,03/17,2.0 Turbo E85 (69),07/08,03/17,162,220,Brake pads,Prime Ceramic,P59055N,,19mm,62mm,142mm,,,,,,,Mando,Acoustic,"24412, 24413, 24414","D1404 8512, D1557 8769, D1745 8971",With accessoriesWith anti-squeal shim,,Yes
OPEL,INSIGNIA A Saloon (G09),07/08,03/17,2.0 Turbo E85 (69),07/08,03/17,162,220,Brake pads,Xtra,P 59 055X,,19mm,62mm,142mm,,,,,,,Mando,Acoustic,"24412, 24413, 24414","D1404 8512, D1557 8769, D1745 8971",With accessoriesWith anti-squeal shim,,Yes
OPEL,INSIGNIA A Saloon (G09),07/08,03/17,2.0 Turbo E85 (69),07/08,03/17,162,220,Brake pads,Prime,P 59 058,,17mm,66mm,185mm,,,,,,,TRW,Acoustic,"24418, 24419, 24420",D1558 8770,With accessoriesWith anti-squeal shim,,
OPEL,INSIGNIA A Saloon (G09),07/08,03/17,2.0 Turbo E85 (69),07/08,03/17,162,220,Brake pads,Prime Ceramic,P59058N,,17mm,66mm,185mm,,,,,,,TRW,Acoustic,"24418, 24419, 24420",D1558 8770,With accessoriesWith anti-squeal shim,,
OPEL,INSIGNIA A Saloon (G09),07/08,03/17,2.0 Turbo E85 (69),07/08,03/17,162,220,Brake pads,Prime,P 59 060,,17mm,47mm,106mm,,,,,,,TRW,Acoustic,"24421, 24422",D1430 8547,With accessoriesWith anti-squeal shim,,
OPEL,INSIGNIA A Saloon (G09),07/08,03/17,2.0 Turbo E85 (69),07/08,03/17,162,220,Brake pads,Prime Ceramic,P59060N,,17mm,47mm,106mm,,,,,,,TRW,Acoustic,"24421, 24422",D1430 8547,With accessoriesWith anti-squeal shim,,
OPEL,INSIGNIA A Sports Tourer (G09),07/08,03/17,2.0 CDTI (35),07/08,06/15,118,160,Brake discs,Prime,09.A969.11,296mm,30mm,51mm,,5,Ventilated,67mm,27mm,150Nm,1,,,,,,,
OPEL,INSIGNIA A Sports Tourer (G09),07/08,03/17,2.0 CDTI (35),07/08,06/15,118,160,Brake discs,Xtra,09.A969.1X,296mm,30mm,51mm,,5,Ventilated,67mm,27mm,150Nm,1,,,,,,,
OPEL,INSIGNIA A Sports Tourer (G09),07/08,03/17,2.0 CDTI (35),07/08,06/15,118,160,Brake discs,Prime,09.A971.11,321mm,30mm,51mm,,5,Ventilated,67mm,27mm,150Nm,1,,,,,,,
OPEL,INSIGNIA A Sports Tourer (G09),07/08,03/17,2.0 CDTI (35),07/08,06/15,118,160,Brake discs,Xtra,09.A971.1X,321mm,30mm,51mm,,5,Ventilated,67mm,27mm,150Nm,1,,,,,,,
OPEL,INSIGNIA A Sports Tourer (G09),07/08,03/17,2.0 CDTI (35),07/08,06/15,118,160,Brake discs,Prime,09.B358.11,337mm,30mm,51mm,,5,Ventilated,68mm,27mm,150Nm,1,,,,,,,
OPEL,INSIGNIA A Sports Tourer (G09),07/08,03/17,2.0 CDTI (35),07/08,06/15,118,160,Brake discs,Prime,08.A970.11,292mm,12mm,48mm,,5,Solid,67mm,"10,5mm",150Nm,2,,,,,,,
OPEL,INSIGNIA A Sports Tourer (G09),07/08,03/17,2.0 CDTI (35),07/08,06/15,118,160,Brake discs,Xtra,08.A970.1X,292mm,12mm,48mm,,5,Solid,67mm,"10,5mm",150Nm,2,,,,,,,
OPEL,INSIGNIA A Sports Tourer (G09),07/08,03/17,2.0 CDTI (35),07/08,06/15,118,160,Brake discs,Prime,09.A972.11,315mm,23mm,48mm,,5,Ventilated,67mm,"21,5mm",150Nm,2,,,,,,,
OPEL,INSIGNIA A Sports Tourer (G09),07/08,03/17,2.0 CDTI (35),07/08,06/15,118,160,Brake discs,Xtra,09.A972.1X,315mm,23mm,48mm,,5,Ventilated,67mm,"21,5mm",150Nm,2,,,,,,,
OPEL,INSIGNIA A Sports Tourer (G09),07/08,03/17,2.0 CDTI (35),07/08,06/15,118,160,Brake pads,Prime,P 59 054,,19mm,60mm,132mm,,,,,,,Mando,Acoustic,"24415, 24416, 24417","D1421 8536, D1559 8536",With accessoriesWith anti-squeal shim,,
