brand,model,model_date_start,model_date_end,type,type_date_start,type_date_end,kw,cv,category,product_line,part_number,diameter,thickness,height,width,number_of_holes,brake_disc_type,centering,min_thickness,tightening_torque,units_per_box,braking_system,wear_indicator,wva_number,fmsi,accessories,position,max_diameter
FORD,"ESCORT I (AFH, ATH)",01/68,02/76,Twin Cam,03/68,08/71,80,109,Brake discs,Prime,08.1659.20,244mm,"12,7mm",27mm,,4,Solid,68mm,"11,4mm",,2,,,,,,,
FORD,"ESCORT I (AFH, ATH)",01/68,02/76,Twin Cam,03/68,08/71,80,109,Drums,Essential,14.3167.10,203mm,,67mm,45mm,4,,"63,5mm",,,,,,,,,,204mm
FORD,ESCORT II (ATH),03/73,07/81,1.6 RS,12/74,08/80,62,84,Brake discs,Prime,08.2275.10,248mm,"12,7mm",27mm,,4,Solid,68mm,"11,4mm",100Nm,2,,,,,,
FORD,"FOCUS II (DA_, HCP, DP)",07/04,09/13,2.5 ST,10/05,09/12,166,225,Brake discs,Prime,09.A728.11,320mm,25mm,49mm,,5,Ventilated,64mm,23mm,130Nm,1,,,,,,,
FORD,"FOCUS II (DA_, HCP, DP)",07/04,09/13,2.5 ST,10/05,09/12,166,225,Brake discs,Xtra,09.A728.1X,320mm,25mm,49mm,,5,Ventilated,64mm,23mm,130Nm,1,,,,,,,
FORD,"FOCUS II (DA_, HCP, DP)",07/04,09/13,2.5 ST,10/05,09/12,166,225,Brake discs,Prime,09.C542.11,320mm,25mm,49mm,,5,Ventilated,64mm,23mm,,1,,,,,,,
FORD,"FOCUS II (DA_, HCP, DP)",07/04,09/13,2.5 ST,10/05,09/12,166,225,Brake discs,Xtra,09.C542.1X,320mm,25mm,49mm,,5,Ventilated,64mm,23mm,,1,,,,,,,
FORD,"FOCUS II (DA_, HCP, DP)",07/04,09/13,2.5 ST,10/05,09/12,166,225,Brake discs,Prime,08.9975.11,280mm,11mm,41mm,,5,Solid,64mm,9mm,100Nm,2,,,,,,,
FORD,"FOCUS II (DA_, HCP, DP)",07/04,09/13,2.5 ST,10/05,09/12,166,225,Brake discs,Max,08.9975.75,280mm,11mm,41mm,,5,Solid,64mm,9mm,100Nm,2,,,,,,,
FORD,"FOCUS II (DA_, HCP, DP)",07/04,09/13,2.5 ST,10/05,09/12,166,225,Brake discs,Xtra,08.9975.1X,280mm,11mm,41mm,,5,Solid,64mm,9mm,100Nm,2,,,,,,,
FORD,"FOCUS II (DA_, HCP, DP)",07/04,09/13,2.5 ST,10/05,09/12,166,225,Brake discs,Prime,08.A540.11,302mm,11mm,51mm,,5,Solid,64mm,9mm,140Nm,2,,,,,,,
FORD,"FOCUS II (DA_, HCP, DP)",07/04,09/13,2.5 ST,10/05,09/12,166,225,Brake discs,Xtra,08.A540.1X,302mm,11mm,51mm,,5,Solid,64mm,9mm,140Nm,2,,,,,,,
FORD,"FOCUS II (DA_, HCP, DP)",07/04,09/13,2.5 ST,10/05,09/12,166,225,Brake pads,Prime,P 24 057,,19mm,73mm,156 - 155mm,,,,,,,Teves,Without,"23801, 23912","D915 8220, D915 8519",With accessoriesWith anti-squeal shimWith piston clip,,Yes
FORD,"FOCUS II (DA_, HCP, DP)",07/04,09/13,2.5 ST,10/05,09/12,166,225,Brake pads,Prime Ceramic,P24057N,,19mm,73mm,156 - 155mm,,,,,,,Teves,Without,"23801, 23912","D915 8220, D915 8519",With accessoriesWith anti-squeal shimWith piston clip,,Yes
FORD,"FOCUS II (DA_, HCP, DP)",07/04,09/13,2.5 ST,10/05,09/12,166,225,Brake pads,Prime,P 59 042,,17mm,52mm,123mm,,,,,,,Teves,Prepared for wear indicator,"23482, 24137","D1095 7874, D1095 7957, D1095 8248, D1564 7957, D973 7957, D973 8248",With accessoriesWith anti-squeal shim,,
