brand,model,model_date_start,model_date_end,type,type_date_start,type_date_end,kw,cv,category,product_line,part_number,diameter,thickness,height,width,number_of_holes,brake_disc_type,centering,min_thickness,tightening_torque,units_per_box,braking_system,wear_indicator,wva_number,fmsi,accessories,position
FERRARI,F355 Berlinetta,05/94,03/99,3.5,05/94,03/99,280,380,Brake pads,Prime,P 85 094,,18mm,66mm,98mm,,,,,,,Teves,Prepared for wear indicator,20877,D250 7158,With anti-squeal shim,,,,
FERRARI,F355 Berlinetta,05/94,03/99,3.5,05/94,03/99,280,380,Brake pads,Prime Ceramic,P85094N,,18mm,66mm,98mm,,,,,,,Teves,Prepared for wear indicator,20877,D250 7158,With anti-squeal shim,,,,
FERRARI,F355 Berlinetta,05/94,03/99,3.5,05/94,03/99,280,380,UPGRADE GT kit,GT | A4 | D,1B1.7003A_,332mm,32mm,,,,,,,,,,,,,,,4,2 pieces,2 pieces
FERRARI,F355 Berlinetta,05/94,03/99,3.5,05/94,03/99,280,380,UPGRADE GT kit,GT | A4 | TY1,1B2.7003A_,332mm,32mm,,,,,,,,,,,,,,,4,2 pieces,2 pieces
FERRARI,F355 Berlinetta,05/94,03/99,3.5,05/94,03/99,280,380,UPGRADE GT kit,GT | M6 | D,1M1.8062A_,355mm,32mm,,,,,,,,,,,,,,,6,2 pieces,Monoblock
FERRARI,F355 Berlinetta,05/94,03/99,3.5,05/94,03/99,280,380,UPGRADE GT kit,GT | M6 | TY1,1M2.8062A_,355mm,32mm,,,,,,,,,,,,,,,6,2 pieces,Monoblock
FERRARI,F355 Berlinetta,05/94,03/99,3.5,05/94,03/99,280,380,UPGRADE GT kit,GT | M6 | TY3,1M3.8062A_,355mm,32mm,,,,,,,,,,,,,,,6,2 pieces,Monoblock
FERRARI,F355 Berlinetta,05/94,03/99,3.5,05/94,03/99,280,380,UPGRADE GT kit,GT | M6 | D,1M1.9060A_,380mm,32mm,,,,,,,,,,,,,,,6,2 pieces,Monoblock
FERRARI,F355 Berlinetta,05/94,03/99,3.5,05/94,03/99,280,380,UPGRADE GT kit,GT | M6 | TY1,1M2.9060A_,380mm,32mm,,,,,,,,,,,,,,,6,2 pieces,Monoblock
FERRARI,F355 Berlinetta,05/94,03/99,3.5,05/94,03/99,280,380,UPGRADE GT kit,GT | M6 | TY3,1M3.9060A_,380mm,32mm,,,,,,,,,,,,,,,6,2 pieces,Monoblock
FERRARI,F355 Berlinetta,05/94,03/99,3.5,05/94,03/99,280,380,UPGRADE GT kit,GT | A4 | D,2B1.7001A_,332mm,32mm,,,,,,,,,,,,,,,4,2 pieces,2 pieces
FERRARI,F355 Berlinetta,05/94,03/99,3.5,05/94,03/99,280,380,UPGRADE GT kit,GT | A4 | TY1,2B2.7001A_,332mm,32mm,,,,,,,,,,,,,,,4,2 pieces,2 pieces
FERRARI,F355 Berlinetta,05/94,03/99,3.5,05/94,03/99,280,380,UPGRADE GT kit,GT | A4 | D,2H1.8006A_,355mm,32mm,,,,,,,,,,,,,,,4,2 pieces,2 pieces
FERRARI,F355 Berlinetta,05/94,03/99,3.5,05/94,03/99,280,380,UPGRADE GT kit,GT | A4 | TY1,2H2.8006A_,355mm,32mm,,,,,,,,,,,,,,,4,2 pieces,2 pieces
FERRARI,F355 Berlinetta,05/94,03/99,3.5,05/94,03/99,280,380,UPGRADE GT kit,GT | A4 | TY3,2H3.8006A_,355mm,32mm,,,,,,,,,,,,,,,4,2 pieces,2 pieces
FERRARI,F355 GTS,07/94,03/99,3.5,07/94,03/99,280,380,UPGRADE GT kit,GT | A4 | D,1B1.7003A_,332mm,32mm,,,,,,,,,,,,,,,4,2 pieces,2 pieces
FERRARI,F355 GTS,07/94,03/99,3.5,07/94,03/99,280,380,UPGRADE GT kit,GT | A4 | TY1,1B2.7003A_,332mm,32mm,,,,,,,,,,,,,,,4,2 pieces,2 pieces
FERRARI,F355 GTS,07/94,03/99,3.5,07/94,03/99,280,380,UPGRADE GT kit,GT | M6 | D,1M1.8062A_,355mm,32mm,,,,,,,,,,,,,,,6,2 pieces,Monoblock
FERRARI,F355 GTS,07/94,03/99,3.5,07/94,03/99,280,380,UPGRADE GT kit,GT | M6 | TY1,1M2.8062A_,355mm,32mm,,,,,,,,,,,,,,,6,2 pieces,Monoblock
FERRARI,F355 GTS,07/94,03/99,3.5,07/94,03/99,280,380,UPGRADE GT kit,GT | M6 | TY3,1M3.8062A_,355mm,32mm,,,,,,,,,,,,,,,6,2 pieces,Monoblock
FERRARI,F355 GTS,07/94,03/99,3.5,07/94,03/99,280,380,UPGRADE GT kit,GT | M6 | D,1M1.9060A_,380mm,32mm,,,,,,,,,,,,,,,6,2 pieces,Monoblock
FERRARI,F355 GTS,07/94,03/99,3.5,07/94,03/99,280,380,UPGRADE GT kit,GT | M6 | TY1,1M2.9060A_,380mm,32mm,,,,,,,,,,,,,,,6,2 pieces,Monoblock
FERRARI,F355 GTS,07/94,03/99,3.5,07/94,03/99,280,380,UPGRADE GT kit,GT | M6 | TY3,1M3.9060A_,380mm,32mm,,,,,,,,,,,,,,,6,2 pieces,Monoblock
FERRARI,F355 GTS,07/94,03/99,3.5,07/94,03/99,280,380,UPGRADE GT kit,GT | A4 | D,2B1.7001A_,332mm,32mm,,,,,,,,,,,,,,,4,2 pieces,2 pieces
FERRARI,F355 GTS,07/94,03/99,3.5,07/94,03/99,280,380,UPGRADE GT kit,GT | A4 | TY1,2B2.7001A_,332mm,32mm,,,,,,,,,,,,,,,4,2 pieces,2 pieces
FERRARI,F355 GTS,07/94,03/99,3.5,07/94,03/99,280,380,UPGRADE GT kit,GT | A4 | D,2H1.8006A_,355mm,32mm,,,,,,,,,,,,,,,4,2 pieces,2 pieces
FERRARI,F355 GTS,07/94,03/99,3.5,07/94,03/99,280,380,UPGRADE GT kit,GT | A4 | TY1,2H2.8006A_,355mm,32mm,,,,,,,,,,,,,,,4,2 pieces,2 pieces
FERRARI,F355 GTS,07/94,03/99,3.5,07/94,03/99,280,380,UPGRADE GT kit,GT | A4 | TY3,2H3.8006A_,355mm,32mm,,,,,,,,,,,,,,,4,2 pieces,2 pieces
FERRARI,F355 Spider,05/94,12/00,3.5,07/95,12/00,280,380,Brake discs,Prime,09.4966.10,310mm,24mm,77mm,,5,Ventilated,67mm,22mm,,2,,,,,,,,,
FERRARI,F355 Spider,05/94,12/00,3.5,07/95,12/00,280,380,Brake pads,Prime,P 85 094,,18mm,66mm,98mm,,,,,,,Teves,Prepared for wear indicator,20877,D250 7158,With anti-squeal shim,,,,
FERRARI,F355 Spider,05/94,12/00,3.5,07/95,12/00,280,380,Brake pads,Prime Ceramic,P85094N,,18mm,66mm,98mm,,,,,,,Teves,Prepared for wear indicator,20877,D250 7158,With anti-squeal shim,,,,
FERRARI,F355 Spider,05/94,12/00,3.5,07/95,12/00,280,380,UPGRADE GT kit,GT | A4 | D,1B1.7003A_,332mm,32mm,,,,,,,,,,,,,,,4,2 pieces,2 pieces
FERRARI,F355 Spider,05/94,12/00,3.5,07/95,12/00,280,380,UPGRADE GT kit,GT | A4 | TY1,1B2.7003A_,332mm,32mm,,,,,,,,,,,,,,,4,2 pieces,2 pieces
FERRARI,F355 Spider,05/94,12/00,3.5,07/95,12/00,280,380,UPGRADE GT kit,GT | M6 | D,1M1.8062A_,355mm,32mm,,,,,,,,,,,,,,,6,2 pieces,Monoblock
FERRARI,F355 Spider,05/94,12/00,3.5,07/95,12/00,280,380,UPGRADE GT kit,GT | M6 | TY1,1M2.8062A_,355mm,32mm,,,,,,,,,,,,,,,6,2 pieces,Monoblock
FERRARI,F355 Spider,05/94,12/00,3.5,07/95,12/00,280,380,UPGRADE GT kit,GT | M6 | TY3,1M3.8062A_,355mm,32mm,,,,,,,,,,,,,,,6,2 pieces,Monoblock
FERRARI,F355 Spider,05/94,12/00,3.5,07/95,12/00,280,380,UPGRADE GT kit,GT | M6 | D,1M1.9060A_,380mm,32mm,,,,,,,,,,,,,,,6,2 pieces,Monoblock
FERRARI,F355 Spider,05/94,12/00,3.5,07/95,12/00,280,380,UPGRADE GT kit,GT | M6 | TY1,1M2.9060A_,380mm,32mm,,,,,,,,,,,,,,,6,2 pieces,Monoblock
FERRARI,F355 Spider,05/94,12/00,3.5,07/95,12/00,280,380,UPGRADE GT kit,GT | M6 | TY3,1M3.9060A_,380mm,32mm,,,,,,,,,,,,,,,6,2 pieces,Monoblock
FERRARI,F355 Spider,05/94,12/00,3.5,07/95,12/00,280,380,UPGRADE GT kit,GT | A4 | D,2B1.7001A_,332mm,32mm,,,,,,,,,,,,,,,4,2 pieces,2 pieces
FERRARI,F355 Spider,05/94,12/00,3.5,07/95,12/00,280,380,UPGRADE GT kit,GT | A4 | TY1,2B2.7001A_,332mm,32mm,,,,,,,,,,,,,,,4,2 pieces,2 pieces
FERRARI,F355 Spider,05/94,12/00,3.5,07/95,12/00,280,380,UPGRADE GT kit,GT | A4 | D,2H1.8006A_,355mm,32mm,,,,,,,,,,,,,,,4,2 pieces,2 pieces
FERRARI,F355 Spider,05/94,12/00,3.5,07/95,12/00,280,380,UPGRADE GT kit,GT | A4 | TY1,2H2.8006A_,355mm,32mm,,,,,,,,,,,,,,,4,2 pieces,2 pieces
FERRARI,F355 Spider,05/94,12/00,3.5,07/95,12/00,280,380,UPGRADE GT kit,GT | A4 | TY3,2H3.8006A_,355mm,32mm,,,,,,,,,,,,,,,4,2 pieces,2 pieces
FERRARI,F430,03/05,12/09,430 Scuderia,09/07,12/09,375,510,UPGRADE GT kit,GT | M6 | D,1N1.9526A_,405mm,34mm,,,,,,,,,,,,,,,6,2 pieces,Monoblock
FERRARI,F430,03/05,12/09,430 Scuderia,09/07,12/09,375,510,UPGRADE GT kit,GT | M6 | TY1,1N2.9526A_,405mm,34mm,,,,,,,,,,,,,,,6,2 pieces,Monoblock
FERRARI,F430,03/05,12/09,430 Scuderia,09/07,12/09,375,510,UPGRADE GT kit,GT | M6 | TY3,1N3.9526A_,405mm,34mm,,,,,,,,,,,,,,,6,2 pieces,Monoblock
FERRARI,F430,03/05,12/09,430 Scuderia,09/07,12/09,375,510,UPGRADE GT kit,GT | M6 | D,2M1.9002A_,380mm,32mm,,,,,,,,,,,,,,,6,2 pieces,Monoblock
FERRARI,F430,03/05,12/09,430 Scuderia,09/07,12/09,375,510,UPGRADE GT kit,GT | M6 | TY1,2M2.9002A_,380mm,32mm,,,,,,,,,,,,,,,6,2 pieces,Monoblock
FERRARI,F430,03/05,12/09,430 Scuderia,09/07,12/09,375,510,UPGRADE GT kit,GT | M6 | TY3,2M3.9002A_,380mm,32mm,,,,,,,,,,,,,,,6,2 pieces,Monoblock
FERRARI,F430,03/05,12/09,430 Scuderia,09/07,12/09,372,506,UPGRADE GT kit,GT | M6 | D,1M1.9008A_,380mm,32mm,,,,,,,,,,,,,,,6,2 pieces,Monoblock
FERRARI,F430,03/05,12/09,430 Scuderia,09/07,12/09,372,506,UPGRADE GT kit,GT | M6 | TY1,1M2.9008A_,380mm,32mm,,,,,,,,,,,,,,,6,2 pieces,Monoblock
FERRARI,F430,03/05,12/09,430 Scuderia,09/07,12/09,372,506,UPGRADE GT kit,GT | M6 | TY3,1M3.9008A_,380mm,32mm,,,,,,,,,,,,,,,6,2 pieces,Monoblock
FERRARI,F430,03/05,12/09,430 Scuderia,09/07,12/09,372,506,UPGRADE GT kit,GT | M6 | D,1M1.9013A_,380mm,32mm,,,,,,,,,,,,,,,6,2 pieces,Monoblock
FERRARI,F430,03/05,12/09,430 Scuderia,09/07,12/09,372,506,UPGRADE GT kit,GT | M6 | TY1,1M2.9013A_,380mm,32mm,,,,,,,,,,,,,,,6,2 pieces,Monoblock
FERRARI,F430,03/05,12/09,430 Scuderia,09/07,12/09,372,506,UPGRADE GT kit,GT | M6 | TY3,1M3.9013A_,380mm,32mm,,,,,,,,,,,,,,,6,2 pieces,Monoblock
FERRARI,F430,03/05,12/09,430 Scuderia,09/07,12/09,372,506,UPGRADE GT kit,GT | M6 | D,2M1.9002A_,380mm,32mm,,,,,,,,,,,,,,,6,2 pieces,Monoblock
FERRARI,F430,03/05,12/09,430 Scuderia,09/07,12/09,372,506,UPGRADE GT kit,GT | M6 | TY1,2M2.9002A_,380mm,32mm,,,,,,,,,,,,,,,6,2 pieces,Monoblock
FERRARI,F430,03/05,12/09,430 Scuderia,09/07,12/09,372,506,UPGRADE GT kit,GT | M6 | TY3,2M3.9002A_,380mm,32mm,,,,,,,,,,,,,,,6,2 pieces,Monoblock
FERRARI,F430,03/05,12/09,F430,03/05,12/09,360,490,UPGRADE GT kit,GT | M6 | D,1M1.9008A_,380mm,32mm,,,,,,,,,,,,,,,6,2 pieces,Monoblock
FERRARI,F430,03/05,12/09,F430,03/05,12/09,360,490,UPGRADE GT kit,GT | M6 | TY1,1M2.9008A_,380mm,32mm,,,,,,,,,,,,,,,6,2 pieces,Monoblock
FERRARI,F430,03/05,12/09,F430,03/05,12/09,360,490,UPGRADE GT kit,GT | M6 | TY3,1M3.9008A_,380mm,32mm,,,,,,,,,,,,,,,6,2 pieces,Monoblock
FERRARI,F430,03/05,12/09,F430,03/05,12/09,360,490,UPGRADE GT kit,GT | M6 | D,1M1.9013A_,380mm,32mm,,,,,,,,,,,,,,,6,2 pieces,Monoblock
FERRARI,F430,03/05,12/09,F430,03/05,12/09,360,490,UPGRADE GT kit,GT | M6 | TY1,1M2.9013A_,380mm,32mm,,,,,,,,,,,,,,,6,2 pieces,Monoblock
FERRARI,F430,03/05,12/09,F430,03/05,12/09,360,490,UPGRADE GT kit,GT | M6 | TY3,1M3.9013A_,380mm,32mm,,,,,,,,,,,,,,,6,2 pieces,Monoblock
FERRARI,F430,03/05,12/09,F430,03/05,12/09,360,490,UPGRADE GT kit,GT | M6 | D,1M1.9026A_,380mm,32mm,,,,,,,,,,,,,,,6,2 pieces,Monoblock
FERRARI,F430,03/05,12/09,F430,03/05,12/09,360,490,UPGRADE GT kit,GT | M6 | TY1,1M2.9026A_,380mm,32mm,,,,,,,,,,,,,,,6,2 pieces,Monoblock
FERRARI,F430,03/05,12/09,F430,03/05,12/09,360,490,UPGRADE GT kit,GT | M6 | TY3,1M3.9026A_,380mm,32mm,,,,,,,,,,,,,,,6,2 pieces,Monoblock
FERRARI,F430,03/05,12/09,F430,03/05,12/09,360,490,UPGRADE GT kit,GT | M6 | D,2M1.9002A_,380mm,32mm,,,,,,,,,,,,,,,6,2 pieces,Monoblock
FERRARI,F430,03/05,12/09,F430,03/05,12/09,360,490,UPGRADE GT kit,GT | M6 | TY1,2M2.9002A_,380mm,32mm,,,,,,,,,,,,,,,6,2 pieces,Monoblock
FERRARI,F430,03/05,12/09,F430,03/05,12/09,360,490,UPGRADE GT kit,GT | M6 | TY3,2M3.9002A_,380mm,32mm,,,,,,,,,,,,,,,6,2 pieces,Monoblock
FERRARI,F430,03/05,12/09,F430,03/05,12/09,360,490,UPGRADE GT kit,GT | M6 | D,2M1.9003A_,380mm,32mm,,,,,,,,,,,,,,,6,2 pieces,Monoblock
FERRARI,F430,03/05,12/09,F430,03/05,12/09,360,490,UPGRADE GT kit,GT | M6 | TY1,2M2.9003A_,380mm,32mm,,,,,,,,,,,,,,,6,2 pieces,Monoblock
FERRARI,F430,03/05,12/09,F430,03/05,12/09,360,490,UPGRADE GT kit,GT | M6 | TY3,2M3.9003A_,380mm,32mm,,,,,,,,,,,,,,,6,2 pieces,Monoblock
FERRARI,F430,03/05,12/09,F430,03/08,12/09,357,486,UPGRADE GT kit,GT | M6 | D,1M1.9008A_,380mm,32mm,,,,,,,,,,,,,,,6,2 pieces,Monoblock
FERRARI,F430,03/05,12/09,F430,03/08,12/09,357,486,UPGRADE GT kit,GT | M6 | TY1,1M2.9008A_,380mm,32mm,,,,,,,,,,,,,,,6,2 pieces,Monoblock
FERRARI,F430,03/05,12/09,F430,03/08,12/09,357,486,UPGRADE GT kit,GT | M6 | TY3,1M3.9008A_,380mm,32mm,,,,,,,,,,,,,,,6,2 pieces,Monoblock
FERRARI,F430,03/05,12/09,F430,03/08,12/09,357,486,UPGRADE GT kit,GT | M6 | D,1M1.9013A_,380mm,32mm,,,,,,,,,,,,,,,6,2 pieces,Monoblock
FERRARI,F430,03/05,12/09,F430,03/08,12/09,357,486,UPGRADE GT kit,GT | M6 | TY1,1M2.9013A_,380mm,32mm,,,,,,,,,,,,,,,6,2 pieces,Monoblock
FERRARI,F430,03/05,12/09,F430,03/08,12/09,357,486,UPGRADE GT kit,GT | M6 | TY3,1M3.9013A_,380mm,32mm,,,,,,,,,,,,,,,6,2 pieces,Monoblock
FERRARI,F430,03/05,12/09,F430,03/08,12/09,357,486,UPGRADE GT kit,GT | M6 | D,2M1.9002A_,380mm,32mm,,,,,,,,,,,,,,,6,2 pieces,Monoblock
FERRARI,F430,03/05,12/09,F430,03/08,12/09,357,486,UPGRADE GT kit,GT | M6 | TY1,2M2.9002A_,380mm,32mm,,,,,,,,,,,,,,,6,2 pieces,Monoblock
FERRARI,F430,03/05,12/09,F430,03/08,12/09,357,486,UPGRADE GT kit,GT | M6 | TY3,2M3.9002A_,380mm,32mm,,,,,,,,,,,,,,,6,2 pieces,Monoblock
FERRARI,F430 Spider,05/05,12/09,4.3 F430,05/05,12/09,360,490,UPGRADE GT kit,GT | M6 | D,1M1.9008A_,380mm,32mm,,,,,,,,,,,,,,,6,2 pieces,Monoblock
FERRARI,F430 Spider,05/05,12/09,4.3 F430,05/05,12/09,360,490,UPGRADE GT kit,GT | M6 | TY1,1M2.9008A_,380mm,32mm,,,,,,,,,,,,,,,6,2 pieces,Monoblock
FERRARI,F430 Spider,05/05,12/09,4.3 F430,05/05,12/09,360,490,UPGRADE GT kit,GT | M6 | TY3,1M3.9008A_,380mm,32mm,,,,,,,,,,,,,,,6,2 pieces,Monoblock
FERRARI,F430 Spider,05/05,12/09,4.3 F430,05/05,12/09,360,490,UPGRADE GT kit,GT | M6 | D,1M1.9013A_,380mm,32mm,,,,,,,,,,,,,,,6,2 pieces,Monoblock
FERRARI,F430 Spider,05/05,12/09,4.3 F430,05/05,12/09,360,490,UPGRADE GT kit,GT | M6 | TY1,1M2.9013A_,380mm,32mm,,,,,,,,,,,,,,,6,2 pieces,Monoblock
FERRARI,F430 Spider,05/05,12/09,4.3 F430,05/05,12/09,360,490,UPGRADE GT kit,GT | M6 | TY3,1M3.9013A_,380mm,32mm,,,,,,,,,,,,,,,6,2 pieces,Monoblock
FERRARI,F430 Spider,05/05,12/09,4.3 F430,05/05,12/09,360,490,UPGRADE GT kit,GT | M6 | D,2M1.9002A_,380mm,32mm,,,,,,,,,,,,,,,6,2 pieces,Monoblock
FERRARI,F430 Spider,05/05,12/09,4.3 F430,05/05,12/09,360,490,UPGRADE GT kit,GT | M6 | TY1,2M2.9002A_,380mm,32mm,,,,,,,,,,,,,,,6,2 pieces,Monoblock
FERRARI,F430 Spider,05/05,12/09,4.3 F430,05/05,12/09,360,490,UPGRADE GT kit,GT | M6 | TY3,2M3.9002A_,380mm,32mm,,,,,,,,,,,,,,,6,2 pieces,Monoblock
FERRARI,F430 Spider,05/05,12/09,F430,03/08,12/09,357,486,UPGRADE GT kit,GT | M6 | D,1M1.9008A_,380mm,32mm,,,,,,,,,,,,,,,6,2 pieces,Monoblock
FERRARI,F430 Spider,05/05,12/09,F430,03/08,12/09,357,486,UPGRADE GT kit,GT | M6 | TY1,1M2.9008A_,380mm,32mm,,,,,,,,,,,,,,,6,2 pieces,Monoblock
FERRARI,F430 Spider,05/05,12/09,F430,03/08,12/09,357,486,UPGRADE GT kit,GT | M6 | TY3,1M3.9008A_,380mm,32mm,,,,,,,,,,,,,,,6,2 pieces,Monoblock
FERRARI,F430 Spider,05/05,12/09,F430,03/08,12/09,357,486,UPGRADE GT kit,GT | M6 | D,1M1.9013A_,380mm,32mm,,,,,,,,,,,,,,,6,2 pieces,Monoblock
FERRARI,F430 Spider,05/05,12/09,F430,03/08,12/09,357,486,UPGRADE GT kit,GT | M6 | TY1,1M2.9013A_,380mm,32mm,,,,,,,,,,,,,,,6,2 pieces,Monoblock
FERRARI,F430 Spider,05/05,12/09,F430,03/08,12/09,357,486,UPGRADE GT kit,GT | M6 | TY3,1M3.9013A_,380mm,32mm,,,,,,,,,,,,,,,6,2 pieces,Monoblock
FERRARI,F430 Spider,05/05,12/09,F430,03/08,12/09,357,486,UPGRADE GT kit,GT | M6 | D,2M1.9002A_,380mm,32mm,,,,,,,,,,,,,,,6,2 pieces,Monoblock
FERRARI,F430 Spider,05/05,12/09,F430,03/08,12/09,357,486,UPGRADE GT kit,GT | M6 | TY1,2M2.9002A_,380mm,32mm,,,,,,,,,,,,,,,6,2 pieces,Monoblock
FERRARI,F430 Spider,05/05,12/09,F430,03/08,12/09,357,486,UPGRADE GT kit,GT | M6 | TY3,2M3.9002A_,380mm,32mm,,,,,,,,,,,,,,,6,2 pieces,Monoblock
FERRARI,F430 Spider,05/05,12/09,Scuderia 16M,09/07,12/09,372,506,UPGRADE GT kit,GT | M6 | D,1M1.9008A_,380mm,32mm,,,,,,,,,,,,,,,6,2 pieces,Monoblock
FERRARI,F430 Spider,05/05,12/09,Scuderia 16M,09/07,12/09,372,506,UPGRADE GT kit,GT | M6 | TY1,1M2.9008A_,380mm,32mm,,,,,,,,,,,,,,,6,2 pieces,Monoblock
FERRARI,F430 Spider,05/05,12/09,Scuderia 16M,09/07,12/09,372,506,UPGRADE GT kit,GT | M6 | TY3,1M3.9008A_,380mm,32mm,,,,,,,,,,,,,,,6,2 pieces,Monoblock
FERRARI,F430 Spider,05/05,12/09,Scuderia 16M,09/07,12/09,372,506,UPGRADE GT kit,GT | M6 | D,1M1.9013A_,380mm,32mm,,,,,,,,,,,,,,,6,2 pieces,Monoblock
FERRARI,F430 Spider,05/05,12/09,Scuderia 16M,09/07,12/09,372,506,UPGRADE GT kit,GT | M6 | TY1,1M2.9013A_,380mm,32mm,,,,,,,,,,,,,,,6,2 pieces,Monoblock
FERRARI,F430 Spider,05/05,12/09,Scuderia 16M,09/07,12/09,372,506,UPGRADE GT kit,GT | M6 | TY3,1M3.9013A_,380mm,32mm,,,,,,,,,,,,,,,6,2 pieces,Monoblock
FERRARI,F430 Spider,05/05,12/09,Scuderia 16M,09/07,12/09,372,506,UPGRADE GT kit,GT | M6 | D,2M1.9002A_,380mm,32mm,,,,,,,,,,,,,,,6,2 pieces,Monoblock
FERRARI,F430 Spider,05/05,12/09,Scuderia 16M,09/07,12/09,372,506,UPGRADE GT kit,GT | M6 | TY1,2M2.9002A_,380mm,32mm,,,,,,,,,,,,,,,6,2 pieces,Monoblock
FERRARI,F430 Spider,05/05,12/09,Scuderia 16M,09/07,12/09,372,506,UPGRADE GT kit,GT | M6 | TY3,2M3.9002A_,380mm,32mm,,,,,,,,,,,,,,,6,2 pieces,Monoblock
FERRARI,F430 Spider,05/05,12/09,Scuderia 16M,04/07,12/09,376,511,UPGRADE GT kit,GT | M6 | D,1M1.9008A_,380mm,32mm,,,,,,,,,,,,,,,6,2 pieces,Monoblock
FERRARI,F430 Spider,05/05,12/09,Scuderia 16M,04/07,12/09,376,511,UPGRADE GT kit,GT | M6 | TY1,1M2.9008A_,380mm,32mm,,,,,,,,,,,,,,,6,2 pieces,Monoblock
FERRARI,F430 Spider,05/05,12/09,Scuderia 16M,04/07,12/09,376,511,UPGRADE GT kit,GT | M6 | TY3,1M3.9008A_,380mm,32mm,,,,,,,,,,,,,,,6,2 pieces,Monoblock
FERRARI,F430 Spider,05/05,12/09,Scuderia 16M,04/07,12/09,376,511,UPGRADE GT kit,GT | M6 | D,1M1.9013A_,380mm,32mm,,,,,,,,,,,,,,,6,2 pieces,Monoblock
FERRARI,F430 Spider,05/05,12/09,Scuderia 16M,04/07,12/09,376,511,UPGRADE GT kit,GT | M6 | TY1,1M2.9013A_,380mm,32mm,,,,,,,,,,,,,,,6,2 pieces,Monoblock
FERRARI,F430 Spider,05/05,12/09,Scuderia 16M,04/07,12/09,376,511,UPGRADE GT kit,GT | M6 | TY3,1M3.9013A_,380mm,32mm,,,,,,,,,,,,,,,6,2 pieces,Monoblock
FERRARI,F430 Spider,05/05,12/09,Scuderia 16M,04/07,12/09,376,511,UPGRADE GT kit,GT | M6 | D,2M1.9002A_,380mm,32mm,,,,,,,,,,,,,,,6,2 pieces,Monoblock
FERRARI,F430 Spider,05/05,12/09,Scuderia 16M,04/07,12/09,376,511,UPGRADE GT kit,GT | M6 | TY1,2M2.9002A_,380mm,32mm,,,,,,,,,,,,,,,6,2 pieces,Monoblock
FERRARI,F430 Spider,05/05,12/09,Scuderia 16M,04/07,12/09,376,511,UPGRADE GT kit,GT | M6 | TY3,2M3.9002A_,380mm,32mm,,,,,,,,,,,,,,,6,2 pieces,Monoblock
FERRARI,MONDIAL,07/80,12/93,3.2 Quattrovalvole,10/85,12/88,199,270,Brake discs,Prime,09.4297.10,282mm,22mm,56mm,,5,Ventilated,67mm,20mm,,2,,,,,,
FERRARI,MONDIAL,07/80,12/93,3.2 Quattrovalvole,10/85,12/88,199,270,Brake discs,Prime,09.4254.10,280mm,22mm,74mm,,5,Ventilated,67mm,20mm,,2,,,,,,
FERRARI,MONDIAL,07/80,12/93,3.2 Quattrovalvole,10/85,12/88,199,270,Brake pads,Prime,P 06 008,,20mm,57mm,158mm,,,,,,,Teves,Prepared for wear indicator,"20629, 20757","D253 7160, D394 7284, D395 7285",With accessoriesWith anti-squeal shimWith piston clip,
FERRARI,MONDIAL,07/80,12/93,3.4 T,03/89,12/93,221,300,Brake discs,Prime,09.4297.10,282mm,22mm,56mm,,5,Ventilated,67mm,20mm,,2,,,,,,
FERRARI,MONDIAL,07/80,12/93,3.4 T,03/89,12/93,221,300,Brake discs,Prime,09.4254.10,280mm,22mm,74mm,,5,Ventilated,67mm,20mm,,2,,,,,,
FERRARI,MONDIAL,07/80,12/93,3.4 T,03/89,12/93,221,300,Brake pads,Prime,P 85 094,,18mm,66mm,98mm,,,,,,,Teves,Prepared for wear indicator,20877,D250 7158,With anti-squeal shim,
FERRARI,MONDIAL,07/80,12/93,3.4 T,03/89,12/93,221,300,Brake pads,Prime Ceramic,P85094N,,18mm,66mm,98mm,,,,,,,Teves,Prepared for wear indicator,20877,D250 7158,With anti-squeal shim,
FERRARI,MONDIAL,07/80,12/93,8,07/80,09/83,158,214,Brake discs,Prime,09.3803.10,282mm,22mm,60mm,,5,Ventilated,67mm,20mm,,2,,,,,,
FERRARI,MONDIAL,07/80,12/93,8 Quattrovalvole,10/82,07/87,177,240,Brake discs,Prime,09.4297.10,282mm,22mm,56mm,,5,Ventilated,67mm,20mm,,2,,,,,,
FERRARI,MONDIAL,07/80,12/93,8 Quattrovalvole,10/82,07/87,177,240,Brake discs,Prime,09.4254.10,280mm,22mm,74mm,,5,Ventilated,67mm,20mm,,2,,,,,,
FERRARI,MONDIAL Convertible,03/83,12/93,3.2 Quattrovalvole,09/85,12/88,199,270,Brake discs,Prime,09.4297.10,282mm,22mm,56mm,,5,Ventilated,67mm,20mm,,2,,,,,,
FERRARI,MONDIAL Convertible,03/83,12/93,3.2 Quattrovalvole,09/85,12/88,199,270,Brake discs,Prime,09.4254.10,280mm,22mm,74mm,,5,Ventilated,67mm,20mm,,2,,,,,,
FERRARI,MONDIAL Convertible,03/83,12/93,3.2 Quattrovalvole,09/85,12/88,199,270,Brake pads,Prime,P 06 008,,20mm,57mm,158mm,,,,,,,Teves,Prepared for wear indicator,"20629, 20757","D253 7160, D394 7284, D395 7285",With accessoriesWith anti-squeal shimWith piston clip,
FERRARI,MONDIAL Convertible,03/83,12/93,3.4 T,01/89,12/93,221,300,Brake discs,Prime,09.4297.10,282mm,22mm,56mm,,5,Ventilated,67mm,20mm,,2,,,,,,
