brand,model,model_date_start,model_date_end,type,type_date_start,type_date_end,kw,cv,category,product_line,part_number,diameter,thickness,height,width,number_of_holes,brake_disc_type,centering,min_thickness,tightening_torque,units_per_box,braking_system,wear_indicator,wva_number,fmsi,accessories,position,length,number_of_pistons
IVECO,DAILY III Platform/Chassis,03/98,10/09,Wear indicator,11/01,04/06,107,146,Brake pad accessories,Prime,A 00 351,,,,,,,,,,,,,,,,,300mm
IVECO,DAILY III Platform/Chassis,03/98,10/09,65 C 17,09/04,04/06,122,166,Brake pads,Prime,P A6 022,,20mm,68mm,165mm,,,,,,,Brembo PF 2.52,Prepared for wear indicator,29160,D1622 8834,With anti-squeal shim,,
IVECO,DAILY III Platform/Chassis,03/98,10/09,65 C 17,09/04,04/06,122,166,Brake pads,Prime Ceramic,PA6022N,,20mm,68mm,165mm,,,,,,,Brembo PF 2.52,Prepared for wear indicator,29160,D1622 8834,With anti-squeal shim,,
IVECO,DAILY III Platform/Chassis,03/98,10/09,65 C 17,09/04,04/06,122,166,Brake pads,Prime,P A6 017,,20mm,66mm,165mm,,,,,,,Brembo,Prepared for wear indicator,29121,D1487 8835,With anti-squeal shim,,
IVECO,DAILY III Platform/Chassis,03/98,10/09,65 C 17,09/04,04/06,122,166,Brake pads,Prime Ceramic,PA6017N,,20mm,66mm,165mm,,,,,,,Brembo,Prepared for wear indicator,29121,D1487 8835,With anti-squeal shim,,
IVECO,DAILY III Platform/Chassis,03/98,10/09,Wear indicator,09/04,04/06,122,166,Brake pad accessories,Prime,A 00 351,,,,,,,,,,,,,,,,,300mm
IVECO,DAILY III Van,05/99,10/09,"35 C 14, 35 S 14",01/05,04/06,100,136,Brake discs,Prime,08.5952.10,289mm,22mm,85mm,,8,Solid,84mm,19mm,,1,,,,,,,,
IVECO,DAILY III Van,05/99,10/09,"35 C 14, 35 S 14",01/05,04/06,100,136,Brake pads,Prime,P A6 017,,20mm,66mm,165mm,,,,,,,Brembo,Prepared for wear indicator,29121,D1487 8835,With anti-squeal shim,,,
IVECO,DAILY III Van,05/99,10/09,"35 C 14, 35 S 14",01/05,04/06,100,136,Brake pads,Prime Ceramic,PA6017N,,20mm,66mm,165mm,,,,,,,Brembo,Prepared for wear indicator,29121,D1487 8835,With anti-squeal shim,,,
IVECO,DAILY III Van,05/99,10/09,"35 C 14, 35 S 14",01/05,04/06,100,136,Brake pads,Prime,P A6 021,,17mm,66mm,165mm,,,,,,,Brembo,Prepared for wear indicator,29121,D1487 8687,With anti-squeal shim,,,
IVECO,DAILY III Van,05/99,10/09,"35 C 14, 35 S 14",01/05,04/06,100,136,Brake pads,Prime,P A6 023,,20mm,64mm,110mm,,,,,,,Brembo,Prepared for wear indicator,29123,,With accessoriesWith anti-squeal shimWith brake caliper bolts,,,
IVECO,DAILY III Van,05/99,10/09,"35 C 14, 35 S 14",01/05,04/06,100,136,Brake pads,Prime Ceramic,PA6023N,,20mm,64mm,110mm,,,,,,,Brembo,Prepared for wear indicator,29123,,With accessoriesWith anti-squeal shimWith brake caliper bolts,,,
IVECO,DAILY III Van,05/99,10/09,Wear indicator,01/05,04/06,100,136,Brake pad accessories,Prime,A 00 351,,,,,,,,,,,,,,,,,300mm,
IVECO,DAILY III Van,05/99,10/09,"35 C 14, 35 S 14",01/05,04/06,100,136,LCV calipers,,F BR 022B,,,,,,,,,,,BREMBO,,,,,,,1
IVECO,DAILY III Van,05/99,10/09,"35 C 14, 35 S 14",01/05,04/06,100,136,LCV calipers,,F BR 023B,,,,,,,,,,,BREMBO,,,,,,,1
IVECO,DAILY III Van,05/99,10/09,"35 S 13 V,35 C 13 V",05/99,07/07,92,125,Brake discs,Prime,08.5959.10,290mm,22mm,111mm,,6,Solid,68mm,19mm,,1,,,,,,,,
IVECO,DAILY III Van,05/99,10/09,"35 S 13 V,35 C 13 V",05/99,07/07,92,125,Brake discs,Prime,08.5952.10,289mm,22mm,85mm,,8,Solid,84mm,19mm,,1,,,,,,,,
IVECO,DAILY III Van,05/99,10/09,"35 S 13 V,35 C 13 V",05/99,07/07,92,125,Brake pads,Prime,P A6 017,,20mm,66mm,165mm,,,,,,,Brembo,Prepared for wear indicator,29121,D1487 8835,With anti-squeal shim,,,
IVECO,DAILY III Van,05/99,10/09,"35 S 13 V,35 C 13 V",05/99,07/07,92,125,Brake pads,Prime Ceramic,PA6017N,,20mm,66mm,165mm,,,,,,,Brembo,Prepared for wear indicator,29121,D1487 8835,With anti-squeal shim,,,
IVECO,DAILY III Van,05/99,10/09,"35 S 13 V,35 C 13 V",05/99,07/07,92,125,Brake pads,Prime,P A6 021,,17mm,66mm,165mm,,,,,,,Brembo,Prepared for wear indicator,29121,D1487 8687,With anti-squeal shim,,,
IVECO,DAILY III Van,05/99,10/09,"35 S 13 V,35 C 13 V",05/99,07/07,92,125,Brake pads,Prime,P A6 023,,20mm,64mm,110mm,,,,,,,Brembo,Prepared for wear indicator,29123,,With accessoriesWith anti-squeal shimWith brake caliper bolts,,,
