brand,model,model_date_start,model_date_end,type,type_date_start,type_date_end,kw,cv,category,product_line,part_number,diameter,thickness,height,width,number_of_holes,brake_disc_type,centering,min_thickness,tightening_torque,units_per_box,braking_system,wear_indicator,wva_number,fmsi,accessories,position,directional
GENESIS,G70 (IK),09/17,>,3.3 T-GDi,09/17,01/20,272,370,Brake pads,Prime,P 30 113,,17mm,91mm,131mm,,,,,,,Brembo,Acoustic,"22858, 22859, 22860",D2145 9385,With anti-squeal shimWith counterweights,,
GENESIS,G70 (IK),09/17,>,3.3 T-GDi,09/17,01/20,272,370,Brake pads,Prime Ceramic,P30113N,,17mm,91mm,131mm,,,,,,,Brembo,Acoustic,"22858, 22859, 22860",D2145 9385,With anti-squeal shimWith counterweights,,
GENESIS,G70 (IK),09/17,>,3.3 T-GDi,09/17,01/20,272,370,Brake pads,Prime Ceramic,P30124N,,16mm,83mm,113mm,,,,,,,Brembo,Acoustic,"22873, 22874, 22875",D2144 9384,With anti-squeal shimWith counterweights,,Yes
GENESIS,G70 (IK),09/17,>,3.3 T-GDi,09/17,01/20,272,370,Brake pads,Prime,P 30 081,,16mm,48mm,117mm,,,,,,,Mando,Acoustic,"25520, 25521, 25522",D1284 8524,With accessoriesWith anti-squeal shim,,
GENESIS,G70 (IK),09/17,>,3.3 T-GDi,09/17,01/20,272,370,Brake pads,Prime Ceramic,P30081N,,16mm,48mm,117mm,,,,,,,Mando,Acoustic,"25520, 25521, 25522",D1284 8524,With accessoriesWith anti-squeal shim,,
GENESIS,G70 Shooting Brake (IK),06/21,>,2.0 T-GDi,06/21,>,180,245,Brake discs,Prime,09.D993.11,320mm,28mm,"56,7mm",,5,Ventilated,69mm,26mm,,1,,,,,,,
GENESIS,G70 Shooting Brake (IK),06/21,>,2.0 T-GDi,06/21,>,180,245,Brake discs,Prime,09.D994.11,345mm,30mm,"56,5mm",,5,Ventilated,69mm,28mm,,1,,,,,,,
GENESIS,G70 Shooting Brake (IK),06/21,>,2.0 T-GDi,06/21,>,180,245,Brake discs,Prime,09.D027.11,350mm,30mm,57mm,,5,Ventilated,69mm,28mm,,1,,,,,,,
GENESIS,G70 Shooting Brake (IK),06/21,>,2.0 T-GDi,06/21,>,180,245,Brake discs,Prime,08.E139.11,314mm,13mm,"60,5mm",,5,Solid,69mm,11mm,,2,,,,,,,
GENESIS,G70 Shooting Brake (IK),06/21,>,2.0 T-GDi,06/21,>,180,245,Brake discs,Prime,09.D995.11,330mm,22mm,60mm,,5,Ventilated,69mm,20mm,,1,,,,,,,
