brand,model,model_date_start,model_date_end,type,type_date_start,type_date_end,kw,cv,category,product_line,part_number,diameter,thickness,height,width,number_of_holes,brake_disc_type,centering,min_thickness,tightening_torque,units_per_box,braking_system,wear_indicator,wva_number,fmsi,accessories,position
FORD USA,F-150,10/96,>,5.4,10/96,11/03,185,252,Brake pads,Prime Ceramic,P24102N,,17mm,57mm,166mm,,,,,,,Wagner,Acoustic,"24578, 24757, 24759",D679 7558,With anti-squeal shim,
FORD USA,F-150,10/96,>,5.4,10/96,11/03,185,252,Brake pads,Prime Ceramic,P24083N,,17mm,48mm,142mm,,,,,,,Kelsey Hayes,Without,"24753, 24754",D879 7584,With accessoriesWith anti-squeal shimWith piston clip,
FORD USA,F-150,10/96,>,5.4,05/01,11/03,280,381,Brake pads,Prime Ceramic,P24102N,,17mm,57mm,166mm,,,,,,,Wagner,Acoustic,"24578, 24757, 24759",D679 7558,With anti-squeal shim,
FORD USA,F-150,10/96,>,5.4,05/01,11/03,280,381,Brake pads,Prime Ceramic,P24083N,,17mm,48mm,142mm,,,,,,,Kelsey Hayes,Without,"24753, 24754",D879 7584,With accessoriesWith anti-squeal shimWith piston clip,
FORD USA,F-150,10/96,>,5.4 4x4,10/96,11/03,185,252,Brake pads,Prime Ceramic,P24102N,,17mm,57mm,166mm,,,,,,,Wagner,Acoustic,"24578, 24757, 24759",D679 7558,With anti-squeal shim,,,,
FORD USA,F-150,10/96,>,5.4 4x4,10/96,11/03,185,252,UPGRADE GT kit,GT | A4 | D,1B1.8005A_,355mm,32mm,,,,,,,,,,,,,,,4,2 pieces,2 pieces
FORD USA,F-150,10/96,>,5.4 4x4,10/96,11/03,185,252,UPGRADE GT kit,GT | A4 | TY1,1B2.8005A_,355mm,32mm,,,,,,,,,,,,,,,4,2 pieces,2 pieces
FORD USA,F-150,10/96,>,5.4 4x4,10/96,11/03,185,252,UPGRADE GT kit,GT | A4 | TY3,1B3.8005A_,355mm,32mm,,,,,,,,,,,,,,,4,2 pieces,2 pieces
FORD USA,F-150,10/03,12/07,4.6 4x4,10/03,09/07,170,231,Brake discs,Prime,09.B595.11,348mm,20mm,86mm,,6,Ventilated,90mm,"18,5mm",,1,,,,,,
FORD USA,F-150,10/03,12/07,4.6 4x4,10/03,09/07,170,231,Brake pads,Prime Ceramic,P24135N,,21mm,59mm,176mm,,,,,,,Bosch,Without,22406,D1083 7915,With anti-squeal shim,
FORD USA,F-150,10/03,12/07,4.6 4x4,10/03,09/07,170,231,Brake pads,Prime Ceramic,P24167N,,21mm,60mm,176mm,,,,,,,Bosch,Without,22406,D1392 7915,With anti-squeal shim,
FORD USA,F-150,10/03,12/07,4.6 4x4,10/03,09/07,170,231,Brake pads,Prime Ceramic,P56091N,,19mm,50mm,158 - 159mm,,,,,,,,Without,,D1012 7916,With accessoriesWith anti-squeal shimWith piston clip,
FORD USA,F-150,10/07,>,5.4,10/07,>,221,300,Brake discs,Prime,09.C274.11,350mm,34mm,50mm,,6,Ventilated,90mm,32mm,,1,,,,,,
FORD USA,F-150,10/07,>,5.4,10/07,>,221,300,Brake discs,Prime,09.C274.21,350mm,34mm,50mm,,7,Ventilated,90mm,32mm,,1,,,,,,
FORD USA,F-150,10/07,>,5.4,10/07,>,221,300,Brake discs,Prime,09.B595.11,348mm,20mm,86mm,,6,Ventilated,90mm,"18,5mm",,1,,,,,,
FORD USA,F-150,10/07,>,5.4,10/07,>,221,300,Brake pads,Prime Ceramic,P24135N,,21mm,59mm,176mm,,,,,,,Bosch,Without,22406,D1083 7915,With anti-squeal shim,
FORD USA,F-150,10/07,>,5.4,10/07,>,221,300,Brake pads,Prime Ceramic,P24167N,,21mm,60mm,176mm,,,,,,,Bosch,Without,22406,D1392 7915,With anti-squeal shim,
FORD USA,F-150,10/07,>,5.4,10/07,>,221,300,Brake pads,Prime,P 24 258,,19mm,68mm,194mm,,,,,,,,Without,22050,,With anti-squeal shim,
FORD USA,F-150,10/07,>,5.4,10/07,>,221,300,Brake pads,Prime Ceramic,P24258N,,19mm,68mm,194mm,,,,,,,,Without,22050,,With anti-squeal shim,
FORD USA,F-150,10/07,>,5.4,10/07,>,221,300,Brake pads,Prime Ceramic,P56091N,,19mm,50mm,158 - 159mm,,,,,,,,Without,,D1012 7916,With accessoriesWith anti-squeal shimWith piston clip,
FORD USA,F-150,10/07,>,5.4 4x4,10/07,>,221,300,Brake discs,Prime,09.C274.11,350mm,34mm,50mm,,6,Ventilated,90mm,32mm,,1,,,,,,
FORD USA,F-150,10/07,>,5.4 4x4,10/07,>,221,300,Brake discs,Prime,09.C274.21,350mm,34mm,50mm,,7,Ventilated,90mm,32mm,,1,,,,,,
FORD USA,F-150,10/07,>,5.4 4x4,10/07,>,221,300,Brake discs,Prime,09.B595.11,348mm,20mm,86mm,,6,Ventilated,90mm,"18,5mm",,1,,,,,,
FORD USA,F-150,10/07,>,5.4 4x4,10/07,>,221,300,Brake pads,Prime Ceramic,P24135N,,21mm,59mm,176mm,,,,,,,Bosch,Without,22406,D1083 7915,With anti-squeal shim,
FORD USA,F-150,10/07,>,5.4 4x4,10/07,>,221,300,Brake pads,Prime Ceramic,P24167N,,21mm,60mm,176mm,,,,,,,Bosch,Without,22406,D1392 7915,With anti-squeal shim,
FORD USA,F-150,10/07,>,5.4 4x4,10/07,>,221,300,Brake pads,Prime,P 24 258,,19mm,68mm,194mm,,,,,,,,Without,22050,,With anti-squeal shim,
FORD USA,F-150,10/07,>,5.4 4x4,10/07,>,221,300,Brake pads,Prime Ceramic,P24258N,,19mm,68mm,194mm,,,,,,,,Without,22050,,With anti-squeal shim,
FORD USA,F-150,10/07,>,5.4 4x4,10/07,>,221,300,Brake pads,Prime Ceramic,P56091N,,19mm,50mm,158 - 159mm,,,,,,,,Without,,D1012 7916,With accessoriesWith anti-squeal shimWith piston clip,
